Site	Latitude	Longitude	Earliest Age	Latest Age	Fauna
NA	-64.239	-56.603	47.8	38.001	Other sharks
NA	-8.75	13.3	5.333	2.589	Other sharks
NA	-8.75	13.3	11.62	5.334	Other sharks
NA	0.98	-79.56	5.333	3.601	Other sharks
NA	10.55	-84.75	11.62	5.334	Other sharks
NA	11.01	-63.93	5.333	3.601	Other sharks
NA	11.815	-15.235	23.03	15.971	Orectolobiformes
NA	11.815	-15.235	23.03	5.334	Orectolobiformes
NA	11.815	-15.235	47.8	41.001	Orectolobiformes
NA	12.48	-15.21	23.03	5.334	Other sharks
NA	13.13	-59.53	33.9	23.031	Other sharks
NA	14.475	-14.453	56	47.801	Orectolobiformes
NA	17.32	-62.72	23.03	5.334	Other sharks
NA	18.47	-77.53	23.03	15.971	Other sharks
NA	20.11	95.12	11.63	7.251	Other sharks
NA	20.48	84.44	23.03	5.334	Other sharks
NA	21	57.004	33.9	28.101	Other sharks
NA	21.92	86.76	20.44	15.971	Other sharks
NA	21.92	86.76	23.03	15.971	Other sharks
NA	21.92	86.76	23.03	20.441	Other sharks
NA	22.31	72.62	56	47.801	Other sharks
NA	22.32	74.8	20.44	15.971	Other sharks
NA	22.42	87.13	23.03	20.441	Other sharks
NA	23.15	69.79	41	38.001	Other sharks
NA	23.15	69.79	47.8	41.001	Other sharks
NA	23.58	-15.89	41.3	33.901	Other sharks
NA	23.659	-102.008	28.1	23.031	Both
NA	23.83	68.7	23.03	15.971	Other sharks
NA	24.48	54.34	11.62	5.334	Other sharks
NA	27.46	-81.88	5.333	2.589	Other sharks
NA	27.88	-82.36	2.588	0.0118	Other sharks
NA	28.99	-114.36	11.62	5.334	Other sharks
NA	28.99	-114.36	23.03	20.441	Other sharks
NA	28.99	-114.36	33.9	28.101	Other sharks
NA	29.67	-82.32	23.03	5.334	Other sharks
NA	3.23	-75.16	15.97	11.621	Other sharks
NA	30.97	76.98	56	47.801	Other sharks
NA	31.173	-7.336	56	47.801	Orectolobiformes
NA	32.38	75.82	23.03	15.971	Other sharks
NA	32.89	-117.24	47.8	41.001	Other sharks
NA	33.03	130.46	38	33.901	Other sharks
NA	33.79	-118.32	5.333	0.0118	Other sharks
NA	34.68	136.39	20.44	15.971	Other sharks
NA	34.72	-76.65	5.333	2.589	Other sharks
NA	35.78	-78.87	23.03	5.334	Other sharks
NA	35.81	-120.02	23.03	20.441	Other sharks
NA	35.93	-118.49	5.333	3.601	Other sharks
NA	36.09	-76.4	20.44	13.821	Other sharks
NA	36.59	-121.9	23.03	5.334	Other sharks
NA	36.63	140.63	23.03	2.589	Other sharks
NA	37.123	-78.493	47.8	41.001	Orectolobiformes
NA	37.54	-120.84	15.97	13.821	Other sharks
NA	37.96	-122.11	33.9	28.101	Other sharks
NA	38.16	-76.81	20.44	13.821	Other sharks
NA	38.29	140.88	5.333	2.589	Other sharks
NA	38.68	-76.6	23.03	5.334	Other sharks
NA	39.11	-75.47	23.03	15.971	Other sharks
NA	39.37	-74.94	23.03	5.334	Other sharks
NA	39.662	-8.135	15.97	11.621	Orectolobiformes
NA	39.85	74.84	38	33.901	Other sharks
NA	40.72	-123.7	28.1	23.031	Other sharks
NA	42.79	64.86	41	38.001	Other sharks
NA	43.15	-116.45	5.333	2.589	Other sharks
NA	46.38	59.27	20.44	15.971	Other sharks
NA	46.603	1.888	56	47.801	Orectolobiformes
NA	46.73	59.61	28.1	23.031	Other sharks
NA	47.594	14.125	15.97	13.821	Orectolobiformes
NA	48.44	35.08	38	33.901	Other sharks
NA	50.64	4.667	41	38.001	Orectolobiformes
NA	52.243	5.634	47.8	41.001	Orectolobiformes
NA	53.49	62.99	38	33.901	Other sharks
NA	55.44	65.26	38	33.901	Other sharks
NA	6.91	79.93	23.03	15.971	Other sharks
NA	8.78	01.02	47.8	41.001	Orectolobiformes
NA	28.833	69	23.03	5.334	Other sharks
Nakatsu Fm.	35.52	139.32	3.6	2.589	Other sharks
Navidad Fm.	-33.92	-71.84	23.03	15.971	Other sharks
Newmerella	-37.736	148.431	28.1	15.971	Orectolobiformes
Nissan-lez-Enserune	43.29	3.128	15.97	13.821	Orectolobiformes
Niwaya Fm.	36.33	138.82	15.97	11.621	Other sharks
Nosy Makamby Island, Madagascar	-14.84	45.96	11.62	5.334	Other sharks
Nyirád (Pannonian Basin)	47.005	17.455	15.97	11.621	Orectolobiformes
O. Abdoun, Interc. c1/c2	32.905	-6.925	56	47.801	Orectolobiformes
O. Abdoun, sillon A	32.905	-6.925	56	47.801	Orectolobiformes
O. Abdoun, sillon B	32.905	-6.925	56	47.801	Orectolobiformes
O. Adboun, C1	32.905	-6.925	56	47.801	Orectolobiformes
O. Adboun, sillon D	32.905	-6.925	56	47.801	Orectolobiformes
Obata Fm.	36.26	138.81	15.97	13.821	Other sharks
Ohshimojo Fm.	35.29	137.76	23.03	15.971	Other sharks
Oidawara Fm.	35.41	137.27	15.97	11.621	Other sharks
Olèrdola	41.321	1.723	23.03	5.334	Orectolobiformes
Onzole Formation	0.89	-79.05	11.62	2.589	Other sharks
Oshosun	6.591	3.376	47.8	41.001	Orectolobiformes
Ouled Abdoun	32.905	-6.925	56	47.801	Orectolobiformes
Palasavia	23.78	88.25	15.97	11.621	Other sharks
Palos Verdes Sand (San Pedro)	33.72	-118.29	0.126	0.0119	Other sharks
Paris Basin (Lutetian)	48.747	2.202	47.8	41.001	Orectolobiformes
Patara	37.994	13.657	47.8	41.001	Orectolobiformes
Peace River Formation (Florida)	27.918	-82.349	5.333	2.589	Orectolobiformes
Peru (Pisco Fm. - U. Mio)	-13.71	-76.2	11.63	7.251	Other sharks
Pirabas Formation	-0.773	-47.177	23.03	15.971	Both
Pistyn & Sheshory	48.35	25.02	33.9	28.101	Other sharks
Pitten Clay Mb.	50.64	4.667	56	47.801	Orectolobiformes
Pontils	41.477	1.388	41	38.001	Orectolobiformes
Poronai Gp.	43	142.08	28.1	23.031	Other sharks
Praia da Arrifana	37.292	-8.865	23.03	15.971	Orectolobiformes
Prémontré Abbey	49.54	3.414	56	47.801	Orectolobiformes
Pungo River Fm (1-3)	35.568	-76.486	20.44	15.971	Orectolobiformes
Qasr el-Saghr Fm.	29.264	30.023	38	33.901	Other sharks
Qasr el-Saghr Fm. (channel)	29.264	30.023	38	33.901	Orectolobiformes
Qasr el-Saghr Fm. (interdune)	29.264	30.023	38	33.901	Orectolobiformes
Ranquil Fm.	-36.34	-72.63	23.03	15.971	Other sharks
Rio Indio Member	8.78	-80.14	11.63	7.251	Other sharks
River Bend Plantation	35.06	-77.14	33.9	23.031	Other sharks
Sable de Forest	50.774	4.421	56	47.801	Orectolobiformes
Sable de Lede	50.966	3.986	47.8	41.001	Orectolobiformes
Sables de Bruxelles (Woluwe Saint Lambert)	50.85	4.428	47.8	41.001	Orectolobiformes
Sables de Fontainebleau	48.405	2.702	33.9	28.101	Orectolobiformes
Sables de Forest	50.812	4.318	56	47.801	Orectolobiformes
Samland	54.73	20.5	47.8	41.001	Other sharks
Sand Zavantem	50.881	4.473	47.8	41.001	Orectolobiformes
Sassa-Zao	-5.299	12.236	47.8	41.001	Orectolobiformes
Sassa-Zao (Cabinda)	-5.056	12.321	47.8	41.001	Orectolobiformes
Saucats et Cestas	46.603	-0.596	20.44	15.971	Orectolobiformes
Sekinobana Fm.	37.08	136.75	15.97	11.621	Other sharks
Senhata Fm.	35.13	139.85	11.62	5.334	Other sharks
Sharbithat	17.83	56.27	23.03	20.441	Other sharks
St Géours-d A. (Tailledis)	45.338	-0.473	47.8	41.001	Orectolobiformes
Suso Fm.	37.13	136.96	15.97	13.821	Other sharks
Takase Fm.	38.21	140.38	15.97	11.621	Other sharks
Tallahatta Fm.	31.91	-87.877	56	41.301	Orectolobiformes
Tallahatta/Lisbon Fm. (Point A Dam)	31.91	-87.877	47.8	41.001	Orectolobiformes
Tapar section	23.02	69.66	11.62	5.334	Other sharks
Thalberg Beds	48.658	13.789	28.1	23.031	Orectolobiformes
Tirabuzón Fm.	30.034	-115.143	5.333	2.589	Both
Toyohama Fm.	34.72	136.91	23.03	15.971	Other sharks
Twiggs Clay Mb.	32.647	-83.435	38	33.901	Orectolobiformes
Twistringen	52.799	8.642	15.97	11.621	Orectolobiformes
Up. Scotland Fm (Chalky)	13.232	-59.554	47.8	41.001	Orectolobiformes
Up. Scotland Fm (Murphy)	13.133	-59.533	47.8	41.001	Orectolobiformes
Uzbekistan (Dzheroy-1)	42	64	47.8	38.001	Both
Uzbekistan (Dzheroy-2)	42	64	47.8	38.001	Both
Uzbekistan (Ph1 & Sb 5-Kyzylkum)	42.349	66.145	56	47.801	Both
Uzbekistan (Ph2-Kyzylkum)	42.349	66.145	56	47.801	Both
Uzbekistan (Sb 7-Kyzylkum)	42.349	66.145	56	47.801	Both
Venezuela (Codore Fm)	11.2	-70.25	11.62	2.589	Other sharks
Venezuela (Socorro Fm)	11.2	-70.25	15.97	11.621	Other sharks
Venezuela (Urumaco Fm)	11.2	-70.25	15.97	5.334	Other sharks
Wajiamazaki Fm.	37.34	136.87	15.97	11.621	Other sharks
Weitwies Mb.	47.893	13.724	47.8	41.001	Orectolobiformes
Yamaga Fm.	33.89	130.89	28.1	23.031	Other sharks
Yamani Fm.	34.71	136.91	23.03	15.971	Other sharks
Zushi Fm.	35.27	139.58	11.62	5.334	Other sharks
