Latitude	Longitude
-28.1957816405	153.5782241821
-28.1037375762	153.4787320285
-27.4208811526	153.5292849278
-28.38	153.67
-28.6116013387	153.6279784922
-33.4474130736	151.4498108522
-33.444795	151.449692
-35.5050864753	150.4006145063
-33.8004405121	151.2947623166
-33.7367888889	151.3061666667
-33.7993174264	151.2961652764
-33.8003392169	151.2949270601
-33.7992111951	151.2939322834
-34.4228192	150.9094276
-33.84032835	151.25408815
18.8723477616	72.8860136953
18.6475694589	72.8902222281
19.2962357057	72.9701467388
18.8727297681	72.814444188
15.0909295906	74.1783055686
18.9997088196	72.712420189
18.8526457682	72.6495242472
18.8810354974	72.8788287261
18.8825900575	72.7762744506
18.8176356729	72.7242600071
17.7494026795	83.3949636782
17.7303085262	83.2273154891
17.6986360491	83.3604826991
17.6464228528	83.3016744763
17.6279192285	83.2214242154
17.7032880091	83.2164031295
18.9208825361	72.8771205604
17.6424483395	83.3614832911
17.6631551531	83.2643586865
15.876640173	73.7325011775
1.5721436089	103.6495510197
1.4791435283	103.6901509989
1.5940126058	103.6229430878
12.4806677382	99.9548335121
9.9680261549	98.5724431802
-0.6774905688	109.5105095353
28.2415680368	121.6272676643
24.5374632943	118.1517325205
14.1903809052	120.7428962386
24.2824318198	120.4952858498
24.4992603989	118.4473664808
24.4147680882	118.0902286336
11.2880420609	124.0686402002
22.7500649615	115.2831712196
11.4095156358	124.0464766357
23.9335386361	121.7517622136
-16.7846783529	145.8569760582
-24.1098508404	152.7177213114
-28.1047824617	153.4741198055
-23.9018470417	152.4094860906
-24.114502953	152.7193199133
-27.9360460747	153.429147376
-26.6155877623	153.1158632238
-28.1636	153.5403
-26.6146347	153.1144871
-29.7156178574	153.5766373824
-21.81675657	114.19154665
-21.6552825299	114.361414499
-23.1544211115	113.7662058443
-21.8166933333	114.191545
-21.8039936738	114.1150359809
-21.7869422832	114.1296081932
-21.8169668098	114.1916849597
-21.8167246	114.1916294
-21.6925929225	114.3178235739
-21.81675656	114.19154665
20.4240760229	-87.0724238455
20.8611026476	-86.818193913
20.3138065505	-87.0444164692
20.4089192528	-87.0300838351
20.5836463506	-87.100457542
17.841145	-87.986595
20.468623864	-87.0166822268
12.3039228281	-82.9796399888
17.8599440974	-87.977571832
17.55475855	-88.07804665
8.4845092076	-79.0014568676
10.4368474199	-85.6559374518
10.6863990609	-85.7849734053
7.7101082856	-81.7442779595
10.939096296	-85.674124706
