Family	scientificName	age	Latitude	Longitude	p_lng_MERDITH2021	p_lat_MERDITH2021	p_lng_PALEOMAP	p_lat_PALEOMAP	p_lng_MATTHEWS2016_pmag_ref	p_lat_MATTHEWS2016_pmag_ref	range_p_lat	max_dist
Brachaeluridae	Palaeobrachaelurus sp.	164.601	51.53	46.035	59.1703	49.58	48.8289	46.3262	58.9996	49.9553	3.6291	856.755
Brachaeluridae	Palaeobrachaelurus sp.	164.601	51.53	46.035	59.1703	49.58	48.8289	46.3262	58.9996	49.9553	3.6291	856.755
Orectolobiformes incert. fam.	Palaeocarcharias stromeri	149.9	43.689	6.457	35.2047	25.4578	15.1523	35.5074	33.8181	29.3682	10.0496	2217.875
Orectolobiformes incert. fam.	Palaeocarcharias stromeri	149.9	46.048	-1.412	28.7086	27.1043	8.0859	37.6131	26.9851	30.6435	10.5088	2256.268
Orectolobiformes incert. fam.	Palaeocarcharias stromeri	149.9	48.897	10.998	37.7425	31.1102	18.6997	40.9097	36.0657	35.1415	9.7995	2025.218
Orectolobiformes incert. fam.	Palaeocarcharias stromeri	154.701	39.73	-8.799	15.8519	25.9697	1.4095	34.0737	14.6666	27.8448	8.104	1654.978
Orectolobiformes incert. fam.	Palaeocarcharias stromeri	142.201	49.289	17.516	42.2781	34.9719	24.3896	41.0396	45.4001	34.0473	6.9923	2005.888
Orectolobiformes incert. fam.	Palaeorectolobus agomphius	149.9	48.919	11.873	38.3982	31.2386	19.4565	40.9758	36.7421	35.3023	9.7372	2012.152
Rhincodontidae	Palaeorhincodon daouii	57.6	32.905	-6.925	-1.2503	20.7552	-8.2576	26.2902	-1.9076	19.8485	6.4417	965.175
Rhincodontidae	Palaeorhincodon dartevellei	51.9	32.905	-6.925	-1.8304	20.9235	-8.4406	27.1207	-2.8682	20.2739	6.8468	960.516
Rhincodontidae	Palaeorhincodon dartevellei	51.9	32.239	-7.958	-2.8819	20.4402	-9.5335	26.6198	-3.895	19.7539	6.8659	963.848
Rhincodontidae	Palaeorhincodon dartevellei	51.9	32.905	-6.925	-1.8304	20.9235	-8.4406	27.1207	-2.8682	20.2739	6.8468	960.516
Rhincodontidae	Palaeorhincodon dartevellei	51.9	32.905	-6.925	-1.8304	20.9235	-8.4406	27.1207	-2.8682	20.2739	6.8468	960.516
Rhincodontidae	Palaeorhincodon dartevellei	56.32	34.714	7.959	11.9513	20.3365	5.6803	26.0949	11.16	19.83	6.2649	904.502
Rhincodontidae	Palaeorhincodon sp.	57.6	31.167	36.942	36.5179	13.0773	30.3915	17.9847	35.9536	13.0922	4.9074	852.345
Rhincodontidae	Palaeorhincodon sp.	44.4	8.78	1.02	1.3317	-3.7584	-4.4233	3.7868	1.2116	-2.3004	7.5452	1051.627
Rhincodontidae	Palaeorhincodon sp.	39.501	32.329	-83.114	-63.9579	30.2454	-74.3225	32.5784	-66.729	27.1659	5.4125	1018.47
Rhincodontidae	Palaeorhincodon sp.	51.9	32.959	-80.347	-55.4532	31.1669	-65.5181	33.9666	-56.1273	29.1473	4.8193	1038.757
Rhincodontidae	Palaeorhincodon wardi	51.9	51.015	3.259	7.0444	40.6023	0.6729	46.5846	4.9767	40.2552	6.3294	839.921
Rhincodontidae	Palaeorhincodon wardi	51.9	51.012	3.24	7.0288	40.599	0.6556	46.5815	4.9614	40.2513	6.3302	840.039
Rhincodontidae	Palaeorhincodon wardi	51.9	50.64	4.667	8.2278	40.2558	1.9678	46.2181	6.1749	39.9525	6.2656	834.474
Rhincodontidae	Palaeorhincodon wardi	44.4	50.85	4.428	6.891	40.6359	0.9987	47.8558	3.4098	42.3405	7.2199	929.458
Rhincodontidae	Palaeorhincodon wardi	44.4	50.881	4.473	6.9272	40.6677	1.0399	47.8874	3.4432	42.3746	7.2197	929.113
Rhincodontidae	Palaeorhincodon wardi	44.4	51.967	-0.426	2.8391	41.688	-3.5949	48.9073	-0.8503	43.1288	7.2193	947.06
Rhincodontidae	Palaeorhincodon wardi	44.4	50.762	-0.859	2.4971	40.4803	-3.969	47.6977	-1.0572	41.9033	7.2174	953.835
Rhincodontidae	Palaeorhincodon wardi	49.15	49.54	3.414	6.8207	39.2414	0.605	45.51	4.4379	39.3082	6.2686	863.659
Rhincodontidae	Palaeorhincodon wardi	42.9	42	64	59.8559	37.349	59.0359	41.5129	59.1453	41.8172	4.4682	499.826
Rhincodontidae	Palaeorhincodon wardi	52.85	38.421	-77.457	-50.2902	35.8227	-60.8887	38.984	-51.0685	33.9483	5.0357	1041.631
Brachaeluridae	Paraginglymostoma bloti	69.05	53.823	9.035	15.801	43.0827	7.6977	46.0021	13.9645	42.7011	3.301	720.603
Orectolobiformes incert. fam.	Parahemiscyllium underwoodwardi	137.05	43.956	3.808	31.77	29.7353	13.2578	34.8367	35.3866	27.9645	6.8722	2232.304
Parascylliidae	Pararhincodon crochardi	74.25	50.476	4.006	12.2749	40.2354	6.6745	42.12	10.8519	39.837	2.28299999999999	514.287
Parascylliidae	Pararhincodon crochardi	74.25	48.772	3.891	12.1607	38.5321	6.3686	40.4299	10.8084	38.1317	2.2982	540.905
Parascylliidae	Pararhincodon crochardi	74.25	48.772	3.891	12.1607	38.5321	6.3686	40.4299	10.8084	38.1317	2.2982	540.905
Parascylliidae	Pararhincodon crochardi	82.1	49.993	1.877	11.2331	40.3345	4.127	40.217	10.1102	39.7667	0.567799999999998	604.348
Parascylliidae	Pararhincodon crochardi	82.1	49.508	4.081	13.0949	39.8503	5.9537	39.6678	11.9722	39.3182	0.5321	612.125
Parascylliidae	Pararhincodon crochardi	82.1	51.489	-2.504	7.5791	41.8643	0.575	41.8741	6.4407	41.2281	0.646000000000001	581.321
Parascylliidae	Pararhincodon crochardi	82.1	51.489	-2.504	7.5791	41.8643	0.575	41.8741	6.4407	41.2281	0.646000000000001	581.321
Parascylliidae	Pararhincodon crochardi	84.701	49.797	3.508	13.306	40.5051	5.0904	39.9216	12.0118	39.7129	0.792200000000001	702.11
Parascylliidae	Pararhincodon crochardi	84.701	51.545	-0.683	9.7664	42.2528	1.6611	41.7594	8.4537	41.3859	0.866900000000001	673.442
Parascylliidae	Pararhincodon crochardi	84.951	52.029	0.86	11.1413	42.7712	2.936	42.1966	9.776	41.9067	0.8645	677.381
Parascylliidae	Pararhincodon crochardi	92.15	50.324	3.741	16.2886	42.0129	4.5116	40.1979	14.3779	40.7184	1.815	1008.733
Parascylliidae	Pararhincodon germaini	39.501	43.688	-1.137	1.5359	33.5639	-4.7633	41.6024	-2.0623	36.2881	8.03850000000001	1050.732
Parascylliidae	Pararhincodon germaini	44.4	43.688	-1.137	2.3358	33.4049	-4.0729	40.6216	-0.4837	34.8411	7.2167	982.571
Parascylliidae	Pararhincodon germaini	44.4	45.338	-0.473	2.8908	35.0591	-3.4756	42.2788	-0.0804	36.5261	7.2197	973.653
Parascylliidae	Pararhincodon groessensi	63.8	55.255	12.379	16.8075	44.5767	9.0473	48.528	15.2605	44.0099	4.5181	739.053
Parascylliidae	Pararhincodon groessensi	63.8	55.255	12.379	16.8075	44.5767	9.0473	48.528	15.2605	44.0099	4.5181	739.053
Parascylliidae	Pararhincodon groessensi	63.8	55.255	12.379	16.8075	44.5767	9.0473	48.528	15.2605	44.0099	4.5181	739.053
Parascylliidae	Pararhincodon groessensi	68.05	55.281	12.439	18.2771	44.4808	10.2678	47.468	16.4169	44.1289	3.3391	703.445
Parascylliidae	Pararhincodon groessensi	68.05	53.689	9.16	15.6571	42.8772	7.4137	45.9412	13.9021	42.4523	3.4889	739.118
Parascylliidae	Pararhincodon lehmani	105.351	51.079	1.179	20.8543	42.5466	5.7393	40.1366	21.4577	41.8087	2.41	1334.059
Parascylliidae	Pararhincodon lehmani	97.201	34.171	35.75	40.3449	12.5519	30.016	12.7605	39.3102	12.1681	0.5924	1122.214
Parascylliidae	Pararhincodon lehmani	98.35	32.698	-97.211	-52.4563	35.6888	-61.7341	30.5843	-52.6397	33.1134	5.1045	1033.595
Parascylliidae	Pararhincodon ornatus	74.25	43.67	-1.11	7.7756	33.4917	1.3792	35.6803	6.6374	32.9866	2.6937	634.911
Parascylliidae	Pararhincodon ornatus	74.25	51.979	7.407	15.0981	41.7362	9.7438	43.4309	13.593	41.4071	2.0238	478.031
Parascylliidae	Pararhincodon ornatus	74.25	51.98	7.312	15.0197	41.7368	9.6636	43.4367	13.515	41.4058	2.0309	478.374
Parascylliidae	Pararhincodon ornatus	74.25	53.423	8.467	15.9525	43.1854	10.7996	44.8177	14.3762	42.8769	1.9408	451.219
Parascylliidae	Pararhincodon ornatus	82.1	49.79	3.64	12.7207	40.1312	5.5977	39.9615	11.592	39.5918	0.539400000000001	607.978
Parascylliidae	Pararhincodon ornatus	82.1	50.882	-1.344	8.5354	41.2439	1.4911	41.2205	7.4077	40.6254	0.618499999999997	590.433
Parascylliidae	Pararhincodon ornatus	82.1	51.489	-2.504	7.5791	41.8643	0.575	41.8741	6.4407	41.2281	0.646000000000001	581.321
Parascylliidae	Pararhincodon ornatus	82.1	51.489	-2.504	7.5791	41.8643	0.575	41.8741	6.4407	41.2281	0.646000000000001	581.321
Parascylliidae	Pararhincodon ornatus	82.1	51.447	-1.345	8.5469	41.8088	1.5381	41.7844	7.4007	41.1904	0.618400000000001	582.375
Parascylliidae	Pararhincodon ornatus	84.701	49.797	3.508	13.306	40.5051	5.0904	39.9216	12.0118	39.7129	0.792200000000001	702.11
Parascylliidae	Pararhincodon ornatus	84.701	51.545	-0.683	9.7664	42.2528	1.6611	41.7594	8.4537	41.3859	0.866900000000001	673.442
Parascylliidae	Pararhincodon ornatus	84.701	51.447	-1.345	9.2088	42.1586	1.1037	41.6798	7.9073	41.2804	0.8782	674.206
Parascylliidae	Pararhincodon ornatus	84.951	52.029	0.86	11.1413	42.7712	2.936	42.1966	9.776	41.9067	0.8645	677.381
Parascylliidae	Pararhincodon ornatus	92.15	49.597	4.325	16.8261	41.2999	5.0206	39.4789	14.9419	40.022	1.821	1021.697
Parascylliidae	Pararhincodon sp.	63.8	56.974	8.756	13.8576	46.2332	5.9518	50.2526	12.2659	45.597	4.6556	737.276
Parascylliidae	Pararhincodon sp.	63.8	55.569	12.899	17.2053	44.9022	9.4927	48.8431	15.6392	44.3445	4.4986	732.65
Parascylliidae	Pararhincodon sp.	98.35	52.128	0.037	16.0327	43.9996	1.5957	40.9517	13.4595	42.5696	3.0479	1232.646
Parascylliidae	Pararhincodon sp.	98.35	52.128	0.037	16.0327	43.9996	1.5957	40.9517	13.4595	42.5696	3.0479	1232.646
Parascylliidae	Pararhincodon sp.	104.05	52.939	0.49	19.4727	44.5222	4.3897	41.8575	19.2715	43.6726	2.6647	1259.312
Parascylliidae	Pararhincodon sp.	104.05	54.154	-0.24	18.8122	45.7251	3.7554	43.0597	18.6191	44.8752	2.6654	1233.628
Parascylliidae	Pararhincodon sp.	57.6	50.533	3.174	7.8447	39.863	0.998	45.2548	6.5427	39.1487	6.1061	820.9
Parascylliidae	Pararhincodon sp.	71.1	54.438	13.576	19.821	43.9027	12.8367	46.3165	17.9372	43.6839	2.6326	611.307
Parascylliidae	Pararhincodon sp.	35.951	29.264	30.023	29.4164	17.804	26.0236	24.5596	28.4349	21.4402	6.7556	826.677
Parascylliidae	Pararhincodon sp.	35.951	29.471	30.624	29.9606	18.0253	26.6078	24.7473	28.9823	21.681	6.722	821.36
Parascylliidae	Pararhincodon sp.	35.951	31.167	31.167	30.4025	19.7345	27.1948	26.4253	29.3651	23.4047	6.6908	810.481
Parascylliidae	Pararhincodon sp.	42.9	26.254	29.268	29.2905	12.1003	24.4454	19.471	28.2997	15.706	7.3707	966.582
Parascylliidae	Pararhincodon sp.	57.6	31.167	36.942	36.5179	13.0773	30.3915	17.9847	35.9536	13.0922	4.9074	852.345
Parascylliidae	Pararhincodon sp.	97.201	40.571	-108.597	-62.0246	45.6678	-72.7302	41.3085	-61.6453	43.2956	4.3593	991.039
Parascylliidae	Pararhincodon sp.	69.05	31.264	-98.546	-66.2131	37.371	-76.8004	37.1872	-66.393	35.6437	1.7273	948.488
Parascylliidae	Pararhincodon sp.	77.85	34.198	-79.767	-43.5134	33.8616	-50.4771	35.4617	-43.9448	32.7056	2.7561	675.761
Parascylliidae	Pararhincodon sp.	77.85	31.264	-98.546	-62.9385	36.0518	-70.3112	37.1851	-63.1036	34.8407	2.3444	699.65
Parascylliidae	Pararhincodon sp.	90.601	35.487	-106.201	-64.6018	40.4457	-72.7163	37.9764	-64.1801	38.6512	2.4693	752.176
Parascylliidae	Pararhincodon sp.	88.05	54.953	-5.928	6.4225	46.1627	-2.9444	45.1356	4.8338	44.8711	1.2916	738.582
Parascylliidae	Pararhincodon sp.	94.701	50.324	3.741	17.5217	42.1411	4.3462	39.9582	15.3589	40.8373	2.1829	1132.662
Parascylliidae	Pararhincodon ypresiensis	51.9	51.015	3.259	7.0444	40.6023	0.6729	46.5846	4.9767	40.2552	6.3294	839.921
Parascylliidae	Pararhincodon ypresiensis	51.9	51.012	3.24	7.0288	40.599	0.6556	46.5815	4.9614	40.2513	6.3302	840.039
Parascylliidae	Pararhincodon ypresiensis	51.9	50.64	4.667	8.2278	40.2558	1.9678	46.2181	6.1749	39.9525	6.2656	834.474
Parascylliidae	Pararhincodon ypresiensis	51.9	51.636	0.846	5.0305	41.1869	-1.5389	47.1966	2.9396	40.7655	6.43109999999999	848.908
Parascylliidae	Parascyllium sp.	44.4	43.688	-1.137	2.3358	33.4049	-4.0729	40.6216	-0.4837	34.8411	7.2167	982.571
Orectolobiformes incert. fam.	Phorcynis catulina	148.55	48.897	10.998	37.6367	31.6929	18.712	40.8046	36.8053	34.9333	9.1117	1972.372
Orectolobiformes incert. fam.	Phorcynis catulina	148.55	48.947	11.404	37.9347	31.7902	19.0586	40.8745	37.1102	35.0395	9.0843	1965.552
Orectolobiformes incert. fam.	Phorcynis catulina	154.701	45.787	5.542	33.2816	28.6208	14.4833	37.0578	32.3152	31.1896	8.437	1987.973
Orectolobiformes incert. fam.	Phorcynis sp.	149.9	46.042	-1.403	28.7163	27.099	8.0941	37.6073	26.9934	30.6386	10.5083	2256.302
Orectolobiformes incert. fam.	Phorcynis sp.	160.2	39.621	-0.91	20.4786	23.4962	8.2416	30.6053	20.2909	24.43	7.1091	1445.635
Ginglymostomatidae	Plicatoscyllium antiquum	74.8	-12.91	14.036	9.4919	-28.08	3.5109	-25.2004	10.0026	-28.516	3.3156	742.207
Ginglymostomatidae	Plicatoscyllium antiquum	68.05	33.296	-94.113	-61.3307	38.0313	-72.2167	38.2355	-61.5705	36.3549	1.8806	966.157
Ginglymostomatidae	Plicatoscyllium antiquum	69.05	34.831	-77.816	-44.4832	34.8127	-54.7188	36.1356	-45.1036	33.1623	2.97329999999999	940.637
Ginglymostomatidae	Plicatoscyllium antiquum	69.05	39.128	-76.687	-41.5171	38.5032	-52.0919	40.0093	-42.2531	36.8815	3.1278	927.344
Ginglymostomatidae	Plicatoscyllium derameei	68.05	33.296	-94.113	-61.3307	38.0313	-72.2167	38.2355	-61.5705	36.3549	1.8806	966.157
Ginglymostomatidae	Plicatoscyllium derameei	69.05	35.205	-92.448	-58.3949	39.3649	-69.2304	39.7188	-58.754	37.6374	2.0814	939.832
Ginglymostomatidae	Plicatoscyllium derameei	69.05	34.831	-77.816	-44.4832	34.8127	-54.7188	36.1356	-45.1036	33.1623	2.97329999999999	940.637
Ginglymostomatidae	Plicatoscyllium derameei	69.05	39.128	-76.687	-41.5171	38.5032	-52.0919	40.0093	-42.2531	36.8815	3.1278	927.344
Ginglymostomatidae	Plicatoscyllium derameei	69.05	47.62	-100.541	-59.5939	53.1413	-72.493	53.3397	-59.9632	51.4118	1.9279	878.58
Ginglymostomatidae	Plicatoscyllium derameei	71.1	38.725	-105.608	-69.3904	46.1458	-80.2497	46.1162	-69.4828	44.4499	1.6959	864.074
Ginglymostomatidae	Plicatoscyllium gharbii	68.05	32.239	-7.958	-0.7218	20.6141	-8.7036	24.4142	-1.5126	19.7612	4.653	922.465
Ginglymostomatidae	Plicatoscyllium gharbii	68.05	32.239	-7.958	-0.7218	20.6141	-8.7036	24.4142	-1.5126	19.7612	4.653	922.465
Ginglymostomatidae	Plicatoscyllium gharbii	68.05	32.239	-7.958	-0.7218	20.6141	-8.7036	24.4142	-1.5126	19.7612	4.653	922.465
Ginglymostomatidae	Plicatoscyllium gharbii	71.1	32.239	-7.958	-0.3096	20.739	-7.6328	24.115	-1.1362	19.9658	4.1492	841.31
Ginglymostomatidae	Plicatoscyllium gharbii	71.1	32.239	-7.958	-0.3096	20.739	-7.6328	24.115	-1.1362	19.9658	4.1492	841.31
Ginglymostomatidae	Plicatoscyllium globidens	74.25	49.521	-124.674	-83.518	60.4346	-96.9132	57.7717	-82.8662	59.0532	2.6629	831.759
Ginglymostomatidae	Plicatoscyllium globidens	71.1	40.471	-74.012	-37.6765	38.9161	-47.3276	40.8448	-38.5192	37.3797	3.4651	852.872
Ginglymostomatidae	Plicatoscyllium globidens	71.1	40.471	-74.012	-37.6765	38.9161	-47.3276	40.8448	-38.5192	37.3797	3.4651	852.872
Ginglymostomatidae	Plicatoscyllium globidens	74.25	43.233	-106.311	-66.711	49.9959	-76.2699	51.5103	-66.8219	48.5254	2.9849	753.378
Ginglymostomatidae	Plicatoscyllium globidens	74.25	34.967	-89.839	-54.0825	37.7907	-62.178	39.8831	-54.4772	36.3327	3.5504	781.523
Ginglymostomatidae	Plicatoscyllium globidens	74.25	39.541	-75.74	-38.7171	38.212	-46.3243	40.8344	-39.4028	36.8621	3.9723	744.914
Ginglymostomatidae	Plicatoscyllium globidens	77.85	31.52	-84.869	-49.3894	32.6783	-56.4226	34.1553	-49.7352	31.4913	2.664	692.188
Ginglymostomatidae	Plicatoscyllium globidens	77.85	34.628	-78.563	-42.2137	33.9505	-49.1547	35.5756	-42.663	32.8029	2.7727	672.601
Ginglymostomatidae	Plicatoscyllium lehneri	68.05	32.905	-6.925	0.3699	21.0143	-7.6	24.8558	-0.4387	20.1887	4.6671	921.258
Ginglymostomatidae	Plicatoscyllium lehneri	68.05	32.239	-7.958	-0.7218	20.6141	-8.7036	24.4142	-1.5126	19.7612	4.653	922.465
Ginglymostomatidae	Plicatoscyllium lehneri	68.05	32.239	-7.958	-0.7218	20.6141	-8.7036	24.4142	-1.5126	19.7612	4.653	922.465
Ginglymostomatidae	Plicatoscyllium lehneri	68.05	31.393	-9.413	-2.2402	20.1469	-10.2404	23.8869	-3.0089	19.2563	4.6306	923.742
Ginglymostomatidae	Plicatoscyllium lehneri	68.05	42.4	-2.35	6.1857	31.348	-2.3674	34.5085	5.004	30.6696	3.8389	872.97
Ginglymostomatidae	Plicatoscyllium lehneri	69.05	31.173	-7.336	-0.3306	19.4857	-8.1809	23.1363	-1.125	18.6637	4.4726	909.02
Ginglymostomatidae	Plicatoscyllium lehneri	69.05	-2.981	23.822	22.2155	-19.9818	15.3818	-15.781	22.5777	-20.1392	4.3582	901.813
Ginglymostomatidae	Plicatoscyllium lehneri	69.05	10.747	-61.084	-37.1991	6.146	-45.1943	7.9043	-37.5353	4.577	3.3273	923.883
Ginglymostomatidae	Plicatoscyllium minutum	68.05	32.239	-7.958	-0.7218	20.6141	-8.7036	24.4142	-1.5126	19.7612	4.653	922.465
Ginglymostomatidae	Plicatoscyllium minutum	68.05	31.393	-9.413	-2.2402	20.1469	-10.2404	23.8869	-3.0089	19.2563	4.6306	923.742
Ginglymostomatidae	Plicatoscyllium minutum	69.05	50.703	4.991	12.4501	39.9901	4.0292	43.0003	10.7981	39.5131	3.4872	778.101
Ginglymostomatidae	Plicatoscyllium minutum	69.05	32.905	-6.925	0.5424	21.0511	-7.3541	24.7333	-0.304	20.2517	4.4816	906.763
Ginglymostomatidae	Plicatoscyllium minutum	69.05	50.851	5.691	13.0318	40.1302	4.6445	43.1257	11.3685	39.6699	3.4558	773.58
Ginglymostomatidae	Plicatoscyllium sp.	68.05	32.239	-7.958	-0.7218	20.6141	-8.7036	24.4142	-1.5126	19.7612	4.653	922.465
Ginglymostomatidae	Plicatoscyllium sp.	77.85	45.667	0.097	9.262	35.7498	2.9188	36.6561	8.2558	35.3338	1.32230000000001	579.138
Ginglymostomatidae	Plicatoscyllium sp.	69.05	32.017	36.043	36.9922	12.1233	29.8205	16.2298	36.3531	12.3959	4.1065	897.471
Ginglymostomatidae	Plicatoscyllium sp.	71.1	31.167	31.167	33.3985	12.9493	26.8871	16.6446	32.7431	13.1516	3.6953	811.347
Ginglymostomatidae	Plicatoscyllium sp.	71.1	31.167	36.942	37.7391	10.9123	30.9578	14.4545	37.1486	11.2431	3.5422	834.203
Ginglymostomatidae	Plicatoscyllium sp.	71.1	34.64	39.049	40.1941	13.9853	33.5463	17.4539	39.5123	14.3861	3.4686	809.185
Ginglymostomatidae	Plicatoscyllium sp.	71.1	34.64	39.049	40.1941	13.9853	33.5463	17.4539	39.5123	14.3861	3.4686	809.185
Ginglymostomatidae	Plicatoscyllium sp.	74.8	32.556	35.849	37.2774	12.249	31.7781	14.4067	36.7425	12.4872	2.1577	641.791
Ginglymostomatidae	Plicatoscyllium sp.	69.05	-31.761	-71.319	-54.017	-34.4829	-58.7802	-33.7707	-54.1068	-36.196	2.4253	504.359
Ginglymostomatidae	Plicatoscyllium youssoufiaense	68.05	32.905	-6.925	0.3699	21.0143	-7.6	24.8558	-0.4387	20.1887	4.6671	921.258
Ginglymostomatidae	Plicatoscyllium youssoufiaense	68.05	32.239	-7.958	-0.7218	20.6141	-8.7036	24.4142	-1.5126	19.7612	4.653	922.465
Ginglymostomatidae	Plicatoscyllium youssoufiaense	68.05	32.239	-7.958	-0.7218	20.6141	-8.7036	24.4142	-1.5126	19.7612	4.653	922.465
Ginglymostomatidae	Plicatoscyllium youssoufiaense	68.05	32.239	-7.958	-0.7218	20.6141	-8.7036	24.4142	-1.5126	19.7612	4.653	922.465
Ginglymostomatidae	Plicatoscyllium youssoufiaense	68.05	31.393	-9.413	-2.2402	20.1469	-10.2404	23.8869	-3.0089	19.2563	4.6306	923.742
Ginglymostomatidae	Plicatoscyllium youssoufiaense	68.05	14.559	-17.114	-14.113	5.9996	-21.5826	9.1995	-14.4879	4.8399	4.3596	920.124
Ginglymostomatidae	Protoginglymostoma sp.	44.4	31.294	-8.073	-3.9551	19.7259	-10.4174	27.1474	-5.6802	20.7848	7.4215	1053.88
Ginglymostomatidae	Protoginglymostoma ypresiensis	51.9	50.812	4.318	7.9305	40.4202	1.6453	46.3878	5.8689	40.1058	6.282	835.345
Ginglymostomatidae	Protoginglymostoma ypresiensis	51.9	51.015	3.259	7.0444	40.6023	0.6729	46.5846	4.9767	40.2552	6.3294	839.921
Ginglymostomatidae	Protoginglymostoma ypresiensis	51.9	50.64	4.667	8.2278	40.2558	1.9678	46.2181	6.1749	39.9525	6.2656	834.474
Ginglymostomatidae	Protoginglymostoma ypresiensis	51.9	46.603	1.888	6.0359	36.1689	-0.5487	42.1667	4.2375	35.7898	6.3769	875.312
Ginglymostomatidae	Protoginglymostoma ypresiensis	51.9	32.959	-80.347	-55.4532	31.1669	-65.5181	33.9666	-56.1273	29.1473	4.8193	1038.757
Ginglymostomatidae	Pseudoginglymostoma erguitaense	71.1	30.33	-9.411	-2.1679	19.2771	-9.4843	22.5994	-2.9414	18.4557	4.1437	845.039
Ginglymostomatidae	Pseudoginglymostoma idiri	68.05	32.905	-6.925	0.3699	21.0143	-7.6	24.8558	-0.4387	20.1887	4.6671	921.258
Ginglymostomatidae	Pseudoginglymostoma idiri	69.05	32.905	-6.925	0.5424	21.0511	-7.3541	24.7333	-0.304	20.2517	4.4816	906.763
Ginglymostomatidae	Pseudoginglymostoma sp.	50	-64.239	-56.603	-69.6407	-65.7248	-63.2009	-63.3755	-69.0147	-68.0754	4.6999	587.485
Ginglymostomatidae	Pseudoginglymostoma sp.	51.75	-64.239	-56.603	-69.0798	-65.4286	-63.4776	-63.4497	-68.8343	-67.5697	4.12	521.562
Hemiscylliidae	Pseudospinax heterodon	98.35	52.128	0.037	16.0327	43.9996	1.5957	40.9517	13.4595	42.5696	3.0479	1232.646
Hemiscylliidae	Pseudospinax heterodon	98.35	54.154	-0.24	15.7138	46.0199	1.2683	42.9699	12.9999	44.5749	3.05	1195.944
Hemiscylliidae	Pseudospinax heterodon	104.05	52.939	0.49	19.4727	44.5222	4.3897	41.8575	19.2715	43.6726	2.6647	1259.312
Hemiscylliidae	Pseudospinax heterodon	104.05	54.154	-0.24	18.8122	45.7251	3.7554	43.0597	18.6191	44.8752	2.6654	1233.628
Hemiscylliidae	Pseudospinax heterodon	104.05	54.154	-0.24	18.8122	45.7251	3.7554	43.0597	18.6191	44.8752	2.6654	1233.628
Hemiscylliidae	Pseudospinax heterodon	104.05	54.154	-0.24	18.8122	45.7251	3.7554	43.0597	18.6191	44.8752	2.6654	1233.628
Hemiscylliidae	Pseudospinax heterodon	105.351	51.079	1.179	20.8543	42.5466	5.7393	40.1366	21.4577	41.8087	2.41	1334.059
Hemiscylliidae	Pseudospinax pusillus	97.201	52.052	8.399	22.6203	44.1072	8.2936	41.3763	19.9962	42.9485	2.7309	1209.934
Hemiscylliidae	Pseudospinax sp.	164.601	50.452	19.521	39.8664	40.0099	26.4498	41.8265	39.6436	40.3188	1.8166	1146.821
Orectolobidae	Restesia americana	69.05	49.189	-113.201	-71.9756	58.0767	-85.7674	57.3804	-71.7992	56.3691	1.7076	857.584
Orectolobidae	Restesia americana	68.05	47.678	-106.235	-65.888	54.7858	-79.3471	54.5703	-65.9324	53.1165	1.6693	896.232
Orectolobidae	Restesia americana	68.05	48.578	-114.152	-73.918	57.7672	-88.7463	57.0002	-73.5889	56.1349	1.6323	934.82
Orectolobidae	Restesia americana	68.3	40.677	-105.853	-69.7313	48.2236	-81.8728	47.7703	-69.715	46.5529	1.6707	930.765
Orectolobidae	Restesia americana	68.3	43.032	-104.642	-67.12	50.0793	-79.6	49.7995	-67.1724	48.3988	1.6805	919.7
Orectolobidae	Restesia americana	68.3	41.791	-107.243	-70.6009	49.6404	-82.9577	49.1178	-70.5421	47.9737	1.6667	924.418
Orectolobidae	Restesia americana	77.85	37.288	-111.767	-74.2278	45.1241	-83.5504	46.0022	-74.1521	43.9435	2.0587	775.325
Orectolobidae	Restesia americana	77.85	29.956	-104.404	-69.384	36.3023	-76.8516	37.249	-69.452	35.1031	2.1459	706.746
Orectolobidae	Restesia nordquistae	68.05	44.647	-100.349	-61.7842	50.3605	-74.419	50.4694	-61.9979	48.6843	1.7851	918.83
Rhincodontidae	Rhincodon ferriolensis	18.206	37.61	-0.927	-1.4552	31.8766	-2.3964	37.6414	-2.0079	32.9549	5.7648	645.294
Rhincodontidae	Rhincodon sp.	14.896	43.449	3.615	2.8597	38.2473	2.3102	43.5986	2.0828	39.7198	5.35129999999999	596.071
Rhincodontidae	Rhincodon sp.	7.104	10.04	-83.545	-82.1315	9.4838	-82.3669	9.8735	-82.3916	8.7844	1.0891	120.489
Rhincodontidae	Rhincodon sp.	23.1	-1.815	-80.757	-73.7406	-6.3141	-76.0428	-3.3293	-73.6499	-6.9884	3.6591	483.831
Rhincodontidae	Rhincodon sp.	25.566	32.998	-80.149	-68.5133	30.0184	-74.7957	33.0917	-69.433	29.2317	3.86	686.764
Rhincodontidae	Rhincodon sp.	18.206	35.568	-76.486	-67.3789	32.7843	-72.5938	35.778	-68.2601	32.4842	3.2938	583.678
Rhincodontidae	Rhincodon typus	25.566	23.659	-102.008	-91.4236	23.7549	-97.1332	24.4815	-91.9532	22.4549	2.0266	585.937
Rhincodontidae	Rhincodon typus	3.961	30.034	-115.143	-111.5634	29.6884	-113.8732	29.8492	-111.8642	28.9453	0.9039	224.085
