it	posterior	prior	PP_lik	BD_lik	q_0	q_1	q_2	q_3	alpha	root_age	death_age	hypL	hypM	lambda_0	lambda_1	lambda_2	lambda_3	lambda_4	lambda_5	lambda_6	lambda_7	lambda_8	lambda_9	lambda_10	lambda_11	lambda_12	mu_0	mu_1	mu_2	mu_3	mu_4	mu_5	mu_6	mu_7	mu_8	mu_9	mu_10	mu_11	mu_12	tot_length	Acanthoscyllium_TS	Adnetoscyllium_TS	Almascyllium_TS	Annea_TS	Brachaelurid_TS	Brachaelurus_TS	Cantioscyllium_TS	Cederstroemia_TS	Chiloscyllium_TS	Coelometlaouia_TS	Cretorectolobus_TS	Delpitoscyllium_TS	Dorsetoscyllium_TS	Eometlaouia_TS	Eostegostoma_TS	Folipistrix_TS	Ganntouria_TS	Garrigascyllium_TS	Ginglymostoma_TS	Hemiscyllium_TS	Heterophorcynus_TS	Hologinglymostoma_TS	Magistrauia_TS	Mesiteia_TS	Nebrius_TS	Notoramphoscyllium_TS	Orecto_TS	Orectolobiformes_TS	Orectoloboides_TS	Orectolobus_TS	Ornatoscyllium_TS	Palaeobrachaelurus_TS	Palaeocarcharias_TS	Palaeorectolobus_TS	Palaeorhincodon_TS	Paraginglymostoma_TS	Parahemiscyllium_TS	Pararhincodon_TS	Parascyllium_TS	Phorcynis_TS	Plicatoscyllium_TS	Protoginglymostoma_TS	Pseudoginglymostoma_TS	Pseudospinax_TS	Restesia_TS	Rhincodon_TS	Squatiscyllium_TS	Stegostoma_TS	Acanthoscyllium_TE	Adnetoscyllium_TE	Almascyllium_TE	Annea_TE	Brachaelurid_TE	Brachaelurus_TE	Cantioscyllium_TE	Cederstroemia_TE	Chiloscyllium_TE	Coelometlaouia_TE	Cretorectolobus_TE	Delpitoscyllium_TE	Dorsetoscyllium_TE	Eometlaouia_TE	Eostegostoma_TE	Folipistrix_TE	Ganntouria_TE	Garrigascyllium_TE	Ginglymostoma_TE	Hemiscyllium_TE	Heterophorcynus_TE	Hologinglymostoma_TE	Magistrauia_TE	Mesiteia_TE	Nebrius_TE	Notoramphoscyllium_TE	Orecto_TE	Orectolobiformes_TE	Orectoloboides_TE	Orectolobus_TE	Ornatoscyllium_TE	Palaeobrachaelurus_TE	Palaeocarcharias_TE	Palaeorectolobus_TE	Palaeorhincodon_TE	Paraginglymostoma_TE	Parahemiscyllium_TE	Pararhincodon_TE	Parascyllium_TE	Phorcynis_TE	Plicatoscyllium_TE	Protoginglymostoma_TE	Pseudoginglymostoma_TE	Pseudospinax_TE	Restesia_TE	Rhincodon_TE	Squatiscyllium_TE	Stegostoma_TE
0	-4400.337935225116	-169.16589690165566	-2930.4453244144656	-1300.726713908995	0.42552834040268184	0.42552834040268184	0.42552834040268184	0.42552834040268184	1.0	263.7825655144714	0.0	1.1	1.1	0.5180422689858009	0.23795082493879244	0.8613250313976265	0.10625717335699598	0.4285620512712721	0.4157950456047942	0.14123402681161346	0.4663816773193753	0.10674723821792392	0.17981647680392499	0.16203324982921374	0.39265136757481844	0.2724113537365653	0.24896215162847446	0.5367799238391119	0.11259566519312869	0.32783279600500226	0.22676649088357104	0.34247494548070245	0.1667147038935152	0.3649135077788418	0.13725229703803463	0.26025279992234307	0.26652995236537314	0.2247693070181318	0.12307745388015216	1913.5460112657536	85.5078813576742	97.78959050655365	98.22000561475232	186.60217997393778	136.51021904346996	55.09550388576645	157.66161194983616	112.64749430620391	119.18368010860611	62.432903359721166	137.87474849442685	67.81690738089071	166.8882601150014	62.74942584592971	64.91887348840106	178.46293114663032	71.9940385223645	136.20586362055823	89.12596214156899	78.61746902389942	166.34854024848312	59.55311867324663	135.01774991896008	96.05125013772631	67.36847799759477	54.992968355932135	263.7825655144714	157.441181217261	113.7085877318833	44.12051588668164	197.32322493534855	185.20153723747885	153.3890802854988	149.475670149492	59.15598667493001	71.81938294894152	137.8487493040931	109.89680452308981	59.02375557603395	164.68581507367392	80.32726890827381	53.71710389741332	94.6060384933164	167.6822993545845	80.87539811771512	28.838304393647654	62.18487529640026	41.26865007588422	85.19556674117293	80.11962374531245	76.99952211975037	97.47442789492065	127.16190854540343	0.0	68.38337814584017	71.50944061615581	0.0	36.82375636282111	65.37867149584012	50.975748771562245	166.59874641254612	50.9947532803281	29.90255733025347	173.32239122391013	66.70483566382781	136.00690736970196	0.0	0.0	165.97674714783759	54.82959720582254	134.9828956923415	96.00716254090324	0.0	26.04405139423507	40.1092188224033	157.01796336384632	1.4014419192895424	0.0	115.12207300739573	114.08672715726128	144.21754374646653	149.2594638619932	36.04443732601472	71.66085596363472	137.35506908973736	32.84781399618703	0.0	143.43690954979564	65.85360087921393	43.90868278426048	0.0	89.68851050408601	58.922540086317355	0.0	46.13889779010574	0.0
20000	-3411.7793184967295	-142.73327113412466	-2862.8049153640454	-406.24113199855947	0.2719287209691866	0.17035306111744483	0.9764813211135409	0.31986441538475374	1.0315857114985485	278.8213496881865	0.0	0.8467350884576283	1.1189071706049711	0.05268001976481421	0.026710393209972007	0.013488189987143425	0.03198743565820812	0.018332816691847068	0.16277197528121748	0.007064362560910379	0.05115787255257116	0.007498661069111223	0.0036274749022957025	0.009767669782062978	0.003957462899868859	0.041306470404564484	0.029086160670999287	0.02945686668934866	0.032280056177441944	0.0421795163397373	0.0223079922704603	0.011022949858755546	0.08807126736066813	0.020365339047139625	0.022972262469056287	0.00608988616268892	0.02430928983379402	0.04628716207167165	0.013681519945202709	1963.630466721703	85.72337999267243	97.97102340688788	97.80720304392275	184.24474960574102	147.72880188048003	58.073911682987664	157.74789338950356	114.41573129203441	123.57420132450083	69.78860159571916	133.17696158155343	66.25796346055567	170.7130492534169	66.55266142923662	66.57711219109609	178.182495852805	69.58837939756091	136.29565158365713	88.44431577401997	76.26295223779482	173.36235538270242	58.52815196893613	135.11977496371915	96.78384852503791	67.0701520610136	58.73531461720109	278.8213496881865	157.79556140441042	117.71119166014888	53.03919505153884	185.4984224653243	183.9985279404034	154.68422306311874	150.15155794136223	58.62102536217128	74.06955021406559	139.8949133004727	114.88022965594575	51.781476634806204	160.92682214873525	80.48633684299631	54.75555154156129	82.91538152208936	167.05563268215312	82.41720018619485	29.687995663011975	60.52057493498385	43.78372866857279	84.9226117265282	79.70764624486164	82.60354560024517	97.9735355980085	118.72918111302101	0.0	67.3588380091149	71.3983042353938	0.0	31.789018141037342	65.17616003658281	50.42204435133567	166.01842615704348	50.949095690044395	31.256901653036987	169.8235543309405	66.68317675951818	133.78709110412038	0.0	0.0	161.89079611588744	46.58020608867186	133.0911453775738	95.86238478939943	0.0	24.784392329345028	42.930270964662064	157.00410684479655	12.223777983694301	0.0	122.16812415908709	113.6862722272803	144.39925375053207	148.99995080538457	33.723867239919066	70.26112101743165	136.86977494219664	32.4111431124158	0.0	135.74260237712588	65.7816659315638	46.781864211691676	0.0	94.48950767721198	63.228639718397375	0.0	47.08262093020593	0.0
40000	-3394.0502051037947	-140.95108016161925	-2851.453629483093	-401.6454954590822	0.28046091080076424	0.2021523632722195	1.0103755083840926	0.33455356254991836	0.8998853684638379	275.8634607819793	0.0	0.6601626091768436	1.4688265282500679	0.05051781368752397	0.024033590917014278	0.006153211387256888	0.07711735869425795	0.03622725949429995	0.037644046167383906	0.05259933838199457	0.058569411345444966	0.0211121749248447	0.011575714747862181	0.02042609021023591	0.001989338165640267	0.001986323441274793	0.013984530362802925	0.022994287937558523	0.01692737977469908	0.008436303612926467	0.04460696873138669	0.045559376907296015	0.04664641644651716	0.00734590371696889	0.026747190005461	0.06878985443296966	0.01602492811788248	0.017358053547958777	0.0021784091629369713	1969.2107712497693	85.48673632705709	104.28418961947871	102.09406573006054	181.09277647208165	163.37767818449166	51.84025382461506	157.32011674508104	120.9059539323142	120.44441864513706	65.31635478302063	133.64956591812526	65.90301660618972	170.77010552900035	56.2330158912884	64.3057752840737	178.06012280992553	71.35304681760451	136.21207895844339	88.1896626779341	76.63760933123288	166.4378979903527	61.42045880605607	136.38010651139453	96.6609451196874	66.54172720982056	66.43269525319963	275.8634607819793	157.57926952782577	125.11853665697267	56.239930466649085	182.1825854395912	190.35747704959215	154.67076857619926	150.7706972332147	59.02036749592562	72.04686762110651	137.5099371461925	109.64337276389976	49.06325286254944	161.4112171133308	81.18200952600877	54.8166876880987	86.50821873765453	165.7280814479703	81.59082587529616	26.131361684028878	59.675921993334505	38.10014942292278	85.20812583822699	76.31330785491149	78.73902022645223	95.89690401921771	122.55750770385852	0.0	68.59620172862184	71.8961758216929	0.0	39.965007528026135	64.22153173973459	45.69661800946447	165.85960527085948	49.774830730567956	30.800121163400583	167.75364741506226	65.49997422160216	135.7331204578724	0.0	0.0	166.18278212814127	55.4717285466959	134.44022461877196	95.92892708801133	0.0	22.300214638730576	46.50559127901984	156.3619785307011	15.7690376027889	0.0	111.64617227396026	113.73296874326111	137.93991224476457	147.24106248255083	38.393265097866674	71.76556573626814	136.53117349440583	31.073386508216977	0.0	138.25104867283144	65.8613323455212	43.49549070780472	0.0	95.48641678602372	65.9197238478271	0.0	38.54089773450549	0.0
60000	-3403.4690969364506	-141.02576303971057	-2862.4303014058332	-400.0130324909069	0.2426203415231303	0.15761498842419497	1.0103474093052196	0.30489704306257415	0.9005676997312194	270.13836899055235	0.0	1.7120349014904677	3.7318459279583642	0.04313828233299232	0.03155740626083283	0.024961658338629313	0.028727503911253623	0.036356030516280995	0.013615459106686136	0.07552747998971565	0.04453288651312916	0.003556914744407033	0.0163714041061951	0.007260581534958354	0.005838795640210278	0.0030410841816491518	0.010542032789339816	0.012711019790459096	0.05838171308885665	0.02367353226350234	0.010513961437128565	0.008371980446743102	0.020774030857354048	0.009335066449092957	0.020012656646679887	0.05536114976871181	0.017385677536703233	0.00915670177810273	0.0019657953372275625	1982.3029895150344	86.47938018326295	102.90439847759953	106.17349362069149	181.3499514716617	171.03258124681338	52.01742007937661	159.00562775893192	115.66102256535851	119.82964118777794	64.01916762417929	134.74384346533745	65.8592569111149	168.44828552255098	57.17585827648426	64.33153615802269	178.33152907721816	72.28449208047421	137.0039055450151	88.66587181181904	76.75509015696412	166.31008429759422	57.8858752030529	137.16722137793806	96.84117575654277	66.54521143343646	58.321687554432614	270.13836899055235	162.14803841306298	128.64092491579606	56.0821220399596	185.0925778464659	184.4116871561939	160.5216400876846	149.78329718288464	59.379509267833015	71.90621015881473	138.20443762257722	107.83005902385547	53.65256171115185	161.0022970183676	80.31945131376757	55.97394250032201	88.31396953702672	177.363745503479	84.96260427619151	32.049909030098576	59.422896461701576	38.556758781882834	83.02640253312552	80.07114338754606	84.58964595663677	98.43156282410507	121.09266610288982	0.0	68.54166938174794	71.98727817627892	0.0	38.284928541352514	64.87564057165416	49.67405496238795	165.8772424003542	47.58954555240123	31.30973959746805	171.4683093123743	65.21175459108802	136.0149844743237	0.0	0.0	155.64180087302427	48.12054213661784	132.52354487660222	95.7389213329393	0.0	32.71870966180552	35.80400552193241	155.98809730352136	22.180169612040583	0.0	113.73788784489506	110.56258537511313	144.44769148768404	149.23247815901868	37.55873165028248	71.35712510859115	135.35741819279514	30.69583097099471	0.0	145.5802566488724	65.71378865959011	41.90217295252824	0.0	94.95330283202733	64.7568984670417	0.0	45.979100134634685	0.0
80000	-3430.8165765300278	-140.27471778400056	-2873.134343379383	-417.407515366644	0.19617521184658715	0.1416399296074221	0.8338572164815955	0.3463554518596062	1.1140010979467947	267.6118216053637	0.0	7.394918050182476	8.6826481672699	0.04376786586536135	0.024421532040748144	0.053398318799130526	0.02975290774979595	0.021000747488891813	0.08497429516881587	0.0958390141919738	0.1083628239928456	0.0055774268308170435	0.003848300275867591	0.02342319765785078	0.0035607287912603294	0.010507031772577759	0.007781915284722391	0.03371478827405341	0.018374002567223064	0.08993552853672973	0.014091728086141285	0.11975448526481151	0.010062746699767417	0.011331053664165636	0.013259575041007356	0.04943256672299072	0.021679569974362087	0.04877090151789475	0.012909225696421727	2015.0641493031512	85.59109769150734	107.94677202577479	108.87988108170836	184.98424981166391	168.0195706977433	54.407316203292005	157.29885507772624	124.95509311127627	119.2878608245596	69.29048547367317	133.57362125118092	66.29403581976607	168.71081494738135	56.227674487676	64.27503637731866	179.55629249006833	70.69624353961548	136.6427075024277	89.10255168207283	76.74407729299264	171.88060067436675	59.624638385290154	138.4332427242858	96.65145966565001	66.57982282314983	55.39366298019039	267.6118216053637	166.27857280057873	128.22202060368224	51.30983458207451	186.59555722098264	185.26627552159127	154.40653201260753	150.3554284704434	59.50362603283545	72.41107731340242	138.93865608702305	108.68611101366716	45.04378530025007	164.54751541976086	80.60210020510254	54.52530819974359	85.02949529549859	176.34550529926008	80.84595613488084	27.099498011817687	59.58546333883107	43.323055449599465	84.4914684933423	80.63095690201445	82.21460774736873	92.39368733498513	126.26633976996062	0.0	68.72551927238902	68.6983971239209	0.0	36.982823275028544	65.207646834032	49.046504108685255	162.45574136539565	38.88061564008716	30.806721230336613	171.50625618683324	66.43995243620103	136.01144829747423	0.0	0.0	153.05390211414405	47.86369798731933	132.2897096181512	94.29690874108101	0.0	33.227944381071715	44.807372188085246	155.52183575304934	18.40054610190808	0.0	113.00608310014266	113.80134312823535	138.26203832057573	147.59226279420196	37.686811123324865	69.4172660692167	136.96651123467575	26.638962178583572	0.0	141.46081142048686	65.39676795201444	44.54544551048166	0.0	95.36493730862087	66.02708537425745	0.0	46.129782840520946	0.0
100000	-3393.4273332969383	-138.87348556538203	-2856.484351546788	-398.06949618476847	0.2190870214601772	0.1530885659670789	0.9767016338254255	0.32004050472013856	1.0213803184085488	254.55188041935548	0.0	2.0354526269186928	4.989150195296201	0.05071295337340675	0.027969244471824025	0.012259007097879153	0.02800887254770115	0.008905700114841781	0.09403364463083176	0.019171013033256575	0.07691998500639807	0.026580426208490666	0.013261161047015134	0.010539242035173004	0.005083454317472081	0.028841207363177267	0.013073084985847616	0.022462763295310904	0.029493625772194956	0.02262402217411398	0.013548461162576323	0.12465045754702433	0.04278914396025175	0.003695965398163907	0.053948568248553874	0.0026167881724374967	0.03420418433750905	0.011698149043408096	0.01362730960991608	1961.203273366581	85.73661437850862	98.24801376073451	116.55220127206188	185.06218730818821	163.5808188384661	51.77079120259037	157.93560985003035	112.49102501350168	121.90513481426953	67.01165931650766	138.64840189577566	68.69272578618526	168.2799662590332	56.397130159373226	66.14219621592491	180.31487337085304	69.426066066087	136.43797946411308	88.33062545468412	77.6841833900395	173.89884186361405	58.40313026948312	142.07971155010077	96.90519953862635	66.35011425864678	52.34306429614295	254.55188041935548	158.7939072664495	127.19794021040789	44.34678377551968	186.24704584687177	184.75001054461458	155.6084963882366	149.5004166306495	58.890363628530125	72.79090172684174	137.99989672526183	112.79403433379731	48.05819844770761	165.18252672416517	80.18570637838594	54.59161678864372	86.09820097294485	177.56380311771218	85.120152741764	26.66442872584227	59.10650951441492	46.74126284234486	83.61807226559037	80.42562878190198	84.15543143756142	97.91847374973858	120.73210144959909	0.0	67.90694381443926	72.04063159696187	0.0	40.3673906489119	66.28127472350432	44.848047363942435	163.7991720332607	48.46994620176267	27.49343290678871	173.23085050082048	66.68486367173753	136.08824702717462	0.0	0.0	157.86178514826116	44.32660793671328	130.48369761662616	95.95791028074743	0.0	28.676607224999785	48.70532223748444	156.8261948333514	21.333801038481337	0.0	122.44401611827129	110.873817134196	133.55377072210229	149.4236107906986	37.81112467771259	69.75934991138034	135.7028826177257	33.0787266257729	0.0	143.86072191085975	64.95174630734348	46.152830435370035	0.0	93.92407906395084	65.82854845557897	0.0	46.61141671609864	0.0
120000	-3411.024739323326	-138.17120634945155	-2864.3481211687895	-408.5054118050848	0.15576862106059097	0.1607883469202884	0.9449724052600474	0.3411673676168484	1.0000174179206285	250.74596350370462	0.0	1.6619234044834479	15.468728932676358	0.05224993789169348	0.01739239457801118	0.03513188244420561	0.058725311921622246	0.017044786302198845	0.02827664870393923	0.0814019392720039	0.027028092688809152	0.006067426105132683	0.011502398051615107	0.0157928177435103	0.006652205823912845	0.004455872072631805	0.010680581438333607	0.020380002365690972	0.08281041092919866	0.04968059329882366	0.0130175431660364	0.10176956689891957	0.0770169130012955	0.00468313112287364	0.045768449686759666	0.021538737019577533	0.04238132257319052	0.010503222388359556	0.00490769830601716	1965.2157292083004	85.38876417550458	97.835951399533	111.50443551154775	182.34673598312992	156.9012282982596	56.11920003179401	156.32664581310326	117.76025186009215	119.28702790241014	64.44804090857768	135.18080397449285	66.79989421244139	171.0475668484856	61.659323306635834	64.28741186592094	187.64425498650382	75.99734236658837	137.9512397649366	88.27178229061217	77.66902183460273	168.9315834714693	64.04165534276339	139.71775702487994	96.67334926709576	66.92463344925207	52.879868349538775	250.74596350370462	158.4622585213011	118.29751585337573	44.89105107444021	185.60303906438858	183.7519856189731	153.7182859316204	153.19527921091824	58.66895220085055	72.61566472299074	137.84574627324346	118.06638528919282	45.69260839716798	161.18728681310773	80.23687268875857	53.60636516783976	81.67966402857533	183.31655852168265	81.83455826657512	27.77424683952697	60.06069491668775	39.823075263234294	85.28053101744518	78.83274459168922	79.20990394327278	97.7401463176242	123.96321968510182	0.0	68.64559461246081	68.56668157400799	0.0	33.78721242378122	62.42586041671402	49.910430805484395	163.88938105233385	48.31504690326321	24.949690503890643	171.55386693722434	66.6263527666729	135.51102345199004	0.0	0.0	147.97780931867018	46.97228811979853	125.79342010540604	95.61315086860432	0.0	36.50521809002737	37.700545876329386	156.22761995278253	20.34467279735852	0.0	120.96183369566636	114.39226988578265	144.3695634705912	149.35227358066726	33.4777815289687	71.75671291943326	137.16687724237013	32.394610685877026	0.0	146.92405719046448	65.94746224408676	46.69234936229556	0.0	95.07402941624285	58.947051460289785	0.0	45.654814385357504	0.0
140000	-3406.423696769676	-137.0034801057529	-2859.3305965541012	-410.08962010982214	0.12443997032328155	0.10956591531536411	1.0166213253667415	0.32168470604252586	1.1336609533277011	239.18305505064458	0.0	4.77937131184104	15.487868315862789	0.05791236272789354	0.02516367544488248	0.037891667879760726	0.07330774561163539	0.03987217678491098	0.18969401519392645	0.01648761507829895	0.03457307193597466	0.03134461166067068	0.026175778732359174	0.004643018790625936	0.011048072437728021	0.03499656449109436	0.013943516015739711	0.02628022434469657	0.05626778034080838	0.04678823539834792	0.021432582228638915	0.03648118147757405	0.052610383328604085	0.0035137006563590346	0.04241800352160893	0.016095535772173965	0.03724781407200681	0.012077847009417398	0.0005726669021694144	1982.2367690792512	85.32365852681455	105.0512150257694	112.50534562878221	185.21726223694762	160.33968181290163	49.114856597800575	161.67053392181327	115.05786771239653	128.4970995982661	62.80056061999686	138.1504454526229	66.28473147929253	169.13071964622898	60.941505687951064	64.60791714112833	179.1056976608872	70.24492119860037	140.98596763975354	88.55379259806614	81.44867337306133	170.68300798564053	66.05571998028556	137.22177714189473	96.06344245791121	66.70070820081172	52.460626713668084	239.18305505064458	159.5800967479996	116.85681304636618	41.88624055149497	192.91860624693098	183.78025462560691	157.67614736608965	150.2757476110073	58.562373661821006	71.89107350542007	140.01832006530105	125.83112187111425	45.319062992170984	161.69449853672091	80.60492763440874	55.1202290664183	76.19297283821636	189.307337377881	80.9603199212798	26.51652540133937	59.83263430638674	42.84655389992841	85.1923563612452	80.4009803733975	84.1489353630065	98.00348270419968	126.02328215596462	0.0	68.47034740581682	70.81733239826417	0.0	31.417424479958438	64.91291668533086	49.50913132382445	165.37709480701545	47.80965700503481	28.966646111736775	170.22655234053047	66.46289343116275	135.11668320480118	0.0	0.0	158.683077263763	49.77683682294316	125.15033868736799	96.01596872688383	0.0	39.16844412984781	25.02567266126948	149.84447617318972	21.051914341193346	0.0	122.13466193172643	101.72564892923786	141.73688397391294	142.0190630560574	38.45628931373268	71.49232631204279	137.0394358043096	32.98439674451914	0.0	146.30039198663385	65.95841238450994	47.017048916081265	0.0	94.36725682749464	65.43217888323568	0.0	44.59943926334659	0.0
160000	-3427.5483236188843	-136.7441418814179	-2877.6045342064212	-413.19964753104523	0.1282857100907639	0.08989794357817846	0.8403860924361314	0.31376297489457944	1.0767779239047932	231.24530167600145	0.0	19.297857075005556	17.943030219169778	0.048349709000915446	0.025099229897304225	0.0015905409575598453	0.046528437891281006	0.060797316793976985	0.07409847596424628	0.005227111068732647	0.12370513696083861	0.020877108227573802	0.0567020363878159	0.006954428403189286	0.05756488112315673	0.021642588504598954	0.00731758806351991	0.015334342646897502	0.050825262141059147	0.03405162506031401	0.01726622134518113	0.03597448242459163	0.036526495066338975	0.03372979959992665	0.04678801832497389	0.02606885757270535	0.07048530400883281	0.00913296757524917	0.013739917162877629	1981.9284642086682	85.83753042223225	118.37971875392083	105.21800180453978	182.43091988570444	149.34061441696556	37.37352673235446	159.274731617179	126.46656642068382	125.36458843789687	51.5196675763598	135.94884590814337	66.38311492404162	167.07999988419	57.4082453932188	66.81092399479944	183.22795037842727	69.52745611703008	137.65255863230527	88.50213244517224	79.07013109834871	167.05804476618442	57.891453053203186	136.8303515692192	104.44669967862222	66.51887430405569	52.088473980392195	231.24530167600145	160.79663610812688	115.32172805236951	50.17084780985457	193.93540003856475	190.2348887842007	154.72887263535497	150.51161805327934	58.72346700304473	73.61225375579698	139.40513476902728	120.5540979405719	48.34341869345735	161.12167523556957	80.56653276514078	54.397559945617175	72.51589700849281	184.40956266643633	84.02161304065122	34.18662995637308	59.84063431416758	39.60559810158851	85.22208555799637	80.34091048985273	84.38223556982294	98.03792740306145	126.92327614898883	0.0	63.877712630082044	71.77110345153501	0.0	25.668957637869948	60.188394636365516	50.85419313278219	161.5283659894199	50.85040289049487	30.238051829352756	173.02209336568507	65.40890715884524	134.55184908909956	0.0	0.0	140.17977423573691	54.29707318743457	124.22776966803647	95.82306359671806	0.0	37.32613135525351	28.106059973787954	151.87394200106726	16.890418495730763	0.0	113.04962540175202	107.87588581603495	143.99668751902416	146.79765107939025	37.855830648688425	69.2491361703357	135.97030927258152	33.309261718962944	0.0	141.7313234271928	65.73942385725809	47.09641430967216	0.0	92.7313410523803	63.27109235285117	0.0	43.7073442190653	0.0
180000	-3410.3330701020927	-135.15029701098277	-2876.1956599165824	-398.9871131745276	0.13797741688267487	0.10094210289170417	0.8972147376781332	0.3529205033331848	1.0412553106845799	221.5903830431159	0.0	16.403422811620242	10.601357194150062	0.05926196593986156	0.018250167513557264	0.012358767169638993	0.09482659770865835	0.013686948250009413	0.09172545437271555	0.0031375602150567504	0.034355505019356976	0.021774573300141348	0.022656741115231305	0.003438827605077389	0.0008110934752562586	0.003889904487087394	0.010799357084620686	0.02142184824202464	0.0476917936312268	0.043601129550754625	0.017324040805034132	0.15295175863762825	0.03099710983984293	0.015014756735020394	0.01492967885968779	0.03207085158539958	0.04660520741704877	0.01176121218421491	0.03723562476858955	1987.5978541594586	85.4060898937934	109.20984942340063	100.30095297604785	181.31580846331485	149.81437632817972	39.12381284009382	159.18210509218844	130.22078870708077	121.84001735259102	51.60907876019224	153.65892689163366	67.49866497346933	171.4074283975727	58.30164673552003	66.72576566627119	180.67008899445148	72.02283953081341	138.06993451504252	88.7159157426074	75.93153794026759	167.4484854996294	57.89865005740615	137.5799155862608	114.31930510852591	67.49982892256364	56.851346768557825	221.5903830431159	158.61778424516467	113.17846880268183	43.37970904171791	186.57198316021672	186.08408487364056	155.759804355382	150.43941541174792	58.56532715706649	72.90595015791162	142.41240600328598	128.23635809098676	45.0800284340974	162.62603689523385	80.21612210581655	57.860339289820615	82.25189987699981	180.3752820303282	82.0794941997163	29.925246714810324	59.883854816045385	47.29919614524348	84.99744073515173	80.3534701929961	83.80763693121094	98.02762089468699	126.77329278097167	0.0	68.05019721617708	69.09428186189008	0.0	31.97787944607314	66.0770029397015	46.67958923664856	164.21072304855096	50.95910099990779	31.172525366398286	168.11371666969026	66.11503545352214	129.4024956420421	0.0	0.0	143.93827016772573	55.95020114141872	117.26225770445254	95.9082033940619	0.0	35.13578944642071	23.217560941846056	156.138861832868	21.67334597365054	0.0	116.66225856377952	115.51422590029904	144.15088682695506	146.60886730301564	38.13705264672274	69.73790140172937	137.0591487304678	32.133954647435004	0.0	131.85383882124387	65.3125928812751	46.17142405503332	0.0	95.50010087058794	66.53165706457696	0.0	39.95407212786267	0.0
