it	posterior	prior	PP_lik	BD_lik	q_0	q_1	q_2	q_3	alpha	root_age	death_age	hypL	hypM	lambda_0	lambda_1	lambda_2	lambda_3	lambda_4	lambda_5	lambda_6	lambda_7	lambda_8	lambda_9	lambda_10	lambda_11	lambda_12	lambda_13	lambda_14	lambda_15	lambda_16	lambda_17	lambda_18	lambda_19	lambda_20	lambda_21	mu_0	mu_1	mu_2	mu_3	mu_4	mu_5	mu_6	mu_7	mu_8	mu_9	mu_10	mu_11	mu_12	mu_13	mu_14	mu_15	mu_16	mu_17	mu_18	mu_19	mu_20	mu_21	tot_length	Acanthoscyllium_TS	Adnetoscyllium_TS	Almascyllium_TS	Annea_TS	Brachaelurid_TS	Brachaelurus_TS	Cantioscyllium_TS	Cederstroemia_TS	Chiloscyllium_TS	Coelometlaouia_TS	Cretorectolobus_TS	Delpitoscyllium_TS	Dorsetoscyllium_TS	Eometlaouia_TS	Eostegostoma_TS	Folipistrix_TS	Ganntouria_TS	Garrigascyllium_TS	Ginglymostoma_TS	Hemiscyllium_TS	Heterophorcynus_TS	Hologinglymostoma_TS	Magistrauia_TS	Mesiteia_TS	Nebrius_TS	Notoramphoscyllium_TS	Orecto_TS	Orectolobiformes_TS	Orectoloboides_TS	Orectolobus_TS	Ornatoscyllium_TS	Palaeobrachaelurus_TS	Palaeocarcharias_TS	Palaeorectolobus_TS	Palaeorhincodon_TS	Paraginglymostoma_TS	Parahemiscyllium_TS	Pararhincodon_TS	Parascyllium_TS	Phorcynis_TS	Plicatoscyllium_TS	Protoginglymostoma_TS	Pseudoginglymostoma_TS	Pseudospinax_TS	Restesia_TS	Rhincodon_TS	Squatiscyllium_TS	Stegostoma_TS	Acanthoscyllium_TE	Adnetoscyllium_TE	Almascyllium_TE	Annea_TE	Brachaelurid_TE	Brachaelurus_TE	Cantioscyllium_TE	Cederstroemia_TE	Chiloscyllium_TE	Coelometlaouia_TE	Cretorectolobus_TE	Delpitoscyllium_TE	Dorsetoscyllium_TE	Eometlaouia_TE	Eostegostoma_TE	Folipistrix_TE	Ganntouria_TE	Garrigascyllium_TE	Ginglymostoma_TE	Hemiscyllium_TE	Heterophorcynus_TE	Hologinglymostoma_TE	Magistrauia_TE	Mesiteia_TE	Nebrius_TE	Notoramphoscyllium_TE	Orecto_TE	Orectolobiformes_TE	Orectoloboides_TE	Orectolobus_TE	Ornatoscyllium_TE	Palaeobrachaelurus_TE	Palaeocarcharias_TE	Palaeorectolobus_TE	Palaeorhincodon_TE	Paraginglymostoma_TE	Parahemiscyllium_TE	Pararhincodon_TE	Parascyllium_TE	Phorcynis_TE	Plicatoscyllium_TE	Protoginglymostoma_TE	Pseudoginglymostoma_TE	Pseudospinax_TE	Restesia_TE	Rhincodon_TE	Squatiscyllium_TE	Stegostoma_TE
0	-4433.394568549391	-249.0224727791199	-2916.3311568792215	-1268.0409388910493	0.5811937777707231	0.5811937777707231	0.5811937777707231	0.5811937777707231	1.0	197.49363336537814	0.0	1.1	1.1	0.3358587144983121	0.2371500767700578	0.11284398373911933	0.3337463346057774	0.17282283350471017	0.2072872355972798	0.3212496286719947	0.10612631464477026	0.49266227730739887	0.16488180037203437	0.17496082022873238	0.5105254033733104	0.3246768559594025	0.321326534915628	0.16768726198745887	0.19870057233656105	0.34808358237392634	0.5137734335355482	0.14900985582535003	0.12156756811811961	0.11296978073456758	0.13841944637465065	0.4065025968059667	0.5514051335996534	0.13760963649716162	0.516637091011335	0.35556250674562084	1.1077686402414777	0.11968218924650206	0.13059171752983606	0.1763369302413717	0.3681533184677547	0.1995798437920005	0.13816757484945644	0.17691510153782894	0.3534430212270848	0.22815933846428835	0.1795489190451075	0.29138357258851416	0.2849501413322615	0.15914170839522718	1.2794224940206738	0.4209142914785985	0.14609182156545042	1792.8241833687991	84.87153835918728	101.38052818012099	101.8340595142686	197.49363336537814	138.99361382477582	37.126885229938516	156.45001558634323	114.69879617938743	122.88140520188377	53.342928494118404	133.35161183567814	66.6301656404291	167.84383333378693	57.46777514936469	63.33347930337678	183.66665130710368	69.60588232457928	138.83205291822108	91.50647949664251	75.9973652479022	167.26479403985454	57.37004229042125	138.94227572505872	99.25858319148527	67.90922453040032	53.76375491604544	165.1687194343381	152.6666843424288	123.17678230903316	64.83587868630767	181.77065735916915	185.22039875778339	157.82056332375038	151.66641534643745	57.31527300361763	72.12978465804093	138.03288252848793	106.22829483211129	45.27972749866913	161.35425164259956	83.51811786295553	57.06584720115316	70.55110225513933	171.6615934357805	74.76310526940857	41.54095262402677	59.95933775242534	48.12799292474342	84.41441622474935	78.430873758539	73.51355731834873	82.85574863865298	129.37490825838447	0.0	63.809632111749494	70.68987937352787	0.0	39.083508713214556	67.65244546766762	42.7009834633185	167.73687059601463	52.75829931306791	29.728992252390665	169.40444576560222	68.01634640723935	138.63675971287887	0.0	0.0	167.1407155787757	56.29116052578336	138.81660558574376	99.15360766471115	0.0	40.715276291697656	53.12458291577048	152.5598434716309	1.6022765106288261	0.0	113.67338059710261	106.96297076410588	136.4449299603638	151.64155316504264	37.55865764238711	71.9822263484084	137.8807221651267	33.508253884327075	0.0	144.35346721718128	66.11903767691769	44.06859159029158	0.0	95.40196647189076	65.41294953341277	0.0	45.62711192871376	0.0
20000	-3485.547775351574	-246.10533080665948	-2837.156756613009	-402.2856879319056	0.38573147872242475	0.1592875490417538	0.9307383437025226	0.35481103656243435	0.9394799120508657	189.7760281288615	0.0	3.486788197090875	1.4117498065842988	0.09127013904360522	0.02786065928925495	0.055084528110196034	0.02182913107499638	0.040497054492540104	0.01606394785287403	0.06213772706215649	0.07291923135269562	0.09430323084499564	0.06345143413485153	0.1261425468083755	0.09255517572154107	0.005753821360166483	0.03574062835555735	0.0036595963520685833	0.04441343484489124	0.001177269169734232	0.0699055972013122	0.05342782247371182	0.025207845922846625	0.006188833662721369	0.040572162022247484	0.01580544606518278	0.017165042168699088	0.0026233577422298715	0.010696017876204895	0.010320279601525761	0.03415099931470778	0.0011112087444180628	0.07794718551825244	0.10799999981226262	0.037461698184483465	0.07223961600651063	0.02276084608559142	0.10170720095324438	0.04439001524863071	0.0220476529030308	0.0047989486839365445	0.011572157955906362	0.005703839422254195	0.01275147729421147	0.012172574567186985	0.05348787814505799	0.01602585812460987	1758.8145659195293	86.24719413928548	99.90114949619398	107.55614681789011	189.39682490963375	137.35806697973007	41.57050623065733	154.51430599727664	115.01223934276487	123.01359545096135	59.26989165019587	131.59369568115554	65.8111909396411	167.8354786700988	58.00076575808607	63.01445992566075	189.7760281288615	69.49921971486395	143.4851057526815	88.85306685821828	76.70598569150256	168.1353046825549	57.02408276723549	140.27612115097745	102.97808220200226	67.13528595420986	54.564506258176884	164.7896147394346	153.77535980070812	131.6278317419252	51.34705112999418	181.07715397545093	183.4456065609237	156.84281094789188	154.00436404438844	57.41314004008386	72.15564665526811	140.53582102604236	111.13742531335768	44.51008382352296	167.22425234016927	84.55618729328305	55.81837485866829	71.51292746811191	166.1289374627869	76.0793100700363	40.00797652951179	58.73531250999594	50.88960022210701	84.29964075401777	80.74881595921019	82.99623884319436	94.67823227044465	129.11053911224116	0.0	64.79801437851218	72.7854766408663	0.0	40.27164964893608	67.1079388260674	49.54582746963906	166.1193703818681	49.57616192621068	29.143118933181885	170.53843672806659	68.13144813017733	137.3495708681634	0.0	0.0	167.0754067378658	55.93453810519601	135.99735724271204	98.73716641336966	0.0	40.79848404810083	63.05691571527344	150.358305436417	8.280208077046995	0.0	115.58574807706955	114.60633580473345	140.79320560519875	150.5985279100804	38.4617842917615	71.97492279936274	136.97749188871933	34.023809444320754	0.0	144.4589229221865	66.25097448710673	44.64089937594219	0.0	95.67504839625556	66.00798468316333	0.0	45.83400545196994	0.0
40000	-3493.3507505864477	-246.68905532847657	-2846.232138284123	-400.4295569738483	0.27137483739436763	0.13562541941761194	0.8261909455369015	0.29254287993984607	1.0873544725805873	186.52091000799822	0.0	5.83468780594368	10.366722075815126	0.06284292182487992	0.022178756991119528	0.025182155292423826	0.01183860762257588	0.029094104055965846	0.031550681290484196	0.07930515380290495	0.10289529505735957	0.049408970552677595	0.08192368041974624	0.09944042121544426	0.03245612008472707	0.06242672021531086	0.011940105334097138	0.0019120807968051395	0.016126095218498233	0.036160877561738254	0.008121291811811478	0.04548221864642965	0.0016793805967416182	0.022089880609117037	0.017567752733550844	0.023802068265241838	0.009936796933245928	0.03460373996205211	0.040687991010863025	0.05510865391914028	0.036352041912261296	0.019993830276534535	0.02733893339036708	0.059642395338459914	0.12410100139389318	0.032601380525210596	0.01478369374545931	0.02497582563486585	0.03635762866464498	0.06621537357282065	0.01201455689054639	0.015130600052766244	0.007070498153589308	0.04018187792493245	0.036584825791506854	0.057744259880080064	0.04449860829069031	1788.5302286980364	84.7997632929113	99.83365390888211	116.5182340145202	184.68033793386434	148.0194659620906	40.56774439981425	155.9900295628041	117.59699674044367	123.06014637652844	56.35445549446921	131.50306357147755	65.31197581918661	168.5354079480211	57.15389438803534	63.35254212485712	186.52091000799822	72.01997997795657	138.68891975709826	88.19515666713609	76.05366513696926	171.72911271024836	56.99693194004074	142.88016939273777	106.42469907222639	67.45886284164466	56.812910487632685	164.81667225644446	153.19125843259218	127.32144948155131	45.58212554522684	180.9269363496137	182.73623283358526	155.33669080610466	154.53083162774948	57.79816856570232	72.0966121696431	138.76599868317226	106.74304909538463	46.160727088205604	162.33179449396096	84.29166180776936	56.87089730118926	72.44458176722262	167.3034261830127	74.5059600865604	44.733153603278495	58.79899057320277	47.363647561272614	82.74608952409656	80.55078362696584	82.58624685110404	96.37859347098349	124.10441225833121	0.0	65.71946573754376	72.61357364770384	0.0	35.71760569643862	67.37829496409249	48.67087272098236	163.48767362373403	46.302845667549704	25.952520414946473	168.13129863113534	68.09956842046753	126.2356915306684	0.0	0.0	166.37108637297652	55.52539486160255	130.88754951397627	97.2950094801599	0.0	40.2121009870133	64.17606924061747	151.96307081449083	14.635996697091747	0.0	116.56576523475859	114.08583111103715	140.37743978208317	151.49207677210478	38.460422321604554	71.9559311909386	137.4884018535599	33.22219753316718	0.0	146.63459275065242	66.12630288062124	45.92802708007865	0.0	94.9499486319534	64.46382766251601	0.0	45.6870875842555	0.0
60000	-3486.5355143605398	-246.82759547874176	-2845.6978341537	-394.0100847280978	0.187245222267875	0.09178697474166708	0.8781342418867015	0.33903127947409345	1.170440403199419	187.3370206398386	0.0	10.045880009249606	8.913047143488265	0.055962165495866134	0.015070563841225345	0.03762903217805959	0.007254518370728943	0.05060850745333869	0.0399402683259709	0.1259423657677687	0.024240470287490767	0.017078906345468763	0.09557033208610015	0.14498832118080235	0.009000186471853648	0.004084211317424029	0.06220050711412199	0.010041287832387195	0.012719865971739713	0.003612876684934071	0.013576769832519665	0.05097582347920585	0.00854770702776987	0.0001652791301011604	0.046372040167953106	0.018403832250042492	0.03807636270254625	0.06312798245904996	0.013078423786565195	0.026271566448325123	0.08090247234624749	0.012804178562704336	0.03458747995392769	0.030362963552030168	0.12800561314228134	0.017127756286557504	0.025299395049939156	0.04060148480020437	0.009176382761681782	0.020166891207274825	0.03682101462460115	0.02855362957793134	0.002980474414369783	0.09896109938474983	0.04269524302717164	0.026803512576183294	0.03333360135466976	1822.8210923513338	85.88725394787586	104.81356409982327	125.09402467148014	187.3370206398386	146.0953855787284	40.848241067947285	156.67861157230521	116.7567086134854	123.7923851155219	56.21884710209414	132.77837403763897	65.32841890766905	168.2754972553484	57.763549774435106	63.23989665511633	183.99974494223454	79.10689309903744	146.69783612326106	88.15275700421175	77.85122778895229	170.41759660373424	58.643003651015036	140.71510843147038	99.27444285040382	66.64269389015654	55.58043407311118	171.87320232737696	152.76072134556298	122.28301957914438	44.078563853608834	185.44396619475876	180.8085057077856	157.2755676838451	151.79590737216216	57.404020398687464	72.23076427328691	138.1898380692712	108.7226720280849	44.91177347850392	165.00454222115837	83.66812834585937	56.010964372955094	72.69336221335165	170.3892630588802	75.06653522387712	44.0317707879824	58.734047328333666	42.700883560293775	83.25843405250124	80.4159503576981	77.93442151347506	95.99448463840095	130.00080977802543	0.0	65.51808049843716	72.30094484422824	0.0	32.792176204203614	61.03102152611584	50.862078413735986	166.0149369925236	46.34651099148232	29.80517792058018	162.37227892856347	64.26120441074593	135.06023041510025	0.0	0.0	161.19796779182803	54.46955874997067	133.99858294421924	99.0569647057664	0.0	35.0778013939717	64.77281896442905	152.5131619853219	17.840535393230045	0.0	112.98562157681782	115.03190363284718	141.9625317589387	149.56480554904792	36.68075810808203	72.00089104102136	135.43235464482518	34.64190486555831	0.0	139.5529286159239	66.12117399814056	45.57078927621702	0.0	97.96913824363556	65.647676901867	0.0	45.187832942856396	0.0
80000	-3475.156736995865	-247.44081483277444	-2832.0557188988914	-395.660203264199	0.2165476986782389	0.13814353478487204	0.9241496911296275	0.3149889329993334	1.213907691257056	192.38844401158752	0.0	5.979466333970584	5.406076461037533	0.07134681947296759	0.02790124157643678	0.12208941982118532	0.021889495632761203	0.02307303947424132	0.058005878838127294	0.02347408955211934	0.08710086346864948	0.08056224943784729	0.09630537982163344	0.11178201563545907	0.0055296347261182	0.011291086569621245	0.12900411282124047	0.022384465108429463	0.007848178283991602	0.0033660365653449486	0.003151463348064045	0.039887519904900595	0.004847065618476012	0.01132774748952962	0.06170880932475468	0.017006945830618656	0.016923348586824153	0.03309750137034354	0.00702508167979711	0.05423762862484804	0.10735028756853446	0.04587471021549052	0.031282154069580445	0.14797995605454978	0.06317038247540523	0.04739544900730151	0.02074154416374378	0.07652503255311652	0.01604330694201928	0.05664906606890871	0.019125564791908897	0.05491939205520584	0.004924354316641091	0.007551133530695959	0.015136864690987345	0.006135795607754817	0.07306416495371904	1797.57161459704	84.80670239678888	112.01044525718368	109.44125468827328	184.17201290229238	145.81350881866962	40.61961045124032	156.13405826716973	115.82436779478729	125.29772886566295	58.10799370862489	133.63773620762007	66.1121090005495	168.23742213403963	61.096828920022965	63.0324738964203	192.38844401158752	69.09642795575094	139.10460591146403	88.08445846618596	76.00599313759766	168.32733816631466	57.08518412508082	153.68294146570554	99.23814441343596	66.30602164024147	55.6840956876739	164.78533397707133	153.08216263446405	122.64556463743452	43.06403654917032	181.520286850471	183.2913953635173	160.99379725729008	155.63588653254826	57.74355930753535	72.331954290699	138.1723179232443	110.87625059401107	44.324251270322755	159.89282091720366	83.51126678036766	56.766162001063606	72.2010999505518	165.31800573179427	74.60180383814262	42.09993636236486	59.17310425911545	43.72929040037966	84.30493199430715	75.70017613346211	83.12024296174492	96.3046953251114	129.83240871120984	0.0	63.84055789727617	72.80127488108197	0.0	35.605479548612735	69.03871262328099	48.99611097800118	166.5095482745785	48.44666941352871	29.403567642068182	161.65654233253545	68.14928211628703	138.53920831965206	0.0	0.0	165.24050021212147	55.84407379339691	135.39030928920187	99.16998185902209	0.0	39.293444150851535	64.8370636005486	151.80761371893047	2.974592997516747	0.0	107.47598023991353	115.5927670917272	136.51716937854636	150.18473679390286	37.88308196552477	71.29264601850704	137.91290354794813	29.21482109912744	0.0	146.55755604530935	65.99956912447824	45.920914858698616	0.0	95.68710286104901	65.04374309987459	0.0	45.44660022317183	0.0
100000	-3514.0165966674126	-246.78733176844227	-2864.5317251516562	-402.6975397473143	0.15121433221782676	0.10505100463708719	0.7081186128361651	0.28539732254676314	1.1435891008951213	186.21047129594854	0.0	7.666564545160472	2.5300608066655195	0.0625477757499721	0.02916750498422462	0.07429602586517645	0.014504944114050908	0.09873021696760569	0.04267779911798693	0.005994161003853182	0.06149342370791964	0.0614451892109756	0.031656509769031976	0.06951112829620983	0.05458810018104224	0.0736960859777281	0.034687155517278676	0.030753424859778066	0.0010493908817537725	0.047019886708660044	0.00025984993505204245	0.06391941979442942	0.010491990329490535	0.02605867984602385	0.006293290925130501	0.028348662536198256	0.013471009543810397	0.04661988139161777	0.11997111811021535	0.0027659970268239975	0.02131659879746798	0.029570366407960822	0.04457263084867518	0.0908717728536132	0.02932757283565597	0.011400719284842275	0.016672990818219196	0.059835090101787246	0.005043921519430978	0.00469735477668728	0.10312271141658783	0.052685668012931175	0.04716881303157177	0.0016628671817563638	0.021851233865787696	0.011280237563786894	0.021752842310182218	1840.3120408149766	85.68029089435164	100.48780869947402	108.5680663627385	186.21047129594854	144.30004738716994	40.62068497718458	154.71585576704564	113.98628656231163	124.06811693735592	53.94923004788004	137.43203899565222	66.0195889043254	170.5290140162116	57.5693880998395	64.81567550652628	185.40622461447677	69.12191001857434	140.46734326522213	88.04377032615336	75.89300775417914	167.28045646866278	57.106662454460334	155.92709406004818	99.36964393523719	66.83249589197908	55.241261035199585	168.47170327572258	158.82486707651992	112.43918580250818	41.58477766090874	183.06829472052814	181.02394992534943	156.59177139375757	151.9567905394815	57.410656462369246	72.50539538113199	152.1140078028265	107.86473810765504	48.0911290603044	160.05449710699253	83.52774377587575	55.907234162215666	70.69410413356576	170.55688737743827	74.51179063531045	46.07266715408677	59.1365987176225	45.00397717677655	80.9254558059108	80.37728779796832	82.28326322766898	95.47106196768074	124.07271554174163	0.0	57.02010305525625	72.85830468042145	0.0	33.074230076153476	66.65439430934374	48.464801842239815	165.8981825095282	48.5602152296382	30.116741720768626	159.63683845530878	67.97800699512972	132.3883120419142	0.0	0.0	167.15426198109665	54.044471789279456	136.89384303467904	94.14599351314656	0.0	31.734550688999377	63.202347222373916	142.3279534950659	7.496870724692587	0.0	104.1481524997139	114.57413369497186	139.18391736965057	149.95877876842994	37.771508360488795	71.09250951367667	132.3209367202153	31.902140136752966	0.0	146.94137085116205	66.20395433219244	46.07856879332106	0.0	96.71313956612639	61.09306004784349	0.0	45.980782551627264	0.0
120000	-3476.8623514641827	-246.28206202927447	-2846.753556396987	-383.82673303792126	0.17603658905366276	0.09077130449545626	0.9726518459739953	0.3060180704396105	1.3008394770358902	184.42567044097547	0.0	11.459371770804895	7.021926238770525	0.06518172284561594	0.02131009022047049	0.009513108692586798	0.006537562762779646	0.038694635634176036	0.14196733672445705	0.0694285925480058	0.027877641855198816	0.026518972027173796	0.02308684384961758	0.12212486046179372	0.06820693035247521	0.007556935687201227	0.07132166595493128	0.014052127685836082	0.01216194984783157	0.013139347981211136	0.0027220837955238024	0.06829261780496279	0.009726641488515453	0.0288028243187787	0.009450127668867204	0.01704097015703084	0.021164167709030672	0.07683002087881724	0.011923583027383519	0.026191647447915297	0.08997316911896988	0.0013328650959056356	0.021044011602129698	0.02368859199042602	0.11331440589010011	0.017275704002662106	0.02818597210453512	0.08597526892330867	0.03793493329837989	0.05124333946056982	0.014334935782936471	0.00905058494430842	0.0043568517936024365	0.0121183589013827	0.00942116084151753	0.036612767367327805	0.005642298679317384	1804.8914051847853	84.73225092826345	108.75829853879549	100.63449320264161	184.42567044097547	147.4447465937593	40.100653068139195	160.70936885643238	114.4470539672713	127.53264214043331	52.41100157243497	137.9579532728344	65.92015556651394	168.25924590352093	59.14812892780941	62.92529633770009	183.4041163259174	69.89756024128938	147.22942892195465	88.5409863280634	75.63008535841097	168.60846961271784	56.85812023835585	149.80397845116266	108.90657368557865	66.76482976310285	54.07813348456553	165.33940224454153	152.9132939423565	115.67473937889262	42.084950791932584	183.92396292641646	182.6063763744038	159.95808313569876	151.88958568103587	57.25698529157996	72.12065839067994	151.8986575721014	116.13421941606012	44.00854596154536	159.78937346734446	84.10566857850729	56.127851888345596	74.67207361618331	165.33964134278494	76.56330600796657	40.31656511316382	59.241995241664846	43.29042252874446	84.28185405756423	80.83087809111439	84.26163722179696	95.04511560812907	129.86153627663452	0.0	65.69431742954328	61.741564415041104	0.0	37.37475953101231	64.08397993157602	47.36119506764829	166.0469598243044	52.06004580289522	30.07117916631162	170.61711852373682	68.08660166490442	128.42596016132472	0.0	0.0	167.08640122856528	56.206128499714694	134.3187533855884	98.98138791431023	0.0	33.94221915512571	64.67122068244633	151.93906431980125	6.495680083473795	0.0	104.35572785900155	112.20961063647184	141.60508300402975	151.23649663012267	38.17840282929799	71.96658163083039	136.57441693826024	34.03731788799758	0.0	146.30807530263795	65.72733774552685	45.65468719722093	0.0	97.22002787264256	65.46243754164597	0.0	45.472434317559895	0.0
140000	-3487.6139461646553	-246.42401100475843	-2850.840934092758	-390.34900106713894	0.15425765088546295	0.1537065887017756	0.8713731505496396	0.3017655636733236	1.7816876905575934	186.30210731731424	0.0	6.259905818484654	13.39788979377366	0.07958216668271285	0.023999457001972493	0.08545496968660644	0.0081735135857942	0.013804251854798109	0.06230405646802168	0.05203586150166014	0.038665626294814105	0.03238510210260776	0.09429911768383818	0.10878614225725133	0.006995554343223301	0.01633496621768204	0.07673786213016018	0.0016683365284080724	0.024222246705632885	0.016380090039754245	0.01269075623286109	0.029820211461613892	0.025811213643252763	0.026005175309372425	0.024935905949586386	0.03352048054542406	0.011968006329274082	0.07905646762383643	0.04833963596663362	0.002576291332175747	0.04908042233652041	0.0028244076978508905	0.03198383741727629	0.07620537985945118	0.11747783158110016	0.0441990231797565	0.03949004685903001	0.14197407637857704	0.026812518398332416	0.06955741054716566	0.07807031117318686	0.008083861282679128	0.00025252218314598116	0.025825797746924496	0.028413890097194205	0.02437993897589248	0.0013947159155248746	1818.5487266752127	84.81348705747006	111.80429211508344	100.11464144334394	186.30210731731424	148.68397548670913	42.926133991884875	167.78277092159112	119.28625131363732	129.43037181793167	60.99409002232723	133.5589989898303	65.71385995302919	168.03967804709333	57.466229206562424	62.90768884807318	186.29953150827444	69.38377751427852	147.15268112972373	88.30830859505102	75.73087327031577	167.57907429149853	57.45847287832093	146.68065248319212	99.3769621774614	66.99148028847675	55.06625709174389	165.37087643582862	152.82140213873973	115.24412676098379	42.384005810570834	183.62572591139696	182.30123175855013	162.1382614261841	155.4835230909172	57.75839596797845	72.08523457193004	145.42697737913394	106.70177145353253	43.983295197626234	163.5124810150366	83.83637499153049	55.766698611353554	76.81042800205182	167.92683489055835	75.30913769197453	40.28838351861323	59.76782981998314	40.08729429096395	83.78373449778927	80.77768325204714	83.36739797901029	95.2110460074601	117.6569572074189	0.0	65.74133286833815	69.00830779164205	0.0	38.24552385194669	68.94708027169004	50.03888123499164	167.35106986850394	47.85892892747386	30.76898606642706	169.13926554963993	68.16300929675478	124.5449342749211	0.0	0.0	166.99094098885277	55.7114071762415	138.44059032106927	97.19439700103835	0.0	40.078766581297316	63.70807587378637	151.30733175110197	11.334446647254616	0.0	104.6974801860682	114.61221523221529	137.35019848278972	149.13049704612538	37.261853114862184	72.02628009752259	133.67213025946464	33.915501693412075	0.0	142.31173391164475	65.82707300378273	46.0393195842268	0.0	96.53698008623208	65.14639487463195	0.0	46.03645896076847	0.0
160000	-3493.9877420938833	-245.36582943559867	-2844.7819539405964	-403.8399587176882	0.1710296385845414	0.10010588878711796	0.954062596510138	0.32718650362945456	1.4827767442502173	186.43522856925478	0.0	16.50886542944396	7.529939701626037	0.10976510203436497	0.018662374042431363	0.06222163674622191	0.07604825865205206	0.044732295958997456	0.001640371764662973	0.03966962392057245	0.03026739140382371	0.1874927729211449	0.04284680689584993	0.10631727287613378	0.03264012067899442	0.004931500947624552	0.07014730560971177	0.022309750808363032	0.017919721190665913	0.005611975429683276	0.01817431712838454	0.018588932233666738	0.02867505030953052	0.0009261953993348506	0.006510052228137874	0.012871256386007356	0.016017615907190023	0.08422994519176441	0.00426934775502706	0.0015955435685153945	0.03442990260844775	0.033999857339709574	0.02839129998443326	0.07082308433713548	0.07540827025900736	0.019467788592810426	0.03372032823424714	0.007703634466552564	0.03756996875278047	0.07373349790470395	0.021145346528803278	0.003012053519033608	0.03746657299098647	0.08228792318927389	0.023109190309389536	0.007511610917363732	0.03310349249956976	1815.5234892511658	85.34845365065662	112.08097231256224	99.99577565961542	184.15776742219083	149.5605510043949	40.43296346110326	157.59522347363045	115.88121846121408	125.24392268661846	52.424326846367165	138.35425141722473	66.30321183024368	168.2464028510462	60.72063604918726	62.94645745154383	186.43522856925478	69.13530537775202	147.00896774048218	88.53211614585314	78.60589049302877	168.32688923308595	57.107176960456464	144.93638522094724	99.20486614210209	66.31294721123783	51.291659470235956	171.28070592921657	153.18919914776168	117.68333368708629	43.39429032325549	180.86861515918628	183.71828604973305	166.39062187057223	155.0160280577412	57.2640555099721	72.10804202652785	142.3044396452889	123.48380692790049	45.03392127311531	159.72858420594758	84.39779525363288	55.71610466504	73.43917997608945	167.62854439877353	74.47090287496079	42.51177739285191	59.23769008021814	40.10782922466724	83.96928033097325	73.68581125899019	80.58156630130186	96.44702472569774	117.14238665473943	0.0	65.58798692896737	72.88166019862796	0.0	39.32742187320594	67.48791544655171	47.145895879277596	167.55216420833958	51.02980666939636	30.369211270421914	165.79813199074047	67.46589241833327	120.74731143061506	0.0	0.0	162.79814601679965	55.25135880049775	137.90030916344145	99.131893246764	0.0	37.464410740527	65.06317175308747	151.68023959884775	17.950298874529192	0.0	114.47450056892033	115.15315083465516	137.99355304551852	150.19796885132848	37.95342650947708	71.98783809618814	138.00561155109335	32.867028309203384	0.0	144.53019547840316	65.65561978949424	43.657188283583224	0.0	96.21224984275061	64.23984639818875	0.0	42.252358230930426	0.0
180000	-3472.664934746189	-245.15049421123126	-2833.6756770789684	-393.83876345598947	0.27477552076512124	0.12957614674285353	0.9282191423262424	0.4057709939225608	1.3506150775382024	184.30123773537667	0.0	8.55146659395031	19.22306337123913	0.07686931580635575	0.016822240013497167	0.03762252111908202	0.0036524800539748585	0.05501776635391274	0.05284138527744585	0.12151689721959226	0.12129784612861966	0.08952897513812626	0.03152557302094632	0.20241507537673228	0.012975341132076702	0.005006502605045646	0.075745392150836	0.004780316338502814	0.007556556591203688	0.0035847550430428035	0.018605621216296126	0.03271761212220732	0.013464582145979473	0.0256783896420406	0.006375260711376971	0.008602759249113846	0.028304760242641884	0.09510558600742669	0.011088866886544459	0.001983499232679887	0.05313130002851887	0.023425593705710256	0.07337241201072689	0.0392825793796459	0.09831407321045747	0.004276245471909372	0.08787845184982532	0.02938399905165564	0.05093459947519467	0.02305860226182498	0.08605217391990097	0.014952064644497927	0.09054411969181522	0.0018583912152832218	0.03510100442633262	0.024612164230553634	0.007102240949250015	1787.8877906520836	84.4505701069813	107.49152960352386	99.8680539927342	183.0217813095158	140.0069408105328	44.21215324205727	156.86712069083427	126.82419114607193	128.63479930918479	55.27204534926551	134.67466657992716	65.98537297071479	171.07744716622943	57.412121871451966	66.21668576817697	184.30123773537667	69.04068088111062	141.68169786488124	87.79814496379785	76.98658105747955	167.45510297815218	57.02055603905066	140.1207036951074	99.32851140793511	66.8270329182842	56.38693340894508	166.2712161081483	153.07581065779686	123.97875436354589	44.34251492356593	182.364395579298	183.72581301621972	156.86018814140226	152.1874570732788	57.42544600546003	72.40436806994394	138.78033037807407	116.92351638175943	43.90853082528086	160.48574500337202	83.54071535670336	57.4982103265619	70.68715724017234	165.305402197891	74.90040294711109	43.71152035575024	59.4479833724661	51.514720646919024	84.38374356891238	80.00366265669246	81.8302449051688	96.06607973945822	110.74116729712479	0.0	65.78211255356189	73.06766613807252	0.0	31.039791699073962	68.39697716951869	50.42944656360039	159.94642211198106	53.383659353365694	30.524123069965015	169.617746357058	67.30656139323281	138.22804751322727	0.0	0.0	165.11556215865278	54.846449261691305	138.8633162755748	99.04051371048944	0.0	31.56464968113589	62.8486974705627	150.23887691923565	22.42211971289915	0.0	117.13600580960482	112.57382565855882	136.81839016784207	151.4784861926245	37.21509010143896	71.7473711331277	129.64374086811347	33.69024834204732	0.0	147.27995147015585	66.11732907284288	44.87609215359466	0.0	97.65782944822206	65.79048804428568	0.0	42.70258544324592	0.0
