"Age_Racine"	"Vraisemblance"	"Dispersion"	"Extinction"
248.6556876	-130.329895020525	0.0299838523605069	0.0106458350587247
250.3208596	-130.116547957631	0.0302388519759845	0.0108692100534091
267.5203723	-126.221167352068	0.0234551322144978	0.00809178336444651
268.4648575	-128.370950381734	0.0262885569632778	0.00931145768688904
257.895323	-126.270078371404	0.023364673126776	0.00838012284221852
247.4524868	-125.556027883706	0.0263552760711108	0.00900796687260134
280.1992671	-129.518066559059	0.0257249734233221	0.00867236255362837
227.1835921	-121.119915446001	0.0245725308053526	0.00858733755736985
288.3174502	-119.067665358861	0.0231690287573245	0.00751582640358884
259.3228778	-127.667855452812	0.0281711563120629	0.00955079348677106
234.2305758	-124.320674312876	0.0253022847222932	0.00884959080554676
213.9463885	-121.422359659557	0.0265630526467296	0.00976416265748818
261.3830126	-121.750605152866	0.0249882051799712	0.00834336095173954
221.0039618	-120.431003602481	0.0259543955017363	0.00956362672191919
223.5864806	-119.172926351182	0.0257661198456272	0.00840683746844047
258.0880793	-128.890792902708	0.0277526853751504	0.0101588643113315
270.8431024	-135.96024974735	0.0278394261856535	0.00979917864919803
258.8710108	-120.547779450193	0.0240528825142847	0.00794112617408323
255.7826045	-125.739444068378	0.0274599390452498	0.00932694168410515
244.9235574	-117.343364132589	0.0234923299863113	0.007483242443153
252.0346848	-130.890199645225	0.0267934021526216	0.00934059764269548
271.3671477	-125.286781774344	0.0238596348230397	0.00785938734013094
240.5388294	-124.829247878494	0.0257766763517749	0.00932140090446265
222.0268755	-123.06590784955	0.0288438291791295	0.00967629988092095
223.5401739	-132.59915597181	0.0284204636011622	0.0105582220932409
231.087078	-124.164127407604	0.025494538073444	0.00844646389187381
260.9637684	-129.575885394219	0.0259429387710268	0.00912196184762843
244.8987662	-132.035091859684	0.0304679883404945	0.0115098727718081
232.95512	-126.091240904651	0.0295168496870743	0.0103920230966425
255.5622424	-129.58314701385	0.0276158818290776	0.0100928191498666
236.3721711	-130.222597510824	0.0305561291693647	0.0109037827030872
222.1499089	-123.68179289583	0.0296214404930404	0.00990752601123643
