it	posterior	prior	BD_lik	root_age	death_age	hypL	hypM	lambda_0	lambda_1	lambda_2	lambda_3	lambda_4	lambda_5	lambda_6	lambda_7	lambda_8	lambda_9	lambda_10	lambda_11	lambda_12	mu_0	mu_1	mu_2	mu_3	mu_4	mu_5	mu_6	mu_7	mu_8	mu_9	mu_10	mu_11	mu_12	tot_length
0	-1210.3311264863428	-132.89232251759938	-1077.4388039687433	184.993757122753	0.0	1.1	1.1	0.14589822123396456	0.13260308709753296	0.1548776518256744	0.12173756049459634	0.2330850458919511	0.7254566301629081	0.10308989717422401	0.6622299324329565	0.4139210566991982	0.19639665984534	1.0424935117289351	0.19703721607384733	0.1797303805021931	0.32875892016210245	0.2992916603187029	0.5394854601738884	0.31423290642212715	0.32439465434484815	0.17114107827094677	0.21566345104960102	0.2003020174776507	0.45426804616135796	0.1035089269711162	0.36478790901480285	0.3437643679484675	0.3169515567472698	1109.0347560500354
20000	-951.9058564772969	-130.58058794395262	-821.3252685333442	184.993757122753	0.0	15.853600833050498	3.0090744492176813	0.16563050693514578	0.12619956695357432	0.2372865722527252	0.14218183590726757	0.06649410947320471	0.2173419764830994	0.20620431546066115	0.14731339341350883	0.0607350525993029	0.05801435157739349	0.2691926555849377	0.1341099812602446	0.14427889625116166	0.19043663139389522	0.14056071614512303	0.21822916415413188	0.19210939819118486	0.07803014148444876	0.033368785956967295	0.5405396008669823	0.11692210063177033	0.08755330583582442	0.6950839853379372	0.06452038339955211	0.0025835133697550716	0.017979584486098345	1109.0347560500354
40000	-942.5714756216503	-129.20589839442454	-813.3655772272258	184.993757122753	0.0	10.031413540323461	15.532502180791539	0.2257032073350507	0.1344999234210033	0.17952229767048075	0.18240600915394695	0.11755884641232245	0.17937298314894973	0.0874338809235717	0.26127136586042654	0.04592623717397938	0.09629734989524039	0.17941357448359288	0.012597383665443867	0.21454455236425807	0.07831801320908158	0.19003473608802415	0.2442622745337777	0.11319892737453219	0.06649247948071832	0.07690012990058871	0.4729918521458758	0.12418451560766884	0.08759833050814306	0.9077151106283493	0.1753435093760345	0.047986097372262095	0.014480773762773038	1109.0347560500354
60000	-941.9041648022082	-129.3016115582566	-812.6025532439517	184.993757122753	0.0	7.9111082515802496	11.161951441108222	0.13862178129744399	0.2570850749726364	0.2511478788741817	0.1877941867339922	0.07930727186240545	0.2279610160875407	0.025484103333504395	0.2567197188559062	0.03907842660735243	0.011658912524878941	0.31032899914684264	0.060753335877260985	0.15952623561607204	0.14930063028544896	0.1288519815786556	0.24357818115046562	0.1405191977559326	0.061197679758427964	0.07734454627547524	0.7286902681299288	0.10769644544377534	0.09706248388932569	0.3919818172348976	0.15441248974553587	0.03473677377470677	0.01212470088198391	1109.0347560500354
80000	-945.3486511307208	-129.69461834106625	-815.6540327896546	184.993757122753	0.0	8.293283080896675	2.0256988623953935	0.12948902277793747	0.21957265529853345	0.14700167751242446	0.16883828368230838	0.05704871139089227	0.17493144536221683	0.11503754112085138	0.2023811930497628	0.021442938951089254	0.025230750315784794	0.2638190238279278	0.023954297166799882	0.20124134578399153	0.13676519404598286	0.14793311533937878	0.1818370087967117	0.11609189255217954	0.036322164260700736	0.05018659364550032	0.7458756436163114	0.1365882075161315	0.08672503182963245	0.483319739103746	0.20293810232164616	0.06204024638766283	0.03340088892070955	1109.0347560500354
100000	-943.6182974885769	-130.09622344341687	-813.52207404516	184.993757122753	0.0	5.304704185164738	16.056686725095993	0.1165285363935512	0.13876752288826122	0.2817156407320146	0.15642008266770385	0.09138459828931508	0.15034192531226884	0.09222904715671387	0.18676735047132376	0.05327429483526775	0.033685247033075946	0.2654938324942858	0.03074481417028037	0.19279068804556146	0.0970091732941329	0.0952961644552395	0.2780513714146779	0.12125511581287723	0.09821279834295632	0.09557461290638027	0.28674714660905587	0.15699018138430756	0.08284678096564654	0.5021912403702264	0.08346571867935454	0.023998896939919707	0.03330020078326818	1109.0347560500354
120000	-945.0873283912877	-129.46403840302096	-815.6232899882667	184.993757122753	0.0	14.16925806581061	5.692359091658871	0.12101318399642419	0.205536767591561	0.23788618633146175	0.18736309833104112	0.09083092506509023	0.16578365888577484	0.20887934545196965	0.2951582205316223	0.04896991540704937	0.22013566162479745	0.4293441946059794	0.04877453430583159	0.15012644310377377	0.17424068599124792	0.17353996352672965	0.2371998407104579	0.09858954644303898	0.09749848113547703	0.0660674708130696	0.5495240501832028	0.1679174427199546	0.08428156240116932	0.3830032484583028	0.012386993683405654	0.054811349849097524	0.015005838015436085	1109.0347560500354
140000	-945.3197955442708	-129.62321191778167	-815.6965836264892	184.993757122753	0.0	13.48797149130238	9.608951558666753	0.1430022927833282	0.15846166424492825	0.23095324120392802	0.12333914802253673	0.0772757457957292	0.10754373044583447	0.14101457085600397	0.32287291489296677	0.04082512351485521	0.07760024727529018	0.48576264980249845	0.011889858707313947	0.16404506207762823	0.1659117375705147	0.17430094710322674	0.18150865259925142	0.1566856749632546	0.08965670491537409	0.036765426565279445	0.3674038867316062	0.12208795129504513	0.06824242680768186	0.2434011791856969	0.03166515044940428	0.017566601542624904	0.026079092626126312	1109.0347560500354
160000	-941.9248267948095	-129.387879175855	-812.5369476189545	184.993757122753	0.0	12.893309686647944	14.153659406372842	0.16901683819062752	0.17310301840998102	0.2253438727363318	0.14708862189112057	0.10628106658213672	0.248424942501075	0.09443549157466383	0.303649029949756	0.04005633921266981	0.0452967034607983	0.364371742523145	0.029880933370406957	0.18446763565679233	0.15090120970877974	0.10817622104609857	0.261495257264335	0.17421343403109057	0.13576395111520723	0.07918748204892533	0.5924259188317178	0.15974124839440235	0.10300531017336687	0.452964396508064	0.17344479701746035	0.05029273945116337	0.01130601139766901	1109.0347560500354
180000	-945.4082932892488	-129.37690281401817	-816.0313904752306	184.993757122753	0.0	10.077457695539154	8.884655831047823	0.1953751669356286	0.23346004984489552	0.2479820595166081	0.18876751813242038	0.12276914870176868	0.10257105374115512	0.2394631120125594	0.24123899441770716	0.08807671867466083	0.0284583652956381	0.44056066770750835	0.006170136175483362	0.23130670305253434	0.14417444498207668	0.1421449545397038	0.22538224010301777	0.07092333468780791	0.07470251836410727	0.08774293479080189	0.5038902867631451	0.10875823814552642	0.07826905246923933	0.6108036541100994	0.10726266156116081	0.003168850375679602	0.010753821643992417	1109.0347560500354
