it	posterior	prior	BD_lik	root_age	death_age	hypL	hypM	lambda_0	lambda_1	lambda_2	lambda_3	lambda_4	lambda_5	lambda_6	lambda_7	lambda_8	lambda_9	lambda_10	lambda_11	lambda_12	mu_0	mu_1	mu_2	mu_3	mu_4	mu_5	mu_6	mu_7	mu_8	mu_9	mu_10	mu_11	mu_12	tot_length
0	-1205.5304502866798	-133.97979689688088	-1071.550653389799	181.742394350009	0.0	1.1	1.1	0.12651741087519894	0.3769772877295383	0.22000107179668074	0.1228731861307528	0.5328800598490351	0.17693864544699317	0.28457547127619653	0.15798615312970038	0.17491518057704697	0.14925940898852566	0.1359934345861873	0.23421872927390167	0.8719240151477057	0.19390789074938217	0.17352532205320975	0.21117070439118896	0.5536360015725004	0.1527991988599116	0.17752933577525856	0.2805366307388918	0.08750484920144358	0.361687889672035	0.10773292527288832	0.3812845594746414	0.23399393097950622	0.23320016777271796	1117.1846157353461
20000	-950.1527324705564	-129.4194619329948	-820.7332705375617	181.742394350009	0.0	13.95775268547142	17.3605619005438	0.16608669221784814	0.17790544151920556	0.22066518788025472	0.17196467368893187	0.1801169225644426	0.06882423618984113	0.10518261625539979	0.20183956326353708	0.06320110219595393	0.09104586852803379	0.25013162425641045	0.0013427210175688809	0.17371149903742705	0.18107843966418855	0.10521759517288784	0.16075050017032402	0.15387393164197244	0.08155593736267039	0.32541969363308976	0.16103076409859976	0.08833397507275162	0.08650411281833842	0.8120358716929114	0.005076971653199785	0.049189324992099534	0.028097011982753006	1117.1846157353461
40000	-956.9838674927072	-128.34960866900744	-828.6342588236997	181.742394350009	0.0	17.734786220254534	8.040769884779241	0.1646708630574591	0.19410579496648228	0.2630988927709393	0.19988507384596507	0.2021747503853795	0.1207956525501299	0.11620993599851934	0.28087633439594434	0.027729072941104792	0.14232743571503234	0.1518781580613067	0.020172617058563623	0.17439839609037208	0.1812581400089199	0.08527022523486753	0.18831225518697808	0.07434171010462347	0.0656900940944055	0.1401599052122725	0.24458110636797223	0.1301254471442807	0.13569618585532647	0.9987188365135367	0.01783118368703721	0.023795972263359548	0.0020399833048469385	1117.1846157353461
60000	-955.3253812146996	-129.00989154445233	-826.3154896702473	181.742394350009	0.0	13.063808983272708	11.5323443715829	0.20628702971917826	0.2834147230251527	0.14830995774541114	0.11800100533173294	0.12784410953899136	0.11011983887481841	0.14483941551590174	0.1747490280591501	0.05035718917173027	0.029124361293051407	0.4581999430490989	0.06072471186912088	0.17610723258973585	0.188248179735956	0.16618887040729965	0.21448943807794418	0.0936705559943134	0.07183277564795558	0.2391524826587195	0.27044575496312023	0.0926413166408879	0.13358720092682322	0.4915033299196237	0.002527342029187311	0.03421661967343034	0.018238345754902865	1117.1846157353461
80000	-954.1488396999821	-128.68631266074453	-825.4625270392376	181.742394350009	0.0	9.812508479491916	7.5659159637210776	0.3330105735641233	0.2119176213076437	0.20545327826059379	0.22530911455589342	0.11962069694401493	0.21396080679935847	0.13681672485973487	0.19134117179446833	0.0421202617401857	0.04231551251698604	0.2026213588903173	0.0058156507002835	0.2573671014900813	0.22188199348736073	0.17099803034114378	0.25282672073944157	0.1646380235047165	0.04744066487833134	0.2735080737046124	0.27400881329992777	0.08716957084392171	0.10258488541495762	0.7958039441899042	0.06573346258989317	0.06187590581920542	0.007612158116479667	1117.1846157353461
100000	-956.2184242309269	-128.6201592468085	-827.5982649841184	181.742394350009	0.0	10.286215303573037	5.967464148691862	0.18952809937823129	0.1651353223324954	0.343732677222877	0.09700838552753958	0.13709634297578097	0.15960270245230343	0.14301991814863452	0.2011344772335879	0.024994886067956443	0.2947762743988335	0.32996575732826733	0.0677749275739392	0.187980085272224	0.14128781455344783	0.07949142785723945	0.2262056148539072	0.15142645619048423	0.041469223014695494	0.2541174376374914	0.22916105860509997	0.12406220240773355	0.08055766874256785	0.9410295093993793	0.004548565842034922	0.04456298304379583	0.021144354816045034	1117.1846157353461
120000	-950.6363524790287	-128.65242340444732	-821.9839290745814	181.742394350009	0.0	7.654807593637796	11.182664809460457	0.2539247857126229	0.17225358763784165	0.2706534885366747	0.21761675176725923	0.11219515269990983	0.17517488083960814	0.1710807176206589	0.15800830911589037	0.043422375335148505	0.07369864423708328	0.17984991686544977	0.03298504462323806	0.19620835906241296	0.17669086334489476	0.0894885679708868	0.24928709135297455	0.09781786035739144	0.0431473105711308	0.22374248283830372	0.4132800301896653	0.11316453925427572	0.08547841135482596	0.8445806281653724	0.06870730860494535	0.058305168426871716	0.012894431483841028	1117.1846157353461
140000	-958.9413765802339	-128.91379031681234	-830.0275862634215	181.742394350009	0.0	14.987143289298137	7.105759447860357	0.28640843705916963	0.18261555404363367	0.24250832495515331	0.149856952034986	0.11739360552059873	0.1454184982027742	0.22429401471198146	0.10369615831853084	0.02238923501124967	0.15960696929082743	0.09392924071291481	0.07814248901784103	0.16341487054624987	0.20524121902209358	0.10438419048337891	0.2588498859436409	0.20267034266274334	0.05389360930929835	0.28697600007174223	0.28163151401789605	0.10264446452641977	0.08204282279484881	0.5345517281454548	0.022119772145363623	0.13522541518954792	0.017669192290801303	1117.1846157353461
160000	-963.8210309499125	-129.13113527676416	-834.6898956731484	181.742394350009	0.0	2.026916116505835	19.07423392381783	0.2198821542780203	0.1943779085498817	0.33898564953307686	0.20955703830705028	0.12277351313680897	0.14332838245707807	0.09086827150405621	0.21269885737291927	0.036730137814851876	0.2520956720732854	0.3911130396422509	0.0035715015336199724	0.1554777674140544	0.28792274776536203	0.20218200747786003	0.30422296345037364	0.1341846222624269	0.13625466922023802	0.38823654491269455	0.13478277776682382	0.06198042353248448	0.0730113492642865	1.2359405124825964	0.02910684671575632	0.06092721198038693	0.009392036547313925	1117.1846157353461
180000	-956.3944248624169	-128.8585003992126	-827.5359244632043	181.742394350009	0.0	18.873756440836594	8.070937685516446	0.1386997614208287	0.14735957010205009	0.30103037387216874	0.13575493933729418	0.12818828598925283	0.22748904300396097	0.14240059020919588	0.16954560648217162	0.031754808677983144	0.08083591173243203	0.32546545078894273	0.015442029522935535	0.22490991367027052	0.22492417865128433	0.081904857775303	0.38689097091081354	0.09860506083957293	0.06697270276012537	0.2819733495367258	0.19021175442970184	0.10716269851588853	0.12734138914183504	0.6879992498614191	0.09500984547494756	0.09034224543705494	0.016456116443610246	1117.1846157353461
