it	posterior	prior	BD_lik	root_age	death_age	hypL	hypM	lambda_0	lambda_1	lambda_2	lambda_3	lambda_4	lambda_5	lambda_6	lambda_7	lambda_8	lambda_9	lambda_10	lambda_11	lambda_12	mu_0	mu_1	mu_2	mu_3	mu_4	mu_5	mu_6	mu_7	mu_8	mu_9	mu_10	mu_11	mu_12	tot_length
0	-1118.8838559006922	-130.3357085916415	-988.5481473090507	182.741568644296	0.0	1.1	1.1	0.5339302979888609	0.1316766156273948	0.19692805268771574	0.45816871138785054	0.29604907019618054	0.16019754325931834	0.1396527273761797	0.43433872583461214	0.15156496032830394	0.20759655735438046	0.3577930633226304	0.2401217229451831	0.2102223372840279	0.3782076198508294	0.12951147498544036	0.5899210102697662	0.15397786210433276	0.10986224633669305	0.5155635667917468	0.26833119566789476	0.13731711853305212	0.274358387695934	0.17057663143797952	0.11361980111431148	0.12182350257919874	0.4634845786230595	1085.071450703348
20000	-940.4832564730795	-128.91398348182005	-811.5692729912594	182.741568644296	0.0	11.827466271058197	15.585201630288735	0.28991970488694285	0.2174981789817415	0.3059465954108641	0.1736203121481567	0.06020939017832386	0.1412344459277128	0.1011803077546833	0.21262463513259053	0.02717096357776227	0.011607332182244174	0.2667572106237151	0.018308216633116606	0.1695741183359409	0.22646854536509403	0.12678689986370184	0.28636178282766905	0.15430691008385125	0.06125034101403352	0.1687126111671013	0.2879965218423948	0.15827642161994301	0.05723229257052715	0.3011917582489184	0.08330721169397301	0.044703660851968766	0.013729328925662202	1085.071450703348
40000	-949.3893745704727	-129.04992885539625	-820.3394457150764	182.741568644296	0.0	13.00842626275953	9.668592994801237	0.24642569965068634	0.25219021692014687	0.3034131374265147	0.24179624359427196	0.13018792744426502	0.29891700502212465	0.1928120501466016	0.11513957365661807	0.05942883433226907	0.031593376766929436	0.28027881702034113	0.01884828336306502	0.22530123021696855	0.2614281458751694	0.17921731187687762	0.17214014628236907	0.12978134744951733	0.055336593446691326	0.23773116015790974	0.30864517216944287	0.12766305659074145	0.040104020919875985	0.4984657432766495	0.21716812090080417	0.0272998195812342	0.015418302899480284	1085.071450703348
60000	-946.143300270072	-129.246193029407	-816.897107240665	182.741568644296	0.0	6.354822768196908	4.838044263414828	0.24378748242475734	0.18886281240498454	0.3349743200137991	0.24194966235605248	0.09844204874895202	0.07219496779259238	0.158034958546708	0.2070605420275102	0.013497636060097663	0.16571873516336302	0.21650279417336304	0.04843775702091201	0.23534349976430494	0.174074979319501	0.18483170857401165	0.22297844796243485	0.18271477660695865	0.057400010535436086	0.23510791721780885	0.1468130334287547	0.0980680378419145	0.11368407094171515	0.50349763994485	0.11811024950349092	0.06693430818813542	0.014230850572478252	1085.071450703348
80000	-946.2298081223591	-130.76622192546373	-815.4635861968954	182.741568644296	0.0	7.79888389051502	2.6903613310848837	0.2086212835109358	0.21592191373476233	0.2646977668794865	0.3284099698982196	0.08166382563845952	0.11358702974487896	0.13091471366605809	0.23188490404212947	0.09274295612065822	0.05428495438483759	0.15732111544422456	0.005230641162806851	0.1761051680468035	0.19734785899704102	0.20518117757778426	0.13759848639745056	0.14753335317845212	0.019971431848856906	0.3044134595267349	0.3089339470740295	0.12432686980611712	0.05783188080366405	0.3346452143120705	0.11097026807732166	0.05623004175939012	0.005704624099130283	1085.071450703348
100000	-949.6285602413658	-128.93235180052102	-820.6962084408448	182.741568644296	0.0	17.549545330797315	2.011372107111523	0.17209455889151357	0.20350601445685015	0.20906671791639622	0.2880651625206963	0.08580764378840276	0.19580884350370095	0.12010287319536342	0.18650770810768696	0.038941570099825726	0.014906836491857811	0.4841176701352354	0.12698555555045313	0.20818729628455274	0.14927204074385172	0.10788643414923979	0.14824778761687324	0.12203374867889989	0.09215792994154542	0.3074543539155941	0.3359684437500708	0.10866992334512528	0.04734070684258147	0.2892377046415896	0.13460045539736873	0.13971605187470443	0.024697642750093642	1085.071450703348
120000	-942.88687346964	-128.90707785494777	-813.9797956146922	182.741568644296	0.0	17.955743841857302	11.493560601023896	0.3148120796367749	0.1604698215856717	0.2718843765283508	0.1699344890002125	0.08805586119832207	0.16782784654254893	0.03276136259840081	0.24544386067831658	0.05418226042309636	0.06286633077078546	0.21392991593295438	0.004000444182721166	0.23082781067174177	0.20817930867087162	0.09746946018786651	0.14404584992090305	0.13745474751410394	0.05747143229140991	0.18188370099313445	0.1722219425255504	0.11963376994990585	0.11334889983904999	0.46525780284164464	0.042777688706861966	0.05034342935203869	0.00871381535597745	1085.071450703348
140000	-949.4428344106403	-129.45149017094843	-819.9913442396919	182.741568644296	0.0	19.39913018204539	17.027780771216097	0.23196410732465916	0.14289130320832855	0.2435202306563001	0.22993912803188585	0.12881776162458528	0.23927794921035273	0.3232208116486219	0.19323308779503	0.06626245137601558	0.1746347573768179	0.5121235316984973	0.0073006703129437234	0.22474926548363672	0.23369135325527146	0.0914369959709874	0.29712777338133883	0.1705837690675588	0.0519377184776534	0.30102303002892355	0.29407408110236083	0.14973239511827888	0.07874537655299754	0.49726475231243206	0.050174926239363364	0.04060678681407223	0.016432660523387755	1085.071450703348
160000	-944.2527057101142	-129.41934939851797	-814.8333563115963	182.741568644296	0.0	0.5592779593135481	12.581335761940077	0.18453936142277333	0.1910546623348982	0.15718548082624453	0.25719206032318037	0.12009679267183694	0.1191134493755478	0.1509340226304807	0.1508016469216227	0.03367437351839957	0.11355515425662471	0.5145193507855289	0.00396257639819114	0.18867749778870052	0.1414871034128016	0.17229817083181503	0.15997212098789798	0.16506635776467246	0.05747774679327863	0.47059680046051844	0.32701603581560523	0.12640039760451646	0.04842999487585002	0.38963082674799837	0.10434111038468896	0.05057003688137948	0.00799303227219715	1085.071450703348
180000	-952.3262630884245	-129.07347505537697	-823.2527880330475	182.741568644296	0.0	10.765759552059137	5.721653366405946	0.30936666601288854	0.27920545140910086	0.30629994216892864	0.2562710307448797	0.088052704709693	0.18159170927728038	0.04223622200095843	0.2458686782977422	0.07770481739979185	0.120698220675557	0.1930758443393159	0.008407153077301225	0.2270804664763944	0.2806866597291837	0.15818368362812574	0.15626849746056912	0.13940924910002023	0.13212814804319728	0.23693915833593943	0.4466432223385363	0.1637017693328639	0.0825281937368098	0.6934038208331779	0.17660275191961847	0.04636751526613346	0.011563096268179321	1085.071450703348
