Order	Family	Genus	Species
Orectolobiformes	Ginglymostomatidae	Nebrius	Nebrius_thielensi
Orectolobiformes	Hemiscylliidae	Notoramphoscyllium	Notoramphoscyllium_woodwardi
Orectolobiformes	Orectolobiformes_incert._fam.	Orecto_gen._nov.1	Orecto_gen._nov.1_standhardtae
Orectolobiformes	Orectolobiformes_incert._fam.	Orecto_gen._nov.2	Orecto_gen._nov.2_muftius
Orectolobiformes	Orectolobidae	Orectoloboides	Orectoloboides_angulatus
Orectolobiformes	Orectolobidae	Orectoloboides	Orectoloboides_multistriatus
Orectolobiformes	Orectolobidae	Orectoloboides	Orectoloboides_parvulus
Orectolobiformes	Orectolobidae	Orectoloboides	Orectoloboides_reyndersi
Orectolobiformes	Orectolobidae	Orectolobus	Orectolobus_gippslandicus
Orectolobiformes	Orectolobidae	Orectolobus	Orectolobus_ziegenhinei
Orectolobiformes	Brachaeluridae	Ornatoscyllium	Ornatoscyllium_freemani
Orectolobiformes	Brachaeluridae	Ornatoscyllium	Ornatoscyllium_glashoffi
Orectolobiformes	Brachaeluridae	Ornatoscyllium	Ornatoscyllium_pattersoni
Orectolobiformes	Brachaeluridae	Ornatoscyllium	Ornatoscyllium_rugasimulatum
Orectolobiformes	Brachaeluridae	Palaeobrachaelurus	Palaeobrachaelurus_alisonae
Orectolobiformes	Brachaeluridae	Palaeobrachaelurus	Palaeobrachaelurus_aperizostus
Orectolobiformes	Brachaeluridae	Palaeobrachaelurus	Palaeobrachaelurus_bedfordensis
Orectolobiformes	Brachaeluridae	Palaeobrachaelurus	Palaeobrachaelurus_mitchelli
Orectolobiformes	Brachaeluridae	Palaeobrachaelurus	Palaeobrachaelurus_mussetti
Orectolobiformes	Orectolobiformes_incert._fam.	Palaeocarcharias	Palaeocarcharias_stromeri
Orectolobiformes	Orectolobiformes_incert._fam.	Palaeorectolobus	Palaeorectolobus_agomphius
Orectolobiformes	Rhincodontidae	Palaeorhincodon	Palaeorhincodon_daouii
Orectolobiformes	Rhincodontidae	Palaeorhincodon	Palaeorhincodon_dartevellei
Orectolobiformes	Rhincodontidae	Palaeorhincodon	Palaeorhincodon_wardi
Orectolobiformes	Brachaeluridae	Paraginglymostoma	Paraginglymostoma_bloti
Orectolobiformes	Orectolobiformes_incert._fam.	Parahemiscyllium	Parahemiscyllium_underwoodwardi
Orectolobiformes	Parascylliidae	Pararhincodon	Pararhincodon_crochardi
Orectolobiformes	Parascylliidae	Pararhincodon	Pararhincodon_germaini
Orectolobiformes	Parascylliidae	Pararhincodon	Pararhincodon_groessensi
Orectolobiformes	Parascylliidae	Pararhincodon	Pararhincodon_lehmani
Orectolobiformes	Parascylliidae	Pararhincodon	Pararhincodon_ornatus
Orectolobiformes	Parascylliidae	Pararhincodon	Pararhincodon_ypresiensis
Orectolobiformes	Orectolobiformes_incert._fam.	Phorcynis	Phorcynis_catulina
Orectolobiformes	Ginglymostomatidae	Plicatoscyllium	Plicatoscyllium_antiquum
Orectolobiformes	Ginglymostomatidae	Plicatoscyllium	Plicatoscyllium_derameei
Orectolobiformes	Ginglymostomatidae	Plicatoscyllium	Plicatoscyllium_gharbii
Orectolobiformes	Ginglymostomatidae	Plicatoscyllium	Plicatoscyllium_globidens
Orectolobiformes	Ginglymostomatidae	Plicatoscyllium	Plicatoscyllium_lehneri
Orectolobiformes	Ginglymostomatidae	Plicatoscyllium	Plicatoscyllium_minutum
Orectolobiformes	Ginglymostomatidae	Plicatoscyllium	Plicatoscyllium_youssoufiaense
Orectolobiformes	Ginglymostomatidae	Protoginglymostoma	Protoginglymostoma_ypresiensis
Orectolobiformes	Ginglymostomatidae	Pseudoginglymostoma	Pseudoginglymostoma_erguitaense
Orectolobiformes	Ginglymostomatidae	Pseudoginglymostoma	Pseudoginglymostoma_idiri
Orectolobiformes	Hemiscylliidae	Pseudospinax	Pseudospinax_heterodon
Orectolobiformes	Hemiscylliidae	Pseudospinax	Pseudospinax_pusillus
Orectolobiformes	Orectolobidae	Restesia	Restesia_americana
Orectolobiformes	Orectolobidae	Restesia	Restesia_nordquistae
Orectolobiformes	Rhincodontidae	Rhincodon	Rhincodon_ferriolensis
Orectolobiformes	Rhincodontidae	Rhincodon	Rhincodon_typus
Orectolobiformes	Orectolobidae	Squatiscyllium	Squatiscyllium_casieri
Orectolobiformes	Orectolobidae	Squatiscyllium	Squatiscyllium_nigeriensis
Orectolobiformes	Stegostomatidae	Stegostoma	Stegostoma_tethysiensis
