Species	Status	MinT	MaxT
Cretorectolobus_doylei	 extinct	126.301	130.8
Cretorectolobus_doylei	 extinct	130.801	134.7
Cretorectolobus_gracilis	 extinct	110.201	113
Cretorectolobus_gracilis	 extinct	100.501	107.6
Cretorectolobus_gracilis	 extinct	100.501	107.6
Cretorectolobus_olsoni	 extinct	66.001	70.1
Cretorectolobus_olsoni	 extinct	66.001	70.6
Cretorectolobus_olsoni	 extinct	66.001	72.1
Cretorectolobus_olsoni	 extinct	66.001	72.1
Cretorectolobus_olsoni	 extinct	66.001	72.1
Cretorectolobus_olsoni	 extinct	70.101	72.1
Cretorectolobus_olsoni	 extinct	72.101	76.4
Cretorectolobus_olsoni	 extinct	72.101	76.4
Cretorectolobus_olsoni	 extinct	72.101	83.6
Cretorectolobus_olsoni	 extinct	72.101	83.6
Cretorectolobus_olsoni	 extinct	72.101	83.6
Cretorectolobus_olsoni	 extinct	72.101	83.6
Cretorectolobus_robustus	 extinct	93.901	96.2
Delpitoscyllium_africanum	 extinct	61.601	66
Delpitoscyllium_africanum	 extinct	50	55.7
Delpitoscyllium_africanum	 extinct	56.001	59.2
Delpitoscyllium_africanum	 extinct	56.001	59.2
Delpitoscyllium_africanum	 extinct	56.001	59.2
Delpitoscyllium_africanum	 extinct	57.101	60.52
Delpitoscyllium_africanum	 extinct	59.201	61.6
Delpitoscyllium_africanum	 extinct	59.201	61.6
Delpitoscyllium_africanum	 extinct	59.201	61.6
Delpitoscyllium_planum	 extinct	61.601	66
Delpitoscyllium_planum	 extinct	61.601	66
Dorsetoscyllium_terraefullonicum	 extinct	166.101	168.3
Eometlaouia_delpiti	 extinct	56.001	59.2
Eometlaouia_numidica	 extinct	47.801	56
Eometlaouia_numidica	 extinct	47.801	56
Eostegostoma_angustum	 extinct	38.001	41
Eostegostoma_angustum	 extinct	47.801	56
Eostegostoma_angustum	 extinct	47.801	56
Eostegostoma_angustum	 extinct	47.801	56
Eostegostoma_angustum	 extinct	47.801	56
Eostegostoma_angustum	 extinct	47.801	56
Eostegostoma_angustum	 extinct	38.001	47.8
Eostegostoma_angustum	 extinct	38.001	47.8
Eostegostoma_angustum	 extinct	41.001	47.8
Eostegostoma_angustum	 extinct	41.001	47.8
Eostegostoma_angustum	 extinct	41.001	47.8
Eostegostoma_angustum	 extinct	41.001	47.8
Eostegostoma_angustum	 extinct	47.801	50.5
Eostegostoma_templeuvensis	 extinct	56.001	59.2
Folipistrix_digitulus	 extinct	170.301	174.2
Folipistrix_digitulus	 extinct	174.201	183.7
Ganntouria_variabilis	 extinct	66.001	70.1
Ganntouria_variabilis	 extinct	66.001	70.1
Ganntouria_variabilis	 extinct	66.001	70.1
Garrigascyllium_aganticensis	 extinct	134.701	139.4
Ginglymostoma_angolense	 extinct	47.801	56
Ginglymostoma_angolense	 extinct	47.801	56
Ginglymostoma_angolense	 extinct	41.001	47.8
Ginglymostoma_angolense	 extinct	41.001	47.8
Ginglymostoma_angolense	 extinct	41.001	47.8
Ginglymostoma_angolense	 extinct	41.001	47.8
Ginglymostoma_angolense	 extinct	41.001	47.8
Ginglymostoma_angolense	 extinct	41.001	47.8
Ginglymostoma_botmaense	 extinct	66.001	70.1
Ginglymostoma_botmaense	 extinct	66.001	70.1
Ginglymostoma_botmaense	 extinct	66.001	70.1
Ginglymostoma_botmaense	 extinct	66.001	70.1
Ginglymostoma_botmaense	 extinct	66.001	70.1
Ginglymostoma_botmaense	 extinct	66.001	72.1
Ginglymostoma_botmaense	 extinct	70.101	72.1
Ginglymostoma_chenanei	 extinct	56.001	59.2
Ginglymostoma_cirratum	 extant	0.0119	0.126
Ginglymostoma_cuspidata	 extinct	66.001	70.1
Ginglymostoma_dartevellei	 extinct	59.201	61.6
Ginglymostoma_delfortriei	 extinct	15.971	23.03
Ginglymostoma_delfortriei	 extinct	15.971	23.03
Ginglymostoma_delfortriei	 extinct	15.971	23.03
Ginglymostoma_delfortriei	 extinct	5.334	23.03
Ginglymostoma_delfortriei	 extinct	5.334	23.03
Ginglymostoma_delfortriei	 extinct	2.589	11.62
Ginglymostoma_delfortriei	 extinct	11.621	15.97
Ginglymostoma_delfortriei	 extinct	11.621	15.97
Ginglymostoma_delfortriei	 extinct	13.821	15.97
Ginglymostoma_delfortriei	 extinct	13.821	15.97
Ginglymostoma_delfortriei	 extinct	13.821	15.97
Ginglymostoma_delfortriei	 extinct	15.971	20.44
Ginglymostoma_delfortriei	 extinct	15.971	20.44
Ginglymostoma_delfortriei	 extinct	2.589	5.333
Ginglymostoma_erramii	 extinct	66.001	70.1
Ginglymostoma_khouribgaense	 extinct	59.201	66
Ginglymostoma_khouribgaense	 extinct	61.601	66
Ginglymostoma_khouribgaense	 extinct	55.861	56.78
Ginglymostoma_khouribgaense	 extinct	56.001	59.2
Ginglymostoma_khouribgaense	 extinct	56.001	59.2
Ginglymostoma_maghrebianum	 extinct	47.801	56
Ginglymostoma_maroccanum	 extinct	41.301	56
Ginglymostoma_maroccanum	 extinct	47.801	56
Ginglymostoma_maroccanum	 extinct	47.801	56
Ginglymostoma_maroccanum	 extinct	50	55.7
Ginglymostoma_pectinatum	 extinct	66.001	70.1
Ginglymostoma_pectinatum	 extinct	66.001	70.1
Ginglymostoma_pectinatum	 extinct	66.001	70.1
Ginglymostoma_pectinatum	 extinct	66.001	70.1
Ginglymostoma_pectinatum	 extinct	66.001	72.1
Ginglymostoma_serra	 extinct	15.971	23.03
Ginglymostoma_serra	 extinct	2.589	23.03
Ginglymostoma_serra	 extinct	15.971	20.44
Ginglymostoma_sokotoense	 extinct	56.001	59.2
Ginglymostoma_sokotoense	 extinct	56.001	59.2
Ginglymostoma_sokotoense	 extinct	56.001	59.2
Ginglymostoma_sokotoense	 extinct	56.001	59.2
Ginglymostoma_subafricanum	 extinct	61.601	66
Ginglymostoma_subafricanum	 extinct	61.601	66
Ginglymostoma_subafricanum	 extinct	61.601	66
Ginglymostoma_subafricanum	 extinct	61.601	66
Ginglymostoma_subafricanum	 extinct	61.601	66
Ginglymostoma_subafricanum	 extinct	61.601	66
Ginglymostoma_subafricanum	 extinct	61.601	66
Ginglymostoma_subafricanum	 extinct	61.601	66
Ginglymostoma_subafricanum	 extinct	59.201	61.6
Hemiscyllium_bruxelliensis	 extinct	47.801	56
Hemiscyllium_bruxelliensis	 extinct	41.001	47.8
Hemiscyllium_bruxelliensis	 extinct	41.001	47.8
Hemiscyllium_bruxelliensis	 extinct	41.001	47.8
Hemiscyllium_hermani	 extinct	61.601	66
Hemiscyllium_hermani	 extinct	61.601	66
Hemiscyllium_hermani	 extinct	61.601	66
Hemiscyllium_hermani	 extinct	61.601	66
Hemiscyllium_hermani	 extinct	61.601	66
Hemiscyllium_hermani	 extinct	66.001	70.1
Hemiscyllium_hermani	 extinct	72.101	76.4
Hemiscyllium_hermani	 extinct	72.101	76.4
Hemiscyllium_hermani	 extinct	72.101	76.4
