Order	Family	Genus	Species	Reported as	Earliest Age	Latest Age	Stratigraphic age	Country	Paleobiogeography_all	Paleobiogeography	Latitude	Longitude	References
Orectolobiformes	Brachaeluridae	Brachaelurid (gen. nov.)	Brachaelurid (gen. nov.) sp.	cf. Brachaelurus sp.	139.4	134.701	Valanginian	France	Tethys	Tethys	43.9558248	3.8078853	Guinot et al. (2014)
Orectolobiformes	Brachaeluridae	Brachaelurus	Brachaelurus sp.		38	33.901	Priabonian	Jordan	Tethys	Tethys	31.1667049	36.941628	Cappetta et al. (2000)
Orectolobiformes	Brachaeluridae	Brachaelurus	Brachaelurus sp.	Brachaelurus sp. & Eostegostoma sp.	15.97	3.601	Miocene (Middle) - Pliocene (Lower)	Chile	Eastern Pacific	Outside_Tethys	-27.102324	-70.8559192	Suárez (2015, in prep)
Orectolobiformes	Ginglymostomatidae	Cantioscyllium	Cantioscyllium alhaulfi		130.8	126.301	Barremian	Spain	Tethys	Tethys	40.6005259	-0.9229282	Kriwet (1999b)
Orectolobiformes	Ginglymostomatidae	Cantioscyllium	Cantioscyllium bighornensis		76.4	72.101	Campanian (Upper)	United States	Western Atlantic	Outside_Tethys	43.2333168	-106.3109913	Case (1987)
Orectolobiformes	Ginglymostomatidae	Cantioscyllium	Cantioscyllium bighornensis		86.3	83.601	Santonian	United States	Western Atlantic	Outside_Tethys	39.4225192	-111.714358	Kirkland et al. (2013)
Orectolobiformes	Ginglymostomatidae	Cantioscyllium	Cantioscyllium bighornensis		89.8	86.301	Coniacian	United States	Western Atlantic	Outside_Tethys	39.4225192	-111.714358	Kirkland et al. (2013)
Orectolobiformes	Ginglymostomatidae	Cantioscyllium	Cantioscyllium brachyplicatum		100.5	96.201	Cenomanian (Lower)	Spain	Tethys	Tethys	40.3615312	-0.4492901	Kriwet et al. (2009)
Orectolobiformes	Ginglymostomatidae	Cantioscyllium	Cantioscyllium clementsi		83.6	72.101	Campanian	United States	Western Atlantic	Outside_Tethys	34.627971	-78.5627714	Case et al. (2019)
Orectolobiformes	Ginglymostomatidae	Cantioscyllium	Cantioscyllium decipiens		100.5	93.901	Cenomanian (Lower-Middle)	Lebanon	Tethys	Tethys	34.17052	35.75008	Pfeil (2013, 2021)
Orectolobiformes	Ginglymostomatidae	Cantioscyllium	Cantioscyllium decipiens		100.5	89.801	Cenomanian-Turonian	United States	Western Atlantic	Outside_Tethys	32.7848517	-96.9008376	Welton & Farish (1993)
Orectolobiformes	Ginglymostomatidae	Cantioscyllium	Cantioscyllium decipiens		100.5	93.901	Cenomanian	United States	Western Atlantic	Outside_Tethys	33.046233	-96.994174	Welton & Farish (1993)
Orectolobiformes	Ginglymostomatidae	Cantioscyllium	Cantioscyllium decipiens		89.8	86.301	Coniacian	United States	Western Atlantic	Outside_Tethys	31.2638905	-98.5456116	Hamm & Cicimurri (2011); Welton & Farish (1993); Hamm (2009)
Orectolobiformes	Ginglymostomatidae	Cantioscyllium	Cantioscyllium decipiens	Cantioscyllium aff. decipiens	91.4	89.801	Turonian (Upper)	United States	Western Atlantic	Outside_Tethys	32.7197373	-96.783545	Cappetta & Case (1999)
Orectolobiformes	Ginglymostomatidae	Cantioscyllium	Cantioscyllium decipiens		92.9	91.401	Turonian (Middle)	United States	Western Atlantic	Outside_Tethys	41.7370229	-99.5873816	Ouroumova et al. (2016)
Orectolobiformes	Ginglymostomatidae	Cantioscyllium	Cantioscyllium decipiens		93.9	89.801	Turonian	United States	Western Atlantic	Outside_Tethys	44.6471761	-100.348761	Cappetta (1973)
Orectolobiformes	Ginglymostomatidae	Cantioscyllium	Cantioscyllium decipiens		100.5	96.201	Cenomanian (Lower)	France	Tethys	Tethys	45.9359026	-0.6900244	Vullo et al. (2007)
Orectolobiformes	Ginglymostomatidae	Cantioscyllium	Cantioscyllium decipiens	Cantioscyllium spp.	100.5	96.201	Cenomanian (Lower)	France	Tethys	Tethys	45.9861706	-1.0974431	Vullo et al. (2007)
Orectolobiformes	Ginglymostomatidae	Cantioscyllium	Cantioscyllium decipiens	Cantioscyllium spp.	100.5	96.201	Cenomanian (Lower)	France	Tethys	Tethys	45.657882	-0.1870909	Vullo et al. (2007)
