Family	Genus	Species	latitude	longitude
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-32.7126443	152.1585799
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-33.445355253	151.4492562563
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-33.0885638284	151.6735346504
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-32.714151231	152.1506852684
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-32.7173289063	152.1415193386
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-34.059932043	151.1587587478
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-32.8989759311	151.80876577
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-33.5643675455	151.2658028146
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-34.059872458	151.1599141259
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-32.7144165929	152.1516504139
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-34.0641082158	151.1557714557
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-30.3741664386	153.1049956754
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-33.7367888889	151.3061666667
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-32.7143766604	152.1517417382
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-32.7185684593	152.1724914525
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-32.713585052	152.1508842619
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-32.7141735531	152.1507815075
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-32.7181052033	152.1730407399
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-33.9064987795	151.3666759844
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-32.7088513768	152.1605406849
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-32.7142332118	152.1512036697
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-28.6220907855	153.621192379
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-34.3311558316	150.928594149
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-33.5649606305	151.2661607103
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-27.9568438108	153.4329827119
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-33.9164562756	151.264468713
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-32.7133899796	152.1510988386
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-34.0640643838	151.1556689152
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-32.9008043203	151.8026828552
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-32.9103164348	151.7944861906
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-32.8773804947	151.8436679428
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-33.8001588594	151.2797345603
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-32.7139116063	152.1510940093
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-30.10917783	153.21023667
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-33.8001576032	151.2932492491
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-32.6781014795	152.2288862136
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-34.064496	151.156376
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-34.0640303022	151.1564397971
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-33.7990725261	151.2962966308
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-34.0563745937	151.1594330805
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-34.0558948218	151.1554851669
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-32.7141733896	152.1510618228
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-28.6476141421	153.6906240245
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-31.4578300519	152.9337012583
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-32.9216616856	151.8709746745
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-33.7985847369	151.2919260606
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-35.5258153564	150.4154620968
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-35.5050864753	150.4006145063
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-34.061051	151.159287
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-34.0694294697	151.129708526
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-34.0640658538	151.1561286609
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-32.7188031955	152.1725343677
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-32.7188031955	152.1725343677
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-30.4012191879	153.0629517138
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-29.4399533504	153.3722312803
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-33.8000088513	151.2959382175
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-34.0606217655	151.1596043663
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-32.7093240823	152.1613762142
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-33.7999544354	151.2972000107
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-32.7075152055	152.1543443576
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-33.7999828893	151.2791888073
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-33.7983194961	151.300195311
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-33.799657837	151.295109826
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-33.8001097	151.2947546
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-33.5389246635	151.3114029461
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-32.71444762	152.1516323
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-32.9530777362	151.7552036668
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-32.7153971833	152.1414550475
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-34.0008946895	151.2228165338
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-33.7999048233	151.2957646777
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-34.0638258803	151.1566329161
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-32.7147044	152.1512705
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-30.1090109148	153.2089222653
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-34.3741772759	151.4975738525
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-34.5974979684	150.9008505331
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-33.80069812	151.2969647402
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-32.715	152.151111
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-32.715	152.151111
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-33.8003450998	151.2940386426
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-32.7110721224	152.148558234
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-34.75092	150.83201667
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-32.8886833	151.83085
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-33.9918673273	151.232714595
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-32.71444762	152.1516323
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-33.7986010649	151.296335141
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-33.7999229763	151.2956643137
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-31.45880833	152.93473833
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-31.45887833	152.934875
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-33.7993141799	151.2968768252
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-33.7994601541	151.2964941407
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-32.7143732791	152.1517719787
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-33.7997882178	151.2963539072
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-32.714209497	152.1510832804
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-33.7991680568	151.2957087862
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-32.7140725117	152.1511417536
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-32.7146789	152.1507185
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-34.0645753824	151.15600565
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-34.0614662584	151.1591801146
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-34.0600461228	151.1589027617
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-33.6155697222	151.3330030069
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-33.7999349622	151.2931088126
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-32.7130199932	152.1570475902
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-33.7992321361	151.29615772
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-32.714110201	152.1514051453
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-32.7143178214	152.1508579749
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-32.7130293949	152.1572148796
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-32.7143178214	152.1508579749
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-34.00333	151.215221
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-33.7992065543	151.2961548775
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-33.7999174537	151.2800316026
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-34.0621636962	151.1573759204
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-32.7128386928	152.1561960685
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-32.7128386928	152.1561960685
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-32.7128386928	152.1561960685
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-34.0717765595	151.1570172028
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-34.0599198866	151.1596288707
