Species	Status	MinT	MaxT
Chiloscyllium	extant	47.801	50.5
Chiloscyllium	extant	55.861	56.78
Chiloscyllium	extant	55.961	57.1
Chiloscyllium	extant	55.961	57.1
Chiloscyllium	extant	66.001	70.1
Chiloscyllium	extant	66.001	70.1
Chiloscyllium	extant	66.001	70.1
Chiloscyllium	extant	66.001	70.1
Chiloscyllium	extant	66.001	70.1
Chiloscyllium	extant	66.001	70.1
Chiloscyllium	extant	66.001	70.1
Chiloscyllium	extant	70.101	72.1
Chiloscyllium	extant	70.101	72.1
Chiloscyllium	extant	70.101	72.1
Chiloscyllium	extant	70.101	72.1
Chiloscyllium	extant	70.101	72.1
Chiloscyllium	extant	70.101	76.4
Chiloscyllium	extant	72.101	76.4
Chiloscyllium	extant	72.101	83.6
Chiloscyllium	extant	72.101	86.3
Chiloscyllium	extant	83.601	86.3
Chiloscyllium	extant	83.601	86.3
Chiloscyllium	extant	83.601	86.3
Chiloscyllium	extant	86.301	89.8
Chiloscyllium	extant	86.301	89.8
Chiloscyllium	extant	86.301	89.8
Chiloscyllium	extant	91.401	92.9
Chiloscyllium	extant	89.801	93.9
Chiloscyllium	extant	89.801	93.9
Chiloscyllium	extant	93.901	95.5
Chiloscyllium	extant	95.501	96.2
Chiloscyllium	extant	91.401	92.9
Chiloscyllium	extant	91.401	92.9
Chiloscyllium	extant	93.901	95.5
Coelometlaouia	extinct	41	42.5
Coelometlaouia	extinct	51	52.5
Cretorectolobus	extinct	126.301	130.8
Cretorectolobus	extinct	130.801	134.7
Cretorectolobus	extinct	110.201	113
Cretorectolobus	extinct	100.501	107.6
Cretorectolobus	extinct	100.501	107.6
Cretorectolobus	extinct	66.001	70.1
Cretorectolobus	extinct	66.001	70.6
Cretorectolobus	extinct	66.001	72.1
Cretorectolobus	extinct	66.001	72.1
Cretorectolobus	extinct	66.001	72.1
Cretorectolobus	extinct	70.101	72.1
Cretorectolobus	extinct	72.101	76.4
Cretorectolobus	extinct	72.101	76.4
Cretorectolobus	extinct	72.101	83.6
Cretorectolobus	extinct	72.101	83.6
Cretorectolobus	extinct	72.101	83.6
Cretorectolobus	extinct	72.101	83.6
Cretorectolobus	extinct	93.901	96.2
Cretorectolobus	extinct	96.201	100.5
Cretorectolobus	extinct	70.101	72.1
Cretorectolobus	extinct	95.501	96.2
Delpitoscyllium	extinct	61.601	66
Delpitoscyllium	extinct	50	55.7
Delpitoscyllium	extinct	56.001	59.2
Delpitoscyllium	extinct	56.001	59.2
Delpitoscyllium	extinct	56.001	59.2
Delpitoscyllium	extinct	57.101	60.52
Delpitoscyllium	extinct	59.201	61.6
Delpitoscyllium	extinct	59.201	61.6
Delpitoscyllium	extinct	59.201	61.6
Delpitoscyllium	extinct	61.601	66
Delpitoscyllium	extinct	61.601	66
Dorsetoscyllium	extinct	166.101	168.3
Eometlaouia	extinct	56.001	59.2
Eometlaouia	extinct	47.801	56
Eometlaouia	extinct	47.801	56
Eostegostoma	extinct	38.001	41
Eostegostoma	extinct	47.801	56
Eostegostoma	extinct	47.801	56
Eostegostoma	extinct	47.801	56
Eostegostoma	extinct	47.801	56
Eostegostoma	extinct	47.801	56
