scientificName	earliestAge	latestAge	higherGeography
Cretorectolobus olsoni	83.6	72.101	Outside_Tethys
Cretorectolobus robustus	96.2	93.901	Outside_Tethys
Delpitoscyllium africanum	66	61.601	Tethys
Delpitoscyllium africanum	60.52	57.101	Outside_Tethys
Delpitoscyllium africanum	61.6	59.201	Outside_Tethys
Delpitoscyllium africanum	61.6	59.201	Outside_Tethys
Delpitoscyllium africanum	55.7	50	Outside_Tethys
Delpitoscyllium africanum	59.2	56.001	Tethys
Delpitoscyllium africanum	59.2	56.001	Tethys
Delpitoscyllium africanum	59.2	56.001	Tethys
Delpitoscyllium africanum	61.6	59.201	Tethys
Delpitoscyllium planum	66	61.601	Tethys
Delpitoscyllium planum	66	61.601	Tethys
Eometlaouia delpiti	59.2	56.001	Tethys
Eometlaouia numidica	56	47.801	Tethys
Eometlaouia numidica	56	47.801	Tethys
Eostegostoma angustum	41	38.001	Tethys
Eostegostoma angustum	56	47.801	Tethys
Eostegostoma angustum	56	47.801	Tethys
Eostegostoma angustum	56	47.801	Tethys
Eostegostoma angustum	56	47.801	Tethys
Eostegostoma angustum	56	47.801	Tethys
Eostegostoma angustum	47.8	41.001	Outside_Tethys
Eostegostoma angustum	47.8	38.001	Tethys
Eostegostoma angustum	47.8	38.001	Tethys
Eostegostoma angustum	50.5	47.801	Tethys
Eostegostoma angustum	47.8	41.001	Tethys
Eostegostoma angustum	47.8	41.001	Tethys
Eostegostoma angustum	47.8	41.001	Tethys
Eostegostoma templeuvensis	59.2	56.001	Tethys
Ganntouria variabilis	70.1	66.001	Tethys
Ganntouria variabilis	70.1	66.001	Tethys
Ganntouria variabilis	70.1	66.001	Tethys
Ginglymostoma angolense	56	47.801	Tethys
Ginglymostoma angolense	47.8	41.001	Outside_Tethys
Ginglymostoma angolense	47.8	41.001	Outside_Tethys
Ginglymostoma angolense	47.8	41.001	Outside_Tethys
Ginglymostoma angolense	47.8	41.001	Outside_Tethys
Ginglymostoma angolense	56	47.801	Outside_Tethys
Ginglymostoma angolense	47.8	41.001	Outside_Tethys
Ginglymostoma angolense	47.8	41.001	Tethys
Ginglymostoma botmaense	70.1	66.001	Tethys
Ginglymostoma botmaense	70.1	66.001	Tethys
Ginglymostoma botmaense	70.1	66.001	Tethys
Ginglymostoma botmaense	70.1	66.001	Tethys
Ginglymostoma botmaense	70.1	66.001	Tethys
Ginglymostoma botmaense	72.1	66.001	Tethys
Ginglymostoma botmaense	72.1	70.101	Tethys
Ginglymostoma chenanei	59.2	56.001	Tethys
Ginglymostoma cirratum	0.126	0.0119	Outside_Tethys
Ginglymostoma cuspidata	70.1	66.001	Outside_Tethys
Ginglymostoma dartevellei	61.6	59.201	Outside_Tethys
Ginglymostoma delfortriei	23.03	15.971	Tethys
Ginglymostoma delfortriei	23.03	15.971	Tethys
Ginglymostoma delfortriei	23.03	5.334	Tethys
Ginglymostoma delfortriei	15.97	13.821	Tethys
Ginglymostoma delfortriei	15.97	13.821	Tethys
Ginglymostoma delfortriei	15.97	11.621	Tethys
Ginglymostoma delfortriei	15.97	11.621	Tethys
Ginglymostoma delfortriei	15.97	13.821	Tethys
Ginglymostoma delfortriei	11.62	2.589	Outside_Tethys
Ginglymostoma delfortriei	23.03	15.971	Outside_Tethys
Ginglymostoma delfortriei	23.03	5.334	Outside_Tethys
Ginglymostoma delfortriei	5.333	2.589	Outside_Tethys
Ginglymostoma delfortriei	20.44	15.971	Tethys
Ginglymostoma delfortriei	20.44	15.971	Tethys
Ginglymostoma erramii	70.1	66.001	Tethys
Ginglymostoma khouribgaense	66	59.201	Tethys
Ginglymostoma khouribgaense	66	61.601	Tethys
Ginglymostoma khouribgaense	56.78	55.861	Tethys
Ginglymostoma khouribgaense	59.2	56.001	Tethys
Ginglymostoma khouribgaense	59.2	56.001	Tethys
Ginglymostoma maghrebianum	56	47.801	Tethys
Ginglymostoma maroccanum	56	47.801	Tethys
Ginglymostoma maroccanum	56	47.801	Tethys
Ginglymostoma maroccanum	56	41.301	Outside_Tethys
Ginglymostoma maroccanum	55.7	50	Outside_Tethys
Ginglymostoma pectinatum	70.1	66.001	Tethys
Ginglymostoma pectinatum	70.1	66.001	Tethys
Ginglymostoma pectinatum	70.1	66.001	Tethys
Ginglymostoma pectinatum	70.1	66.001	Tethys
Ginglymostoma pectinatum	72.1	66.001	Tethys
Ginglymostoma serra	20.44	15.971	Outside_Tethys
Ginglymostoma serra	23.03	15.971	Outside_Tethys
Ginglymostoma serra	23.03	2.589	Outside_Tethys
Ginglymostoma sokotoense	59.2	56.001	Outside_Tethys
Ginglymostoma sokotoense	59.2	56.001	Outside_Tethys
Ginglymostoma sokotoense	59.2	56.001	Outside_Tethys
Ginglymostoma sokotoense	59.2	56.001	Outside_Tethys
Ginglymostoma subafricanum	66	61.601	Tethys
Ginglymostoma subafricanum	66	61.601	Tethys
Ginglymostoma subafricanum	66	61.601	Tethys
Ginglymostoma subafricanum	66	61.601	Tethys
Ginglymostoma subafricanum	66	61.601	Tethys
Ginglymostoma subafricanum	66	61.601	Tethys
Ginglymostoma subafricanum	66	61.601	Tethys
Ginglymostoma subafricanum	61.6	59.201	Outside_Tethys
Ginglymostoma subafricanum	66	61.601	Outside_Tethys
Hemiscyllium bruxelliensis	56	47.801	Tethys
Hemiscyllium bruxelliensis	47.8	41.001	Tethys
Hemiscyllium bruxelliensis	47.8	41.001	Tethys
Hemiscyllium bruxelliensis	47.8	41.001	Tethys
Hemiscyllium hermani	66	61.601	Tethys
Hemiscyllium hermani	66	61.601	Tethys
Hemiscyllium hermani	66	61.601	Tethys
Hemiscyllium hermani	66	61.601	Tethys
Hemiscyllium hermani	66	61.601	Tethys
Hemiscyllium hermani	76.4	72.101	Outside_Tethys
Hemiscyllium hermani	70.1	66.001	Tethys
Hemiscyllium hermani	76.4	72.101	Tethys
Hemiscyllium hermani	76.4	72.101	Tethys
Hemiscyllium hermani	76.4	72.101	Tethys
Hemiscyllium tailledisensis	41	38.001	Tethys
Hemiscyllium tailledisensis	47.8	41.001	Tethys
Hemiscyllium tailledisensis	47.8	41.001	Tethys
Hologinglymostoma jaegeri	59.2	56.001	Tethys
Mesiteia emiliae	100.5	93.901	Tethys
Nebrius bequaerti	66	61.601	Tethys
Nebrius bequaerti	66	61.601	Tethys
Nebrius bequaerti	66	61.601	Tethys
Nebrius bequaerti	61.6	59.201	Outside_Tethys
Nebrius bequaerti	59.2	56.001	Outside_Tethys
Nebrius obliquus	56	47.801	Tethys
Nebrius obliquus	56	47.801	Tethys
Nebrius obliquus	56	47.801	Tethys
Nebrius obliquus	56	47.801	Tethys
Nebrius obliquus	56	47.801	Tethys
Nebrius obliquus	56	47.801	Tethys
Nebrius obliquus	47.8	41.001	Tethys
Nebrius obliquus	47.8	41.001	Tethys
Nebrius obliquus	38	28.101	Tethys
Nebrius obliquus	56	33.901	Tethys
Nebrius obliquus	41.3	33.901	Tethys
Nebrius obliquus	47.8	38.001	Tethys
Nebrius obliquus	47.8	38.001	Tethys
Nebrius obliquus	47.8	41.001	Tethys
Nebrius obliquus	56.78	55.861	Tethys
Nebrius obliquus	47.8	41.001	Outside_Tethys
Nebrius obliquus	47.8	38.001	Outside_Tethys
Nebrius obliquus	47.8	41.001	Outside_Tethys
Nebrius obliquus	47.8	41.001	Outside_Tethys
Nebrius obliquus	38	33.901	Outside_Tethys
Nebrius obliquus	56	47.801	Outside_Tethys
Nebrius obliquus	38	33.901	Outside_Tethys
Nebrius obliquus	38	33.901	Outside_Tethys
Nebrius obliquus	41	38.001	Outside_Tethys
Nebrius obliquus	41	38.001	Outside_Tethys
Nebrius obliquus	56	33.901	Outside_Tethys
Nebrius obliquus	56	41.301	Outside_Tethys
Nebrius obliquus	56	41.301	Outside_Tethys
Nebrius obliquus	47.8	41.001	Outside_Tethys
Nebrius thielensi	56	47.801	Tethys
Nebrius thielensi	56	47.801	Tethys
Nebrius thielensi	56	47.801	Tethys
Nebrius thielensi	56	47.801	Tethys
Nebrius thielensi	47.8	41.001	Tethys
Nebrius thielensi	47.8	41.001	Tethys
Nebrius thielensi	47.8	41.001	Tethys
Nebrius thielensi	47.8	41.001	Outside_Tethys
Nebrius thielensi	50.5	47.801	Tethys
Nebrius thielensi	41	38.001	Outside_Tethys
Nebrius thielensi	56	47.801	Outside_Tethys
Nebrius thielensi	55.7	50	Outside_Tethys
Notoramphoscyllium woodwardi	42.5	41	Outside_Tethys
Notoramphoscyllium woodwardi	52.5	51	Outside_Tethys
Orecto gen. nov.1 standhardtae	66	61.601	Outside_Tethys
Orectoloboides angulatus	96.2	93.901	Outside_Tethys
Orectoloboides multistriatus	100.5	93.901	Tethys
Orectoloboides multistriatus	95.5	93.901	Tethys
Orectoloboides reyndersi	41	38.001	Tethys
Orectoloboides reyndersi	47.8	41.001	Tethys
Orectolobus gippslandicus	28.1	15.971	Outside_Tethys
Orectolobus gippslandicus	5.333	3.601	Outside_Tethys
Orectolobus ziegenhinei	47.8	41.001	Outside_Tethys
Palaeorhincodon daouii	59.2	56.001	Tethys
Palaeorhincodon dartevellei	56	47.801	Tethys
Palaeorhincodon dartevellei	56	47.801	Tethys
Palaeorhincodon dartevellei	56	47.801	Tethys
Palaeorhincodon dartevellei	56	47.801	Tethys
Palaeorhincodon dartevellei	56.78	55.861	Tethys
Palaeorhincodon wardi	56	47.801	Tethys
Palaeorhincodon wardi	56	47.801	Tethys
Palaeorhincodon wardi	56	47.801	Tethys
Palaeorhincodon wardi	47.8	41.001	Tethys
Palaeorhincodon wardi	47.8	41.001	Tethys
Palaeorhincodon wardi	47.8	41.001	Tethys
Palaeorhincodon wardi	47.8	41.001	Tethys
Palaeorhincodon wardi	50.5	47.801	Tethys
Palaeorhincodon wardi	47.8	38.001	Tethys
Palaeorhincodon wardi	55.7	50	Outside_Tethys
Paraginglymostoma bloti	72.1	66.001	Tethys
Pararhincodon crochardi	76.4	72.101	Tethys
Pararhincodon crochardi	76.4	72.101	Tethys
Pararhincodon crochardi	76.4	72.101	Tethys
Pararhincodon crochardi	83.6	80.601	Tethys
Pararhincodon crochardi	83.6	80.601	Tethys
Pararhincodon crochardi	83.6	80.601	Tethys
Pararhincodon crochardi	83.6	80.601	Tethys
Pararhincodon crochardi	85.8	83.601	Tethys
Pararhincodon crochardi	85.8	83.601	Tethys
Pararhincodon crochardi	86.3	83.601	Tethys
Pararhincodon crochardi	92.9	91.401	Tethys
Pararhincodon germaini	41	38.001	Tethys
Pararhincodon germaini	47.8	41.001	Tethys
Pararhincodon germaini	47.8	41.001	Tethys
Pararhincodon groessensi	66	61.601	Tethys
Pararhincodon groessensi	66	61.601	Tethys
Pararhincodon groessensi	66	61.601	Tethys
Pararhincodon groessensi	70.1	66.001	Tethys
Pararhincodon groessensi	70.1	66.001	Tethys
Pararhincodon lehmani	100.5	93.901	Tethys
Pararhincodon lehmani	100.5	96.201	Outside_Tethys
Pararhincodon ornatus	76.4	72.101	Tethys
Pararhincodon ornatus	76.4	72.101	Tethys
Pararhincodon ornatus	76.4	72.101	Tethys
Pararhincodon ornatus	76.4	72.101	Tethys
Pararhincodon ornatus	83.6	80.601	Tethys
Pararhincodon ornatus	83.6	80.601	Tethys
Pararhincodon ornatus	83.6	80.601	Tethys
Pararhincodon ornatus	83.6	80.601	Tethys
Pararhincodon ornatus	83.6	80.601	Tethys
Pararhincodon ornatus	85.8	83.601	Tethys
Pararhincodon ornatus	85.8	83.601	Tethys
Pararhincodon ornatus	85.8	83.601	Tethys
Pararhincodon ornatus	86.3	83.601	Tethys
Pararhincodon ornatus	92.9	91.401	Tethys
Pararhincodon ypresiensis	56	47.801	Tethys
Pararhincodon ypresiensis	56	47.801	Tethys
Pararhincodon ypresiensis	56	47.801	Tethys
Pararhincodon ypresiensis	56	47.801	Tethys
Plicatoscyllium antiquum	83.6	66.001	Outside_Tethys
Plicatoscyllium antiquum	70.1	66.001	Outside_Tethys
Plicatoscyllium antiquum	72.1	66.001	Outside_Tethys
Plicatoscyllium antiquum	72.1	66.001	Outside_Tethys
Plicatoscyllium derameei	70.1	66.001	Outside_Tethys
Plicatoscyllium derameei	72.1	66.001	Outside_Tethys
Plicatoscyllium derameei	72.1	66.001	Outside_Tethys
Plicatoscyllium derameei	72.1	66.001	Outside_Tethys
Plicatoscyllium derameei	72.1	66.001	Outside_Tethys
Plicatoscyllium derameei	72.1	70.101	Outside_Tethys
Plicatoscyllium gharbii	70.1	66.001	Tethys
Plicatoscyllium gharbii	70.1	66.001	Tethys
