time	diversity	m_div	M_div
0.0	10.0	10	10
0.1000566349192405	10.0	10	10
0.200113269838481	10.0	10	10
0.3001699047577215	10.0	10	10
0.400226539676962	10.0	10	10
0.5002831745962024	10.0	10	10
0.600339809515443	10.0	10	10
0.7003964444346835	10.0	10	10
0.800453079353924	10.0	10	10
0.9005097142731644	10.0	10	10
1.0005663491924048	10.0	10	10
1.1006229841116455	10.0	10	10
1.200679619030886	10.0	10	10
1.3007362539501264	10.0	10	10
1.400792888869367	10.0	10	10
1.5008495237886075	10.0	10	10
1.600906158707848	10.0	10	10
1.7009627936270884	10.0	10	10
1.8010194285463288	10.0	10	10
1.9010760634655695	10.0	10	10
2.0011326983848097	10.0	10	10
2.1011893333040503	10.0	10	10
2.201245968223291	10.0	10	10
2.301302603142531	10.0	10	10
2.401359238061772	10.0	10	10
2.5014158729810125	10.0	10	10
2.6014725079002528	10.0	10	10
2.7015291428194934	10.0	10	10
2.801585777738734	10.0	10	10
2.9016424126579743	10.0	10	10
3.001699047577215	10.0	10	10
3.101755682496455	10.0	10	10
3.201812317415696	10.0	10	10
3.3018689523349365	10.0	10	10
3.4019255872541767	10.0	10	10
3.5019822221734174	10.0	10	10
3.6020388570926576	10.0	10	10
3.7020954920118982	10.0	10	10
3.802152126931139	10.0	10	10
3.902208761850379	10.0	10	10
4.002265396769619	10.0	10	10
4.1023220316888604	10.0	10	10
4.202378666608101	10.0	10	10
4.302435301527341	10.0	10	10
4.402491936446582	10.0	10	10
4.502548571365822	10.0	10	10
4.602605206285062	10.0	10	10
4.7026618412043035	10.0	10	10
4.802718476123544	10.0	10	10
4.902775111042784	10.0	10	10
5.002831745962025	10.0	10	10
5.102888380881265	10.0	10	10
5.2029450158005055	10.0	10	10
5.303001650719747	10.0	10	10
5.403058285638987	10.0	10	10
5.503114920558227	10.0	10	10
5.603171555477468	10.0	10	10
5.703228190396708	10.0	10	10
5.803284825315949	10.0	10	10
5.903341460235189	10.0	10	10
6.00339809515443	10.0	10	10
6.10345473007367	10.0	10	10
6.20351136499291	10.0	10	10
6.303567999912151	10.0	10	10
6.403624634831392	10.0	10	10
6.503681269750632	10.0	10	10
6.603737904669873	10.0	10	10
6.703794539589113	10.0	10	10
6.803851174508353	10.0	10	10
6.9039078094275945	10.0	10	10
7.003964444346835	10.0	10	10
7.104021079266075	10.0	10	10
7.204077714185315	10.0	10	10
7.304134349104556	10.0	10	10
7.4041909840237965	10.0	10	10
7.504247618943037	10.0	10	10
7.604304253862278	10.0	10	10
7.704360888781518	10.0	10	10
7.804417523700758	10.0	10	10
7.904474158619999	10.0	10	10
8.004530793539239	10.0	10	10
8.10458742845848	10.0	10	10
8.204644063377721	10.0	10	10
8.30470069829696	10.0	10	10
8.404757333216201	10.0	10	10
8.504813968135442	10.0	10	10
8.604870603054682	10.0	10	10
8.704927237973923	10.0	10	10
8.804983872893164	10.0	10	10
8.905040507812403	10.0	10	10
9.005097142731644	10.0	10	10
9.105153777650886	10.0	10	10
9.205210412570125	10.0	10	10
9.305267047489366	10.0	10	10
9.405323682408607	10.0	10	10
9.505380317327846	10.0	10	10
9.605436952247087	10.0	10	10
9.705493587166329	10.0	10	10
9.805550222085568	10.0	10	10
9.905606857004809	10.0	10	10
10.00566349192405	10.0	10	10
10.10572012684329	10.0	10	10
10.20577676176253	10.0	10	10
10.305833396681772	10.0	10	10
10.405890031601011	10.0	10	10
10.505946666520252	10.0	10	10
10.606003301439493	10.0	10	10
10.706059936358733	10.0	10	10
10.806116571277974	10.0	10	10
10.906173206197215	10.0	10	10
11.006229841116454	10.0	10	10
11.106286476035695	10.0	10	10
11.206343110954936	10.0	10	10
11.306399745874176	10.0	10	10
11.406456380793417	10.0	10	10
11.506513015712656	10.0	10	10
11.606569650631897	10.0	10	10
11.706626285551138	10.0	10	10
11.806682920470378	10.0	10	10
11.906739555389619	10.0	10	10
12.00679619030886	10.0	10	10
12.1068528252281	10.0	10	10
12.20690946014734	10.0	10	10
12.306966095066581	10.0	10	10
12.40702272998582	10.0	10	10
12.507079364905062	10.0	10	10
12.607135999824303	10.0	10	10
12.707192634743542	10.0	10	10
12.807249269662783	10.0	10	10
12.907305904582024	10.0	10	10
13.007362539501264	10.0	10	10
13.107419174420505	10.0	10	10
13.207475809339746	10.0	10	10
13.307532444258985	10.0	10	10
13.407589079178226	10.0	10	10
13.507645714097468	10.0	10	10
13.607702349016707	10.0	10	10
13.707758983935948	10.0	10	10
13.807815618855189	10.0	10	10
13.907872253774428	10.0	10	10
14.00792888869367	10.0	10	10
14.10798552361291	10.0	10	10
14.20804215853215	10.0	10	10
14.308098793451391	10.0	10	10
14.40815542837063	10.0	10	10
14.508212063289871	10.0	10	10
14.608268698209113	10.0	10	10
14.708325333128352	10.0	10	10
14.808381968047593	10.0	10	10
14.908438602966834	10.0	10	10
15.008495237886073	10.0	10	10
15.108551872805315	10.0	10	10
15.208608507724556	10.0	10	10
15.308665142643795	10.0	10	10
15.408721777563036	10.0	10	10
15.508778412482277	10.0	10	10
15.608835047401517	10.0	10	10
15.708891682320758	10.0	10	10
15.808948317239999	10.0	10	10
15.909004952159238	10.0	10	10
16.009061587078477	10.0	10	10
16.10911822199772	10.0	10	10
16.20917485691696	10.0	10	10
16.3092314918362	10.0	10	10
16.409288126755442	10.0	10	10
16.509344761674683	10.0	10	10
16.60940139659392	10.0	10	10
16.70945803151316	10.0	10	10
16.809514666432403	10.0	10	10
16.909571301351644	10.0	10	10
17.009627936270885	10.0	10	10
17.109684571190126	10.0	10	10
17.209741206109364	10.0	10	10
17.309797841028605	10.0	10	10
17.409854475947846	10.0	10	10
17.509911110867087	10.0	10	10
17.609967745786328	10.0	10	10
17.71002438070557	10.0	10	10
17.810081015624807	10.0	10	10
17.910137650544048	11.0	11	11
18.01019428546329	11.0	11	11
18.11025092038253	11.0	11	11
18.21030755530177	11.0	11	11
18.310364190221012	11.0	11	11
18.41042082514025	11.0	11	11
18.51047746005949	11.0	11	11
18.610534094978732	11.0	11	11
18.710590729897973	11.0	11	11
18.810647364817214	11.0	11	11
18.910703999736455	11.0	11	11
19.010760634655693	11.0	11	11
19.110817269574934	11.0	11	11
19.210873904494175	11.0	11	11
19.310930539413416	11.0	11	11
19.410987174332657	11.0	11	11
19.511043809251895	11.0	11	11
19.611100444171136	11.0	11	11
19.711157079090377	11.0	11	11
19.811213714009618	11.0	11	11
19.91127034892886	11.0	11	11
20.0113269838481	11.0	11	11
20.111383618767338	11.0	11	11
20.21144025368658	11.0	11	11
20.31149688860582	11.0	11	11
20.41155352352506	11.0	11	11
20.511610158444302	11.0	11	11
20.611666793363543	11.0	11	11
20.71172342828278	11.0	11	11
20.811780063202022	11.0	11	11
20.911836698121263	11.0	11	11
21.011893333040504	11.0	11	11
21.111949967959745	11.0	11	11
21.212006602878986	11.0	11	11
21.312063237798224	11.0	11	11
21.412119872717465	11.0	11	11
21.512176507636706	11.0	11	11
21.612233142555947	11.0	11	11
21.71228977747519	11.0	11	11
21.81234641239443	11.0	11	11
21.912403047313667	11.0	11	11
22.012459682232908	11.0	11	11
22.11251631715215	11.0	11	11
22.21257295207139	11.0	11	11
22.31262958699063	11.0	11	11
22.412686221909873	11.0	11	11
22.51274285682911	11.0	11	11
22.61279949174835	11.0	11	11
22.712856126667592	11.0	11	11
22.812912761586833	11.0	11	11
22.912969396506075	11.0	11	11
23.013026031425312	11.0	11	11
23.113082666344553	11.0	11	11
23.213139301263794	11.0	11	11
23.313195936183035	11.0	11	11
23.413252571102277	11.0	11	11
23.513309206021518	11.0	11	11
23.613365840940755	11.0	11	11
23.713422475859996	11.0	11	11
23.813479110779237	11.0	11	11
23.91353574569848	11.0	11	11
24.01359238061772	11.0	11	11
24.11364901553696	11.0	11	11
24.2137056504562	11.0	11	11
24.31376228537544	11.0	11	11
24.41381892029468	11.0	11	11
24.51387555521392	11.0	11	11
24.613932190133163	11.0	11	11
24.713988825052404	11.0	11	11
24.81404545997164	11.0	11	11
24.914102094890882	11.0	11	11
25.014158729810124	11.0	11	11
25.114215364729365	11.0	11	11
25.214271999648606	11.0	11	11
25.314328634567847	11.0	11	11
25.414385269487084	11.0	11	11
25.514441904406326	11.0	11	11
25.614498539325567	11.0	11	11
25.714555174244808	11.0	11	11
25.81461180916405	11.0	11	11
25.914668444083286	11.0	11	11
26.014725079002528	11.0	11	11
26.11478171392177	11.0	11	11
26.21483834884101	11.0	11	11
26.31489498376025	11.0	11	11
26.414951618679492	11.0	11	11
26.51500825359873	11.0	11	11
26.61506488851797	11.0	11	11
26.71512152343721	11.0	11	11
26.815178158356453	11.0	11	11
26.915234793275694	11.0	11	11
27.015291428194935	11.0	11	11
27.115348063114173	11.0	11	11
27.215404698033414	11.0	11	11
27.315461332952655	11.0	11	11
27.415517967871896	11.0	11	11
27.515574602791137	11.0	11	11
27.615631237710378	11.0	11	11
27.715687872629616	11.0	11	11
27.815744507548857	11.0	11	11
27.915801142468098	11.0	11	11
28.01585777738734	11.0	11	11
28.11591441230658	11.0	11	11
28.21597104722582	11.0	11	11
28.31602768214506	11.0	11	11
28.4160843170643	11.0	11	11
28.51614095198354	11.0	11	11
28.616197586902782	11.0	11	11
28.716254221822023	11.0	11	11
28.81631085674126	11.0	11	11
28.916367491660502	11.0	11	11
29.016424126579743	11.0	11	11
29.116480761498984	11.0	11	11
29.216537396418225	10.0	10	10
29.316594031337466	10.0	10	10
29.416650666256704	10.0	10	10
29.516707301175945	10.0	10	10
29.616763936095186	10.0	10	10
29.716820571014427	10.0	10	10
29.816877205933668	10.0	10	10
29.91693384085291	10.0	10	10
30.016990475772147	10.0	10	10
30.117047110691388	11.0	11	11
30.21710374561063	11.0	11	11
30.31716038052987	11.0	11	11
30.41721701544911	11.0	11	11
30.517273650368352	11.0	11	11
30.61733028528759	11.0	11	11
30.71738692020683	11.0	11	11
30.817443555126072	11.0	11	11
30.917500190045313	11.0	11	11
31.017556824964554	11.0	11	11
31.117613459883795	11.0	11	11
31.217670094803033	11.0	11	11
31.317726729722274	11.0	11	11
31.417783364641515	11.0	11	11
31.517839999560756	11.0	11	11
31.617896634479997	11.0	11	11
31.71795326939924	11.0	11	11
31.818009904318476	11.0	11	11
31.918066539237717	11.0	11	11
32.018123174156955	11.0	11	11
32.118179809076196	11.0	11	11
32.21823644399544	11.0	11	11
32.31829307891468	11.0	11	11
32.41834971383392	11.0	11	11
32.51840634875316	11.0	11	11
32.6184629836724	11.0	11	11
