time	diversity	m_div	M_div
0.0	10.0	10	10
0.100066900671275	10.0	10	10
0.20013380134255	10.0	10	10
0.300200702013825	10.0	10	10
0.4002676026851	10.0	10	10
0.500334503356375	10.0	10	10
0.60040140402765	10.0	10	10
0.700468304698925	10.0	10	10
0.8005352053702	10.0	10	10
0.900602106041475	10.0	10	10
1.00066900671275	10.0	10	10
1.100735907384025	10.0	10	10
1.2008028080553	10.0	10	10
1.3008697087265748	10.0	10	10
1.40093660939785	10.0	10	10
1.501003510069125	10.0	10	10
1.6010704107404	10.0	10	10
1.7011373114116748	10.0	10	10
1.80120421208295	10.0	10	10
1.901271112754225	10.0	10	10
2.0013380134255	10.0	10	10
2.1014049140967748	10.0	10	10
2.20147181476805	10.0	10	10
2.301538715439325	10.0	10	10
2.4016056161106	10.0	10	10
2.5016725167818747	10.0	10	10
2.6017394174531496	10.0	10	10
2.701806318124425	10.0	10	10
2.8018732187957	10.0	10	10
2.9019401194669747	10.0	10	10
3.00200702013825	10.0	10	10
3.102073920809525	10.0	10	10
3.2021408214808	10.0	10	10
3.3022077221520747	10.0	10	10
3.4022746228233496	10.0	10	10
3.502341523494625	10.0	10	10
3.6024084241659	10.0	10	10
3.7024753248371747	10.0	10	10
3.80254222550845	10.0	10	10
3.902609126179725	10.0	10	10
4.002676026851	10.0	10	10
4.102742927522275	10.0	10	10
4.2028098281935495	10.0	10	10
4.302876728864825	10.0	10	10
4.4029436295361	10.0	10	10
4.503010530207375	10.0	10	10
4.60307743087865	10.0	10	10
4.703144331549924	10.0	10	10
4.8032112322212	10.0	10	10
4.903278132892475	10.0	10	10
5.0033450335637495	10.0	10	10
5.103411934235025	10.0	10	10
5.203478834906299	10.0	10	10
5.303545735577575	10.0	10	10
5.40361263624885	10.0	10	10
5.503679536920124	10.0	10	10
5.6037464375914	10.0	10	10
5.703813338262675	10.0	10	10
5.803880238933949	10.0	10	10
5.903947139605225	10.0	10	10
6.0040140402765	10.0	10	10
6.1040809409477745	10.0	10	10
6.20414784161905	10.0	10	10
6.304214742290324	10.0	10	10
6.4042816429616	10.0	10	10
6.504348543632875	10.0	10	10
6.604415444304149	10.0	10	10
6.704482344975425	10.0	10	10
6.804549245646699	10.0	10	10
6.9046161463179745	10.0	10	10
7.00468304698925	10.0	10	10
7.104749947660524	10.0	10	10
7.2048168483318	10.0	10	10
7.304883749003075	10.0	10	10
7.404950649674349	10.0	10	10
7.505017550345625	10.0	10	10
7.6050844510169	10.0	10	10
7.705151351688174	10.0	10	10
7.80521825235945	10.0	10	10
7.905285153030724	10.0	10	10
8.005352053702	10.0	10	10
8.105418954373274	10.0	10	10
8.20548585504455	10.0	10	10
8.305552755715825	10.0	10	10
8.405619656387099	10.0	10	10
8.505686557058375	10.0	10	10
8.60575345772965	10.0	10	10
8.705820358400924	10.0	10	10
8.8058872590722	10.0	10	10
8.905954159743475	10.0	10	10
9.00602106041475	10.0	10	10
9.106087961086024	10.0	10	10
9.2061548617573	10.0	10	10
9.306221762428574	10.0	10	10
9.406288663099849	10.0	10	10
9.506355563771125	10.0	10	10
9.6064224644424	10.0	10	10
9.706489365113674	10.0	10	10
9.80655626578495	10.0	10	10
9.906623166456225	10.0	10	10
10.006690067127499	10.0	10	10
10.106756967798775	10.0	10	10
10.20682386847005	10.0	10	10
10.306890769141324	10.0	10	10
10.406957669812599	10.0	10	10
10.507024570483875	10.0	10	10
10.60709147115515	10.0	10	10
10.707158371826424	10.0	10	10
10.8072252724977	10.0	10	10
10.907292173168974	10.0	10	10
11.007359073840249	10.0	10	10
11.107425974511525	10.0	10	10
11.2074928751828	10.0	10	10
11.307559775854074	10.0	10	10
11.40762667652535	10.0	10	10
11.507693577196624	10.0	10	10
11.607760477867899	10.0	10	10
11.707827378539175	10.0	10	10
11.80789427921045	10.0	10	10
11.907961179881724	10.0	10	10
