time	diversity	m_div	M_div
0.0	38.0	38	38
0.10008520573785645	38.0	38	38
0.2001704114757129	38.0	38	38
0.30025561721356936	38.0	38	38
0.4003408229514258	38.0	38	38
0.5004260286892823	37.0	37	37
0.6005112344271387	37.0	37	37
0.7005964401649951	37.0	37	37
0.8006816459028516	37.0	37	37
0.9007668516407081	37.0	37	37
1.0008520573785646	37.0	37	37
1.100937263116421	37.0	37	37
1.2010224688542774	37.0	37	37
1.301107674592134	35.0	35	35
1.4011928803299902	35.0	35	35
1.5012780860678467	35.0	35	35
1.6013632918057032	35.0	35	35
1.7014484975435598	35.0	35	35
1.8015337032814163	35.0	35	35
1.9016189090192726	33.0	33	33
2.0017041147571293	33.0	33	33
2.1017893204949853	31.0	31	31
2.201874526232842	31.0	31	31
2.3019597319706984	31.0	31	31
2.402044937708555	31.0	31	31
2.5021301434464114	31.0	31	31
2.602215349184268	31.0	31	31
2.7023005549221244	31.0	31	31
2.8023857606599805	31.0	31	31
2.902470966397837	32.0	32	32
3.0025561721356935	32.0	32	32
3.10264137787355	32.0	32	32
3.2027265836114065	30.0	30	30
3.302811789349263	27.0	27	27
3.4028969950871195	27.0	27	27
3.502982200824976	28.0	28	28
3.6030674065628325	28.0	28	28
3.7031526123006886	28.0	28	28
3.803237818038545	28.0	28	28
3.9033230237764016	28.0	28	28
4.003408229514259	28.0	28	28
4.103493435252115	28.0	28	28
4.203578640989971	28.0	28	28
4.303663846727828	26.0	26	26
4.403749052465684	26.0	26	26
4.503834258203541	26.0	26	26
4.603919463941397	25.0	25	25
4.704004669679254	25.0	25	25
4.80408987541711	24.0	24	24
4.904175081154966	24.0	24	24
5.004260286892823	20.0	20	20
5.104345492630679	20.0	20	20
5.204430698368536	18.0	18	18
5.304515904106392	18.0	18	18
5.404601109844249	18.0	18	18
5.504686315582105	18.0	18	18
5.604771521319961	18.0	18	18
5.704856727057818	18.0	18	18
5.804941932795674	17.0	17	17
5.905027138533531	17.0	17	17
6.005112344271387	17.0	17	17
6.105197550009244	17.0	17	17
6.2052827557471	17.0	17	17
6.305367961484957	17.0	17	17
6.405453167222813	17.0	17	17
6.505538372960669	17.0	17	17
6.605623578698526	16.0	16	16
6.705708784436382	14.0	14	14
6.805793990174239	14.0	14	14
6.905879195912095	3.0	3	3
7.005964401649952	3.0	3	3
7.106049607387808	3.0	3	3
7.206134813125665	3.0	3	3
7.306220018863521	3.0	3	3
7.406305224601377	3.0	3	3
7.506390430339234	3.0	3	3
7.60647563607709	3.0	3	3
7.706560841814947	3.0	3	3
7.806646047552803	3.0	3	3
7.90673125329066	3.0	3	3
8.006816459028517	3.0	3	3
8.106901664766372	3.0	3	3
8.20698687050423	3.0	3	3
8.307072076242086	3.0	3	3
8.407157281979941	3.0	3	3
8.507242487717798	3.0	3	3
8.607327693455655	3.0	3	3
8.707412899193512	3.0	3	3
8.807498104931367	3.0	3	3
8.907583310669224	3.0	3	3
9.007668516407081	3.0	3	3
9.107753722144937	3.0	3	3
9.207838927882793	3.0	3	3
9.30792413362065	3.0	3	3
9.408009339358507	3.0	3	3
9.508094545096363	3.0	3	3
9.60817975083422	3.0	3	3
9.708264956572076	3.0	3	3
9.808350162309932	3.0	3	3
9.908435368047789	3.0	3	3
10.008520573785646	3.0	3	3
10.108605779523502	3.0	3	3
10.208690985261358	3.0	3	3
10.308776190999215	3.0	3	3
10.408861396737072	3.0	3	3
10.508946602474927	3.0	3	3
10.609031808212784	3.0	3	3
10.70911701395064	3.0	3	3
10.809202219688498	3.0	3	3
10.909287425426353	3.0	3	3
11.00937263116421	3.0	3	3
11.109457836902067	3.0	3	3
11.209543042639922	3.0	3	3
11.309628248377779	3.0	3	3
11.409713454115636	3.0	3	3
11.509798659853493	3.0	3	3
11.609883865591348	3.0	3	3
11.709969071329205	3.0	3	3
11.810054277067062	3.0	3	3
11.910139482804919	3.0	3	3
12.010224688542774	3.0	3	3
12.11030989428063	3.0	3	3
12.210395100018488	3.0	3	3
12.310480305756343	3.0	3	3
