it	posterior	prior	likelihood	d12_t145.0	d21_t145.0	d12_t100.5	d21_t100.5	d12_t66.0	d21_t66.0	d12_t33.9	d21_t33.9	d12_t0.0	d21_t0.0	e1_t145.0	e2_t145.0	e1_t100.5	e2_t100.5	e1_t66.0	e2_t66.0	e1_t33.9	e2_t33.9	e1_t0.0	e2_t0.0	q1_t145.0	q2_t145.0	q1_t100.5	q2_t100.5	q1_t66.0	q2_t66.0	q1_t33.9	q2_t33.9	q1_t0.0	q2_t0.0	alpha	k1_d	k1_e	k1_s	hp_rate	beta
0	-1236.8521887369072	-1.4155002795666491	-1235.4366884573406	0.08810161240622141	0.12498583107261434	0.10111414782971281	0.10409518049621885	0.14594343210617522	0.13039608914986467	0.0532323066623574	0.1209387251231295	0.09650014815635061	0.14475489413950998	0.01325895859509048	0.02714475314655146	0.014360750560762732	0.035351470424476714	0.04211852949494952	0.03787201984480714	0.04064845524303082	0.023698164793740793	0.04383405932110711	0.0271507509999777	1.3862943611198906	1.3862943611198906	1.3862943611198906	1.3862943611198906	1.3862943611198906	1.3862943611198906	1.3862943611198906	1.3862943611198906	1.3862943611198906	1.3862943611198906	10.0	0.0	0.0	0.0	1.0	1.0
100000	-840.5037021980057	-17.561921462780944	-822.9417807352248	0.41886334231750133	0.001761942132771334	4.002615708542937	2.4346034237767835	0.006482930144819816	0.0059196844422921184	0.6964785720897297	0.6688617305515483	0.027926211488912327	0.23200987470060322	0.04885595526776373	2.50575276518561	3.6543938154357916	0.34884253162039236	0.1122189566891676	0.14203042170638472	0.22247925873550378	1.2816092563238575	0.06240254526543724	0.6878125363631404	0.0017510668248772586	3.7102513653172666	0.021906118476418716	0.46618067216273107	0.4664829991396105	0.6792528864321353	0.21275072197204015	4.931520191636731	0.379413750994441	1.286815004136261	2.0683798269293217	0.0	0.0	0.0	1.0	1.0
200000	-825.4126466639348	-18.412056801916037	-807.0005898620187	0.7604628157816428	1.3910135061952447	0.4515709814917492	1.9500228437335048	0.0009187653107807203	0.006129521977937505	0.6835568294724321	3.4699523591825616	0.05145521539103858	0.5757075290738365	0.10636690156687989	4.1259401232335895	0.17968324239997377	1.034833623224284	0.1323054600639447	0.19268568158001698	0.1980699517946759	2.311483776654682	0.04136434867323305	0.7485333251140297	0.02056777670069397	4.750988469878768	0.006697711696283437	2.3832447250531614	0.46734015737910506	1.12484288647516	0.18745046454076925	5.847808256830931	0.29790023294981666	0.8178651735284977	3.3411282056546985	0.0	0.0	0.0	1.0	1.0
300000	-823.0827128404966	-14.88556532664425	-808.1971475138523	0.6080820081191987	2.035716988279401	0.3321221077139597	1.0489806809988222	0.015247862303741592	0.00101814541063805	0.9124536202274856	1.4483833288881907	0.03634521300349721	0.6544431847136996	0.07797158214382569	3.074605346896158	0.09313495590395669	1.323130535428425	0.10244261719775272	0.16779339915819683	0.17449892996635985	1.8360303957378163	0.055982364478913534	0.8871820600742116	0.004503295224435594	5.275144118485979	0.015491203838668997	1.73305273890176	0.30360289711974614	0.7708919600240489	0.26755073991977707	7.259390628131651	0.15924024246123902	1.2626161571427545	2.1921104230072843	0.0	0.0	0.0	1.0	1.0
400000	-836.7436131545095	-19.467273477484547	-817.2763396770249	0.7067789030055427	0.2646278419685859	2.9155825122189167	0.8608875409603719	0.00588309164796464	0.006758785086248129	0.7018437793297552	0.19324612363035396	0.06952718547258567	3.503477962052259	0.07005564389886554	2.884083117872285	0.1807297846471096	3.4451914200439386	0.12639806353730607	0.1651672205459793	0.15634558511302463	2.058521050558215	0.10733180035935339	1.044836065535885	0.03433752612612606	3.238476563751649	0.027591174474150718	3.2859059590153086	0.4186265159076572	0.8842283452317349	0.19653303686228762	6.923844077302781	0.2479548709973735	0.3827940580203566	1.8969962743260347	0.0	0.0	0.0	1.0	1.0
500000	-837.2828091068557	-22.613663093193548	-814.6691460136622	0.39327335394492224	0.5035527969413139	0.5278659030368483	2.445295574552547	0.010573373623288002	0.022074307167562493	1.6811669553808972	4.47195748979504	0.04026255466674935	1.7683888794506104	0.15890011357491	2.9743860383081233	0.07575424031649866	1.6193407424827861	0.14512888590802914	0.1753303461338487	0.1642926320214962	4.940912486820892	0.02376643928322942	0.47143997978395474	0.03019538353741091	2.926727131772529	0.0006353054589387871	2.773729608293547	0.4354843227199864	0.622483103625253	0.2292107110206827	4.153028284744485	0.13448483602296502	0.5278323452763387	2201.659472819283	0.0	0.0	0.0	1.0	1.0
600000	-839.1890421891773	-18.655103584743827	-820.5339386044334	0.6797650790393107	0.04817640506068937	1.1059898098319665	0.07916740028198042	0.015037006176033338	0.009697293636470787	0.9304831026636043	0.5804909986670137	0.06840470066813728	1.1930702278166174	0.05738165331576898	4.78338384384958	0.04137633989607759	5.420748327570861	0.2168635137038699	0.14229699158565914	0.11506282660810795	1.7214804532145613	0.07495117830592955	1.371276432851587	0.017116110978256095	3.0713136868428657	0.01997091568767223	3.9342815720379303	0.3815495375899814	0.7333302629575442	0.21599078639016978	2.869180558059858	0.10638932438919457	0.9933615902644246	1807336.5927481859	0.0	0.0	0.0	1.0	1.0
700000	-836.8263518591519	-22.8524107425698	-813.9739411165822	1.142772275289801	1.7826163313494283	0.49211015301169764	2.267859279967679	0.00898755760338165	0.00609731245405653	0.7347186197220721	4.353545924964469	0.04693062154363292	1.887922028478629	0.14850893436875712	4.272482132438034	0.08001847025095983	2.681128418005104	0.11732771933217763	0.18097732403916683	0.21142226108267037	2.099620223278789	0.034848110079929356	0.30251704530936246	0.0026331524547229448	4.137086396870898	0.027629703709875	3.064677599423019	0.5678123895423233	0.6449686875571939	0.24160772713326692	6.224164873301831	0.141203434514796	0.6140169272169497	151347.58132857736	0.0	0.0	0.0	1.0	1.0
800000	-842.378213057344	-21.241417231033367	-821.1367958263107	0.7276477994773901	0.915112221629227	0.22636110493157666	1.4329452573169246	0.00896933382556003	0.04124370969765639	1.1729768630435509	1.4686552874322132	0.8426927099891282	1.0949051887290253	0.09978303683476877	3.994488893622733	0.03864257102890824	1.1530488896060678	0.18050744816458558	0.16314147340343596	0.18221502159232258	2.907086273700567	0.017203349267062518	4.5737907977406635	0.007381503038830862	2.941508198154009	0.0016643646624685685	3.1193722626665212	0.43983256338350213	0.6696843170055299	0.25046767335663894	2.492668502469067	0.1340805897765442	0.4366265674017373	560742928.8539658	0.0	0.0	0.0	1.0	1.0
900000	-831.2895167858279	-14.017724187871314	-817.2717925979566	0.9923356466141621	0.8725677450599896	0.6233447447102061	0.5445467335717901	0.0015647750457274997	0.015604995666997074	0.8078193229144222	2.1028237432215025	0.07546407725466774	0.7071776286546286	0.14308531951306036	2.510270562236214	0.1607577270164421	1.504632634286571	0.14144730112719422	0.18039455751015177	0.19413372557741737	1.6557879781763003	0.02929415556372772	0.7546708141501429	0.006754589693551279	2.736260744829578	0.034604030060579966	4.472099136975968	0.3607994798757906	0.5405878165012672	0.17120810083837582	3.027147764090778	0.18568188107966538	0.3740824542961974	690579488037.8793	0.0	0.0	0.0	1.0	1.0
