it	posterior	prior	likelihood	d12_t145.0	d21_t145.0	d12_t100.5	d21_t100.5	d12_t66.0	d21_t66.0	d12_t33.9	d21_t33.9	d12_t0.0	d21_t0.0	e1_t145.0	e2_t145.0	e1_t100.5	e2_t100.5	e1_t66.0	e2_t66.0	e1_t33.9	e2_t33.9	e1_t0.0	e2_t0.0	q1_t145.0	q2_t145.0	q1_t100.5	q2_t100.5	q1_t66.0	q2_t66.0	q1_t33.9	q2_t33.9	q1_t0.0	q2_t0.0	alpha	k1_d	k1_e	k1_s	hp_rate	beta
0	-1238.1361081277644	-1.1551927563817594	-1236.9809153713827	0.0532323066623574	0.1209387251231295	0.09650014815635061	0.14475489413950998	0.07214327343234883	0.07670720196843658	0.058147396487726204	0.09286188286637864	0.060901876401906835	0.11337867606119179	0.04064845524303082	0.023698164793740793	0.04383405932110711	0.0271507509999777	0.042960394816492754	0.03505984634497175	0.015736921946809798	0.013135475994197919	0.010733305716520291	0.012668999905574258	1.3862943611198906	1.3862943611198906	1.3862943611198906	1.3862943611198906	1.3862943611198906	1.3862943611198906	1.3862943611198906	1.3862943611198906	1.3862943611198906	1.3862943611198906	10.0	0.0	0.0	0.0	1.0	1.0
100000	-853.2731607073499	-15.33029212020817	-837.9428685871418	0.3242779292715692	0.005505509905904681	4.128720782161731	2.0649911438411177	0.007764125447165846	0.012618258268290616	0.44022875129403793	0.4953485519606209	0.04500922253530181	0.26697958143109013	0.05619842777440306	2.0651843525018445	3.127910939173885	0.46525831390189676	0.09315795017839912	0.16065343281547873	0.2674433664485891	0.4643901050776152	0.07155000627918293	0.7671013699400475	0.01321714977566883	3.4180535500279587	0.014987543500265398	0.7645200628136799	0.3403434374805034	0.7236312913795797	0.23698309368759252	1.13236075378058	0.43500630127081585	1.5355613875488858	2.0624043781128583	0.0	0.0	0.0	1.0	1.0
200000	-834.3650265880597	-15.85399187530794	-818.5110347127517	0.6056616550693537	1.6374306115303046	0.6471078416584473	1.6068184111185821	0.005024847126626375	0.011482682597938327	0.48696191695808794	3.4204940858224924	0.035856953246726754	0.5631195308542323	0.12193065949749979	3.1813390947001783	0.2297357439033436	0.7002777633615762	0.11004444908047388	0.22156212286963173	0.18823186366322528	1.628043402101605	0.05877523074111887	0.39409300940649544	0.0004997686080260296	5.721086243811898	0.004636793002570241	2.1774862654099074	0.3602250154943346	1.3800744810212895	0.21954668117744505	6.826051829929687	0.30615262935896637	0.5052074412904781	3.3645773064583104	0.0	0.0	0.0	1.0	1.0
300000	-836.347519685602	-13.329920775496104	-823.0175989101059	0.4425297731779635	2.0459977851123363	0.44802477232534843	0.791117729316656	0.03792845622318188	0.0023323838433726507	0.7662124271386751	1.4115567412814933	0.05066021311459254	0.6885874778674562	0.09193963556381905	2.684707943407837	0.10458596159211159	1.1905247384447963	0.0843884299415168	0.23301821486303267	0.2014760815317311	1.1632596527571368	0.07147652479672145	0.819595833196327	0.004616959461405796	5.834656832145568	0.01973992780873983	1.7436895198704092	0.23671518184055	1.0344796058141597	0.23230512998570058	2.4170996705889696	0.2159304146661576	1.0343750692936793	2.3521142164869024	0.0	0.0	0.0	1.0	1.0
400000	-847.2476877993004	-17.632604483316015	-829.6150833159844	0.7173919510575606	0.19801469635780738	3.4557177361642526	0.8895606851446782	0.012527449596371129	0.012107338434208399	0.49580488543784706	0.21703111585912202	0.08562648927618158	3.0807415486546232	0.08694272624599031	2.714556397679947	0.20781745401962168	3.129822043698001	0.12481320817969911	0.19828923583960276	0.15558519065063692	1.051349376599786	0.1490414546498894	0.649863499770187	0.03762258658178327	2.4640086278374023	0.027556081057159253	4.642369439113423	0.38115971129470066	1.1042240579183773	0.2154393273238935	1.831855736630149	0.24003553177228468	0.2696763851257664	2.4284224655763427	0.0	0.0	0.0	1.0	1.0
500000	-847.5442508407335	-19.158642695375384	-828.3856081453581	0.26276740015754135	0.5437193488264452	0.7043975164845364	2.466152565293672	0.03142551724109765	0.038662667473566226	1.1865612830084862	3.9410907227295437	0.06535635880258513	1.7670639952638054	0.1990224558101215	2.222276073340142	0.09584584883652371	1.4614435592626098	0.12458387169891216	0.23521351492221595	0.16103725964347626	3.1833008188119747	0.04022594206233024	0.42849597570579634	0.027920048252799107	2.90968161913918	0.0014101902902751385	3.0901151215894527	0.35448980020957	0.7515961026245533	0.2069802020997324	3.004381406744773	0.11988847755634646	0.35342256591704785	2095.865550804868	0.0	0.0	0.0	1.0	1.0
600000	-843.754343926899	-15.81730613317711	-827.9370377937219	0.4663018843441635	0.028918004323271407	1.3209899216767507	0.038727596460036366	0.022120382052211847	0.012488055525839535	0.6448707205523869	0.5771523435848928	0.08351009828768478	1.3600707714740554	0.08169303013389262	3.3063965792673002	0.0375151490494887	4.856734882671098	0.18854425214868775	0.18480411013741274	0.11613932746125644	1.4079941999209562	0.0905035445201441	0.9918312795855785	0.0046105109672841356	4.574771864313873	0.022535603261585945	4.10810064559902	0.3118098820408359	0.9056197837638762	0.23067191525789016	2.4618170483622945	0.11950558168855832	0.8153836728035662	2210805.6270565023	0.0	0.0	0.0	1.0	1.0
700000	-846.9539144124674	-20.726256466442653	-826.2276579460247	0.9192519385396322	1.8042209382006011	0.6458284084615539	1.9729857121950851	0.01604189496563315	0.008096537743047355	0.469639056984351	4.652208149911663	0.05715108724577843	1.9568744360854184	0.19253392512413597	3.271603753950388	0.09713491326041784	2.5590322304788975	0.08877064100712544	0.23709678688462085	0.16860284652770152	1.319949949761827	0.04661982788012269	0.24261343123465245	0.001266874382800481	3.7369633153295374	0.02670205977768422	3.617039387039294	0.4629427888003207	0.7753130490857122	0.2120660024408412	5.746790261150556	0.18364987383495596	0.6175867011812148	178404.58485678773	0.0	0.0	0.0	1.0	1.0
800000	-850.9628799160296	-17.84507510894843	-833.1178048070811	0.4929602670756446	0.7607877606899602	0.3285992390881321	0.9635976996537654	0.014850353583198602	0.05337413352834919	0.929007850519141	1.1979253843257	1.079510868523914	1.1488813688478694	0.14246474326300776	2.9334625725730814	0.03168280739205822	1.139368991319216	0.1484621319564459	0.20068106811287054	0.18179599753271006	1.7371221516518904	0.019072512307330668	4.3414672070041425	0.007380133059535824	2.9927415397203943	6.136340584811529e-05	3.0709611060249102	0.37072716911046366	0.8216207235588695	0.2430711502335374	1.6228092847530249	0.11637457777348217	0.4099804194608902	1156819478.2839262	0.0	0.0	0.0	1.0	1.0
900000	-840.7773667599384	-12.833387832806666	-827.9439789271318	0.9730057459654192	0.5210417916608099	0.8773181598036883	0.5099576199435146	0.007961562860360495	0.021542821150253372	0.6429626484054026	1.9415491460055063	0.15023666475393402	0.7957068410201641	0.17130332148536745	1.8603200821253996	0.19020675752221736	1.4353072333072625	0.12456494627343662	0.22821698345961203	0.18983864408324927	1.3761313446846541	0.04247803961158353	0.7737374786848321	0.0013150070639885983	1.9969840135628438	0.03848637509599791	4.481140458380688	0.3116169852590084	0.7274834445988442	0.1922467803643531	2.9410064763462547	0.22971432340244444	0.404717969911076	2029736031893.1816	0.0	0.0	0.0	1.0	1.0
