Latitude	Longitude
-28.38	153.67
-27.420881	153.529285
-28.103738	153.478732
-28.195782	153.578224
-32.44254	152.537606
-33.799314	151.296877
-34.064496	151.156376
-32.714009	152.151324
-34.060027	151.159373
18.647569	72.890222
12.825283	74.975601
19.296236	72.970147
18.881035	72.878829
1.472403	103.765814
1.539622	103.643036
1.459085	103.672647
5.810404	102.622313
2.288945	104.109146
12.480668	99.954834
1.479144	103.690151
1.594013	103.622943
1.572144	103.649551
5.850323	116.086375
5.970824	116.142114
5.815398	118.095463
5.848396	116.010175
5.992027	116.055422
7.76257	98.349689
7.897447	98.341981
7.528595	99.295481
12.676071	101.422929
12.76432	101.201532
-14.649574	145.449674
-15.570367	145.756079
-18.665611	147.082872
-20.06985	148.932477
-14.704968	145.51284
20.472069	-86.984883
19.23605	-81.324237
16.118903	-88.261745
21.354818	-89.165084
17.208765	-87.557947
10.819762	-85.968003
9.483637	-85.122098
10.436847	-85.655937
8.535767	-79.913458
10.645279	-85.695615
-0.462129	130.425579
-2.381507	130.509018
-0.433228	130.781678
-0.235483	130.272698
-0.507919	130.581106
-9.516744	147.152974
-9.517098	147.179889
-9.549288	147.355042
0.508977	127.12143
-0.676331	127.577
-10.796708	150.789927
-10.72617	150.770526
-7.99645	148.064978
-9.150327	149.203928
-19.172737	146.846884
-19.115132	146.882845
-11.59259	144.047614
-16.56805	145.51387
-16.606067	145.9752
-5.050246	145.813628
-21.829925	114.179932
-21.858932	114.163149
-20.8205	116.1922
-22.130684	113.876008
-21.8259	114.181717
-24.109066	152.711935
-23.902881	152.400933
-24.109851	152.717721
-24.11288	152.714019
-26.990554	153.467558
-31.988876	115.576218
-35.08476	137.749808
-35.302762	138.389762
-35.404479	138.329355
-35.405166	138.330628
-38.356603	144.773374
-32.05116	115.72568
-35.024734	117.23346
-31.852186	115.749641
-31.86828	115.752107
-31.865088	115.751975
22.791823	121.19337
26.50495	127.850132
26.458018	127.897785
-8.621488	115.518541
-8.688903	115.487318
-8.782075	115.598584
-8.727967	119.560442
-8.380004	124.310588
-33.979957	151.251318
-33.800339	151.296075
-33.979504	151.254226
-34.003865	151.229404
-33.831931	151.281316
-32.708717	152.159093
-32.712662	152.156971
-32.713028	152.156904
-32.714136	152.150707
-32.709034	152.1602
-32.105788	115.761491
-32.337165	115.716622
-32.335285	115.707898
-21.951612	114.149723
-21.998151	114.126778
-21.469971	114.976261
-20.29732	118.622511
-22.020494	114.127053
-36.461842	150.068145
-31.38	152.97
-35.453953	150.48111
-41.147563	146.565365
-38.40893	145.388574
-42.582293	147.913287
-38.439018	144.12886
-43.280469	147.177154
-38.292833	144.50223
-38.273971	144.643763
-38.173206	144.873122
-38.50608	145.137497
-35.522854	138.185421
-4.272019	39.485416
-3.264603	40.067818
-4.416052	39.405631
-4.376435	39.704456
-4.696782	39.220785
3.46685	72.8213
5.048582	73.133546
3.4665	72.815867
3.467283	72.821433
3.4685	72.815683
23.912532	57.921527
25.843414	56.448601
23.936986	58.100099
23.983497	58.142216
25.27629	56.448498
-32.43	115.47
-32.138	115.744109
-33.954925	114.991578
-32.038624	115.522414
-32.020238	115.53653
