Family	Genus	Species	Latitude	Longitude	References
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-33.9	151.3	FishBase
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-33.9	151.3	FishBase
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-33.9	151.3	FishBase
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-33.9	151.3	FishBase
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-33.9	151.3	FishBase
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-33.9	151.3	FishBase
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-33.55	151.31	FishBase
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-32.25	151.32	FishBase
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-32.9333	151.767	FishBase
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-31.3	152.07	FishBase
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-32.7	152.1	FishBase
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-30.36	152.84	FishBase
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-30.36	152.84	FishBase
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-31.64	152.84	FishBase
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-31.64	152.84	FishBase
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-31.4	152.9	FishBase
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-31.4	152.9	FishBase
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-31.4	152.9	FishBase
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-31.4	152.9	FishBase
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-31.4	152.9	FishBase
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-31.4	152.9	FishBase
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-31.4	152.9	FishBase
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-30.55	152.92	FishBase
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-30.55	152.92	FishBase
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-30.55	152.92	FishBase
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-30.55	152.92	FishBase
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-30.55	152.92	FishBase
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-30.55	152.92	FishBase
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-30.55	152.92	FishBase
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-26.6167	153.1	FishBase
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-26.6167	153.1	FishBase
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-27.2667	153.1	FishBase
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-27.2667	153.1	FishBase
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-27.2	153.117	FishBase
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-26.6833	153.133	FishBase
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-29.93	153.2	FishBase
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-29.93	153.2	FishBase
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-29.93	153.2	FishBase
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-30.066667	153.2	FishBase
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-30.066668	153.2	FishBase
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-30.1	153.2	FishBase
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-30.1	153.2	FishBase
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-30.1	153.2	FishBase
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-26.8	153.25	FishBase
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-28.58	153.37	FishBase
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-29.4	153.4	FishBase
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-28.27	153.43	FishBase
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-28.0833	153.45	FishBase
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-28.1167	153.467	FishBase
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-28.1167	153.467	FishBase
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-28.1167	153.467	FishBase
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-29.6	153.5	FishBase
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-28.7	153.61	FishBase
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-28.7	153.61	FishBase
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-27.29	153.62	FishBase
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-27.29	153.62	FishBase
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-33.799818	151.297004	Inaturalist
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-33.800342	151.293845	Inaturalist
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-33.798637	151.296694	Inaturalist
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-34.424834	150.893113	Inaturalist
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-31.597935	152.847207	Inaturalist
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-34.003065	151.226153	Inaturalist
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-34.597728	150.902119	Inaturalist
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-29.741809	153.31949	Inaturalist
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-32.714318	152.150858	Inaturalist
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-32.714318	152.150858	Inaturalist
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-33.738737	151.307817	Inaturalist
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-33.73653	151.306045	Inaturalist
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-32.714318	152.150858	Inaturalist
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-32.714704	152.151271	Inaturalist
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-32.707284	152.157912	Inaturalist
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-33.979649	151.252412	Inaturalist
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-32.714704	152.151271	Inaturalist
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-32.714318	152.150858	Inaturalist
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-32.709451	152.157397	Inaturalist
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-33.916392	151.264265	Inaturalist
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-34.328765	150.925703	Inaturalist
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-33.916392	151.264265	Inaturalist
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-33.741476	151.317311	Inaturalist
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-33.800422	151.295833	Inaturalist
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-33.362642	151.502073	Inaturalist
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-26.800988	153.151091	Inaturalist
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-32.893953	151.804673	Inaturalist
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-32.713307	152.151265	Inaturalist
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-34.001657	151.221231	Inaturalist
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-32.893953	151.804673	Inaturalist
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-33.445226	151.448923	Inaturalist
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-33.979504	151.254226	Inaturalist
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-32.714318	152.150858	Inaturalist
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-33.899161	151.276754	Inaturalist
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-30.109011	153.208922	Inaturalist
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-32.894389	151.809244	Inaturalist
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-34.002989	151.226411	Inaturalist
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-33.899663	151.276187	Inaturalist
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-32.714497	152.150936	Inaturalist
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-33.800246	151.294428	Inaturalist
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-32.714318	152.150858	Inaturalist
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-32.786001	152.078605	Inaturalist
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-29.811756	153.288577	Inaturalist
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-32.713029	152.157215	Inaturalist
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-33.917106	151.263373	Inaturalist
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-32.714318	152.150858	Inaturalist
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-32.714318	152.150858	Inaturalist
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-33.968247	151.255578	Inaturalist
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-33.922455	151.2576	Inaturalist
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-32.714174	152.150782	Inaturalist
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-32.714174	152.150782	Inaturalist
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-33.572025	151.283797	Inaturalist
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-32.714174	152.150782	Inaturalist
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-32.714318	152.150858	Inaturalist
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-32.714318	152.150858	Inaturalist
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-32.712839	152.156196	Inaturalist
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-32.71367	152.152982	Inaturalist
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-33.799396	151.295112	Inaturalist
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-32.714318	152.150858	Inaturalist
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-32.714318	152.150858	Inaturalist
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-34.564331	150.870799	Inaturalist
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-33.799317	151.296165	Inaturalist
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-32.714318	152.150858	Inaturalist
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-33.799505	151.296211	Inaturalist
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-33.799077	151.296493	Inaturalist
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-33.36393	151.501779	Inaturalist
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-35.000159	150.725118	Inaturalist
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-32.712839	152.156196	Inaturalist
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-34.01159	151.20686	Inaturalist
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-32.714318	152.150858	Inaturalist
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-33.798839	151.295938	Inaturalist
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-34.00333	151.215221	Inaturalist
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-33.915826	151.264382	Inaturalist
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-32.688801	152.187804	Inaturalist
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-34.592537	150.887485	Inaturalist
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-33.915934	151.262104	Inaturalist
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-32.714318	152.150858	Inaturalist
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-34.56293	150.87448	Inaturalist
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-33.800246	151.295115	Inaturalist
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-32.714318	152.150858	Inaturalist
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-32.714318	152.150858	Inaturalist
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-33.799778	151.293245	Inaturalist
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-33.799262	151.296165	Inaturalist
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-33.839686	151.252785	Inaturalist
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-32.714318	152.150858	Inaturalist
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-33.525641	151.395088	Inaturalist
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-32.429856	152.525304	Inaturalist
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-33.584127	151.333071	Inaturalist
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-32.429856	152.525304	Inaturalist
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-32.714318	152.150858	Inaturalist
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-32.714318	152.150858	Inaturalist
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-33.799767	151.296685	Inaturalist
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-32.714318	152.150858	Inaturalist
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-32.714318	152.150858	Inaturalist
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-32.714318	152.150858	Inaturalist
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-32.713383	152.157375	Inaturalist
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-32.714318	152.150858	Inaturalist
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-33.742139	151.31755	Inaturalist
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-33.742164	151.317519	Inaturalist
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-32.44254	152.537606	Inaturalist
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-33.799437	151.296387	Inaturalist
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-32.714174	152.150782	Inaturalist
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-33.806472	151.304694	Inaturalist
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-32.714174	152.150782	Inaturalist
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-32.714001	152.150993	Inaturalist
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-32.714318	152.150858	Inaturalist
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-32.712509	152.150069	Inaturalist
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-32.714318	152.150858	Inaturalist
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-32.712839	152.156196	Inaturalist
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-30.054353	153.195313	Inaturalist
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-29.363676	153.373676	Inaturalist
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-32.714318	152.150858	Inaturalist
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-33.798948	151.296182	Inaturalist
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-33.91547	151.263754	Inaturalist
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-34.060345	151.159901	Inaturalist
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-32.714318	152.150858	Inaturalist
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-28.802195	153.595577	Inaturalist
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-32.714318	152.150858	Inaturalist
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-32.714318	152.150858	Inaturalist
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-32.714318	152.150858	Inaturalist
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-32.714318	152.150858	Inaturalist
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-32.714318	152.150858	Inaturalist
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-32.712983	152.156834	Inaturalist
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-33.800419	151.294135	Inaturalist
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-32.714318	152.150858	Inaturalist
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-32.714318	152.150858	Inaturalist
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-33.799668	151.293862	Inaturalist
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-32.71713	152.141927	Inaturalist
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-33.445291	151.450042	Inaturalist
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-33.800378	151.2941	Inaturalist
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-32.71367	152.152982	Inaturalist
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-32.712839	152.156196	Inaturalist
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-33.800411	151.295253	Inaturalist
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-32.712839	152.156196	Inaturalist
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-32.714318	152.150858	Inaturalist
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-33.800339	151.294927	Inaturalist
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-33.800304	151.295903	Inaturalist
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-33.800441	151.294762	Inaturalist
