it	posterior	prior	likelihood	d12_t0.0	d21_t0.0	e1_t0.0	e2_t0.0	q1_t0.0	q2_t0.0	alpha	k1_d	k1_e	k1_s	hp_rate	beta
0	-2033.6659831199122	-0.2230532008239086	-2033.4429299190883	0.05370610479540359	0.12738743427204186	0.010414570453409279	0.03154509130305388	2.772588722239781	2.772588722239781	10.0	0.0	0.0	0.0	1.0	1.0
1000000	-1239.8219491734299	-0.3584866973263389	-1239.4634624761036	0.03269722644558987	0.01114057771353343	0.1361997962057758	0.17844909696143982	0.27147938964860246	0.5821576419087079	8982639438.237772	0.0	0.0	0.0	1.0	1.0
2000000	-1240.0308220005759	-0.39152235639124977	-1239.6392996441846	0.03332514155702699	0.016213339116820612	0.1520695209525214	0.18991435476488075	0.2734831045874886	0.5809127725564659	325653952224.897	0.0	0.0	0.0	1.0	1.0
3000000	-1242.5553905603642	-0.409837258431129	-1242.1455533019332	0.021605901532438552	0.028037318800922067	0.16203702467623138	0.198157013421537	0.2459163589306455	0.5748628329274245	3.541684734440938e+24	0.0	0.0	0.0	1.0	1.0
4000000	-1242.19153490322	-0.407006374367148	-1241.7845285288527	0.036013399555002774	0.01956473815481186	0.12845512909001372	0.22297310756731964	0.2881106777670635	0.5619674430478481	9.512614354556654e+31	0.0	0.0	0.0	1.0	1.0
5000000	-1240.5770948607262	-0.37428297176768516	-1240.2028118889584	0.027804334935198537	0.006604586291143183	0.17991574334932145	0.15995830719202198	0.31650930014178424	0.5349010230905091	2.9464921440301773e+38	0.0	0.0	0.0	1.0	1.0
6000000	-1239.6689917448703	-0.39982109634328955	-1239.269170648527	0.010143186495855569	0.010955237212453815	0.18130797414665695	0.1974146984883232	0.33374777897349467	0.5629724829037165	1.0321026655574347e+51	0.0	0.0	0.0	1.0	1.0
7000000	-1239.9245745134801	-0.3427509383286976	-1239.5818235751515	0.01075009790295194	0.008806466593729313	0.14132083305222093	0.1818735407797954	0.25004511981614325	0.5905206848092369	4.764096440363517e+59	0.0	0.0	0.0	1.0	1.0
8000000	-1240.9905503388288	-0.3746220736158241	-1240.615928265213	0.015987613868758157	0.00847273534979815	0.1561442381291633	0.19401748626810447	0.33106197562022116	0.4871194989658607	7.989464312209193e+59	0.0	0.0	0.0	1.0	1.0
9000000	-1241.5760752571387	-0.36044166780746945	-1241.2156335893312	0.022089253639427934	0.016549063723522394	0.13618253058840354	0.18562081985611556	0.25501070495539696	0.5151796318163466	9.700235622548169e+65	0.0	0.0	0.0	1.0	1.0
