it	posterior	prior	likelihood	d12_t0.0	d21_t0.0	e1_t0.0	e2_t0.0	q1_t0.0	q2_t0.0	alpha	k1_d	k1_e	k1_s	hp_rate	beta
0	-2041.0895563582194	-0.31613674021633525	-2040.7734196180031	0.14899551783590737	0.12111224587658159	0.026034949294844838	0.01999402720900147	2.772588722239781	2.772588722239781	10.0	0.0	0.0	0.0	1.0	1.0
1000000	-1264.0939371780667	-0.3826659995154449	-1263.7112711785512	0.04509400188542757	0.01566096418139418	0.12554584166643018	0.196365191782193	0.2672292188270935	0.6338258635338773	817234128.8500943	0.0	0.0	0.0	1.0	1.0
2000000	-1263.7070373108954	-0.4045065196912099	-1263.3025307912042	0.041251923753044865	0.021599750331489993	0.13852051434658547	0.20313433126008953	0.29784281958117675	0.6476339100298925	1741644464073.0417	0.0	0.0	0.0	1.0	1.0
3000000	-1263.1817765213807	-0.39425060153605246	-1262.7875259198447	0.03293028686041911	0.020608703654631452	0.15666688050344546	0.18404473051755643	0.28705619403428906	0.6298594959394143	4.3523656998410514e+24	0.0	0.0	0.0	1.0	1.0
4000000	-1265.847776755123	-0.42746723961226785	-1265.4203095155108	0.04204345123570843	0.02464182312586566	0.12588853726841054	0.23489342798228324	0.2902970754566552	0.6770588649659351	1.682455886081687e+33	0.0	0.0	0.0	1.0	1.0
5000000	-1263.8822007734877	-0.37270286253212703	-1263.5094979109556	0.031553522991217775	0.004968294680611968	0.16991518486500262	0.16626585999529464	0.30867769482556934	0.6002046113186645	3.388460353043633e+39	0.0	0.0	0.0	1.0	1.0
6000000	-1263.284519850866	-0.41148427588218833	-1262.8730355749838	0.017237041218955234	0.015195832768163081	0.1710608157856409	0.2079905861094291	0.3035989351720345	0.636908481668593	8.785163449598677e+51	0.0	0.0	0.0	1.0	1.0
7000000	-1264.947555246959	-0.35947000263855117	-1264.5880852443204	0.017004292724014394	0.013118511103455611	0.1394392810391469	0.18990791777193425	0.23553005666624977	0.6532408478475017	5.371579387391084e+59	0.0	0.0	0.0	1.0	1.0
8000000	-1263.210906243085	-0.36195054090158923	-1262.8489557021835	0.019157337743877248	0.011745339232329224	0.14585742684891984	0.18519043707646293	0.3253980647165156	0.5465647854567446	1.7300432582034286e+59	0.0	0.0	0.0	1.0	1.0
9000000	-1266.568761243221	-0.3812077327323982	-1266.1875535104884	0.02931007714456154	0.020999187337564798	0.13020803173919637	0.2006904365110755	0.2317801227707172	0.5738596031261577	1.6507864076268145e+65	0.0	0.0	0.0	1.0	1.0
