it	posterior	prior	likelihood	d12_t0.0	d21_t0.0	e1_t0.0	e2_t0.0	q1_t0.0	q2_t0.0	alpha	k1_d	k1_e	k1_s	hp_rate	beta
0	-1900.0529586670464	-0.2426141743938766	-1899.8103444926526	0.10386272825763469	0.050301795661959636	0.041838677677690776	0.0466109727965915	2.772588722239781	2.772588722239781	10.0	0.0	0.0	0.0	1.0	1.0
1000000	-1236.6432075065125	-0.35145386637340437	-1236.291753640139	0.026555091000616704	0.01218101314691891	0.12835290267793126	0.18436485954793747	0.2681888593192371	0.6100314750003256	5376138394.282839	0.0	0.0	0.0	1.0	1.0
2000000	-1237.6916024112004	-0.3951506545495861	-1237.2964517566509	0.03660135331824836	0.020945806979454525	0.14096812227450484	0.19663537197737835	0.2808754634261007	0.6498365566623705	1069936795989.8231	0.0	0.0	0.0	1.0	1.0
3000000	-1236.2427695040362	-0.3661212858787628	-1235.8766482181575	0.01938079115495299	0.011369615231695968	0.1543844559437956	0.18098642354831823	0.32899340882369754	0.5538716142550634	2.0505573476707318e+25	0.0	0.0	0.0	1.0	1.0
4000000	-1239.043748986628	-0.40099400462053697	-1238.6427549820075	0.027029635972958804	0.024899398166133638	0.1240827270644594	0.2249822434169851	0.284630427741885	0.661071025574827	1.4842178932139216e+33	0.0	0.0	0.0	1.0	1.0
5000000	-1237.4312357657714	-0.35392868246428805	-1237.077307083307	0.02473980036362006	0.003747055119155002	0.16582921851515892	0.15961260846635406	0.298926663710306	0.5854755370706695	2.5128638381636933e+39	0.0	0.0	0.0	1.0	1.0
6000000	-1240.0124206196172	-0.4131819019552853	-1239.5992387176618	0.011026171966745118	0.013942236272898405	0.1807783720048789	0.2074351217107629	0.3920498887164946	0.641068453729672	2.2405487954255873e+51	0.0	0.0	0.0	1.0	1.0
7000000	-1237.9812878296864	-0.34507546199060146	-1237.6362123676959	0.007836544057919496	0.01109722468055741	0.13849216976064302	0.18764952349148153	0.23482174098433092	0.6390827742175064	6.311121950881242e+58	0.0	0.0	0.0	1.0	1.0
8000000	-1236.2116819387852	-0.3510956016392802	-1235.8605863371458	0.012444146331673562	0.008668896996015227	0.14541018904362327	0.1845723692679681	0.2916162012752354	0.5334259386228479	1.485846805192708e+59	0.0	0.0	0.0	1.0	1.0
9000000	-1240.4535263241269	-0.36265658338791	-1240.090869740739	0.018447132310291495	0.01898433620088931	0.12913571360470202	0.19608940127202723	0.2192902283410822	0.5700713598696525	1.2042547696242293e+66	0.0	0.0	0.0	1.0	1.0
