it	posterior	prior	likelihood	d12_t0.0	d21_t0.0	e1_t0.0	e2_t0.0	q1_t0.0	q2_t0.0	alpha	k1_d	k1_e	k1_s	hp_rate	beta
0	-2050.793232426044	-0.25785447625390745	-2050.53537794979	0.050301795661959636	0.14511937854902046	0.0466109727965915	0.015822329246335882	2.772588722239781	2.772588722239781	10.0	0.0	0.0	0.0	1.0	1.0
1000000	-1251.1348195274572	-0.37222312650520595	-1250.7625964009521	0.039619781349302406	0.009095255582216912	0.12344320830188162	0.20006488127180502	0.26735583511303135	0.5634856075071734	2843574388.8894978	0.0	0.0	0.0	1.0	1.0
2000000	-1250.8282438423237	-0.37577258979458733	-1250.452471252529	0.03758660593765158	0.011236799215597802	0.13480717695258893	0.19214200768874903	0.29260940464028456	0.5500409724322814	2521154191447.293	0.0	0.0	0.0	1.0	1.0
3000000	-1248.8800409534213	-0.3587727789352555	-1248.521268174486	0.026609573589140366	0.0033585670866480466	0.14527828436707543	0.18352635389239166	0.3098959376245955	0.605120534609174	1.3869577075103881e+26	0.0	0.0	0.0	1.0	1.0
4000000	-1252.464164161812	-0.4096645241118404	-1252.0544996377002	0.04271836933543305	0.01437328025681329	0.12696188499303537	0.2256109895265587	0.27865980983430183	0.6417873535202554	3.9649111688864012e+34	0.0	0.0	0.0	1.0	1.0
5000000	-1250.8190624238764	-0.3548987226590413	-1250.4641637012173	0.028132559533914473	0.0007639718819138093	0.16504886153827225	0.1609533297049408	0.29888725152262957	0.5623638303163964	6.757433827549173e+40	0.0	0.0	0.0	1.0	1.0
6000000	-1251.1858452804795	-0.41680826645026653	-1250.7690370140292	0.021567146741776233	0.007836924081879467	0.16080027823143117	0.22660391739517965	0.30127274456057745	0.6130680786311888	6.097201638817289e+52	0.0	0.0	0.0	1.0	1.0
7000000	-1252.3982009293761	-0.35081642625023723	-1252.0473845031258	0.017250998346540147	0.009338763044047517	0.1309265473473736	0.19330011751227594	0.22685681133649316	0.6262799716203047	1.1595802665219365e+60	0.0	0.0	0.0	1.0	1.0
8000000	-1250.7652275851258	-0.34893314880562976	-1250.4162944363202	0.019100863494270738	0.004863434087888721	0.13937191632479068	0.1855969348986796	0.3215518106917744	0.5153658603409943	2.2960140573293096e+60	0.0	0.0	0.0	1.0	1.0
9000000	-1252.5457029721304	-0.37823760443052584	-1252.1674653676998	0.02767159736294174	0.01246760416305315	0.13797679394375106	0.20012160896077993	0.2330864063084666	0.5607613379216341	1.123172610362146e+66	0.0	0.0	0.0	1.0	1.0
