it	posterior	prior	likelihood	d12_t0.0	d21_t0.0	e1_t0.0	e2_t0.0	q1_t0.0	q2_t0.0	alpha	k1_d	k1_e	k1_s	hp_rate	beta
0	-1989.3685379785397	-0.25785447625390745	-1989.1106835022858	0.050301795661959636	0.14511937854902046	0.0466109727965915	0.015822329246335882	2.772588722239781	2.772588722239781	10.0	0.0	0.0	0.0	1.0	1.0
1000000	-1234.0995578918087	-0.384700694250704	-1233.7148571975579	0.04525244182030995	0.014781191711958937	0.12748944805528278	0.19717761266315237	0.29150710002368874	0.6091694723215384	151040392.24232054	0.0	0.0	0.0	1.0	1.0
2000000	-1233.4707632206587	-0.40512259893140173	-1233.0656406217272	0.04149694296923104	0.016700383982757104	0.14493323798172056	0.201992033997693	0.2984254617616733	0.6512074905664728	2962214494383.229	0.0	0.0	0.0	1.0	1.0
3000000	-1235.789380916768	-0.4251882441326254	-1235.3641926726355	0.033227769780567795	0.0308782075314678	0.17170036243058967	0.18938190439000013	0.35658692888413956	0.5689857497219378	2.0860775906322538e+25	0.0	0.0	0.0	1.0	1.0
4000000	-1236.031735325632	-0.4470057123783209	-1235.5847296132538	0.04886866723684381	0.022065379297895246	0.13676138523619735	0.23931028060738446	0.2753593318232523	0.6692514150306358	2.309921230220019e+32	0.0	0.0	0.0	1.0	1.0
5000000	-1234.535407168568	-0.3836262640857079	-1234.1517809044824	0.03427808999439957	0.0066301710097231605	0.1812137679241339	0.16150423515745121	0.32665201405997646	0.5897970199519194	6.0506916061741696e+38	0.0	0.0	0.0	1.0	1.0
6000000	-1233.6235903637612	-0.43345683600973706	-1233.1901335277514	0.022556019339109036	0.012141439014740138	0.18223445598276472	0.21652492167312315	0.3329255340178886	0.6266916883749862	2.042102031419913e+50	0.0	0.0	0.0	1.0	1.0
7000000	-1235.7813532573034	-0.3892337429463857	-1235.392119514357	0.021889601235940023	0.012509379213841038	0.15121935226799235	0.2036154102286123	0.2402141654736169	0.6620417525175616	2.2345376223622265e+58	0.0	0.0	0.0	1.0	1.0
8000000	-1234.28916218496	-0.38428749845175436	-1233.9048746865083	0.02478419367956043	0.008977552562850152	0.15290306165149478	0.197622690557849	0.3373847608383112	0.5317250298331755	7.325655990815688e+58	0.0	0.0	0.0	1.0	1.0
9000000	-1233.6923418218282	-0.3959046715627407	-1233.2964371502655	0.0346709058790712	0.017656704694556366	0.1438750376659725	0.19970202332314058	0.2822567318104583	0.6521539798380541	1.1092912113856732e+65	0.0	0.0	0.0	1.0	1.0
