Iteration	Posterior	Likelihood	Prior	clado_type_probs[1]	clado_type_probs[2]	epoch_times[1]	epoch_times[2]	epoch_times[3]	epoch_times[4]	epoch_times[5]	epoch_times[6]	epoch_times[7]	epoch_times[8]	epoch_times[9]	epoch_times[10]	epoch_times[11]	epoch_times[12]	epoch_times[13]	epoch_times[14]	extirpation_rate	p_allopatry	p_sympatry	rate_bg
0	-118.9932	-84.48777	-34.50545	0.520065	0.479935	259.55	237.401	204.412	197.535	159.786	138.469	109.327	87.0162	61.5034	40.8223	36.9319	17.4983	4.40336	0	0.8314607	0.4799351	0.5200649	0.01
10	-118.0593	-80.17926	-37.88001	0.365942	0.634058	254.137	228.571	211.603	198.863	157.189	134.567	107.944	82.1819	61.0421	46.0265	33.7584	19.1976	4.49488	0	1.261541	0.6340577	0.3659423	0.1501992
20	-118.3304	-80.40098	-37.92942	0.292368	0.707632	240.708	222.683	217.481	182.227	155.922	122.835	111.228	84.3266	71.7079	42.8805	20.9176	19.019	3.00745	0	1.327676	0.7076316	0.2923684	0.1386598
30	-118.7076	-80.27625	-38.43138	0.582273	0.417727	249.388	227.217	204.487	184.537	152.915	130.545	112.493	84.1449	66.073	42.0833	21.4531	15.1442	2.81771	0	1.507615	0.4177273	0.5822727	0.1586857
40	-117.3803	-79.46853	-37.91175	0.976498	0.0235019	248.573	222.145	219.111	182.656	151.618	128.667	105.187	81.5505	60.5884	41.2524	21.115	7.44774	4.12135	0	1.500855	0.02350189	0.9764981	0.09571571
50	-116.6272	-78.76814	-37.85909	0.800999	0.199001	254.144	235.839	216.739	189.671	151.415	126.483	110.401	81.8146	68.5124	42.4046	23.2258	7.27936	4.1516	0	1.429957	0.199001	0.800999	0.1051315
60	-115.9927	-78.52959	-37.46315	0.153101	0.846899	243.514	227.705	212.146	182.759	145.585	132.304	111.402	88.5016	78.9822	42.5888	23.393	9.82501	4.52025	0	1.232382	0.8468988	0.1531012	0.1046703
70	-119.3132	-83.70761	-35.60563	0.217015	0.782985	247.09	234.62	218.676	189.319	144.415	120.2	112.181	84.6462	74.2799	53.1191	22.4431	9.42529	4.92016	0	1.240432	0.782985	0.217015	0.01608688
80	-116.8888	-78.35365	-38.5352	0.304731	0.695269	243.709	223.144	214.539	188.79	141.588	129.125	103.905	84.1381	68.7863	55.0129	33.7304	10.6884	4.08393	0	1.817622	0.6952688	0.3047312	0.09121649
90	-116.3053	-78.76722	-37.53804	0.0225565	0.977444	251.988	238.692	206.188	181.772	145.247	138.568	106.136	84.392	65.1906	59.8365	31.1864	12.3507	4.49086	0	1.485667	0.9774435	0.02255647	0.06798203
