Iteration	start_1	end_1	start_2	end_2	start_3	end_3	start_4	end_4	start_5	end_5	start_6	end_6	start_7	end_7	start_8	end_8	start_9	end_9	start_10	end_10	start_11	end_11	start_12	end_12	start_13	end_13	start_14	end_14	start_15	end_15	start_16	end_16	start_17	end_17	start_18	end_18	start_19	end_19	start_20	end_20	start_21	end_21	start_22	end_22	start_23	end_23	start_24	end_24	start_25	end_25	start_26	end_26	start_27	end_27	start_28	end_28	start_29	end_29	start_30	end_30	start_31	end_31	start_32	end_32	start_33	end_33	start_34	end_34	start_35	end_35	start_36	end_36	start_37	end_37	start_38	end_38	start_39	end_39	start_40	end_40	start_41	end_41	start_42	end_42	start_43	end_43	start_44	end_44	start_45	end_45	start_46	end_46	start_47	end_47	start_48	end_48	start_49	end_49	start_50	end_50	start_51	end_51	start_52	end_52	start_53	end_53	start_54	end_54	start_55	end_55	start_56	end_56	start_57	end_57	start_58	end_58	start_59	end_59	start_60	end_60	start_61	end_61	start_62	end_62	start_63	end_63	start_64	end_64	start_65	end_65	start_66	end_66	start_67	end_67	start_68	end_68	start_69	end_69	start_70	end_70	start_71	end_71	start_72	end_72	start_73	end_73	start_74	end_74	start_75	end_75
100	5	4	5	5	5	5	5	5	5	5	5	5	5	16	5	16	5	5	5	5	5	5	4	4	4	4	5	5	5	5	5	5	5	5	6	31	6	3	3	45	7	1	2	2	1	57	4	31	6	12	6	12	19	3	3	3	4	4	4	12	5	5	5	5	5	4	5	4	5	5	5	5	5	5	5	4	5	5	5	5	5	5	5	5	5	5	5	5	5	5	4	4	4	19	19	4	4	6	4	4	40	37	5	40	24	7	20	24	19	20	11	33	6	36	3	21	5	5	4	4	5	16	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	1	15	5	5	1	5	1	1
110	5	4	5	5	5	5	5	5	5	5	5	5	5	16	5	16	5	5	5	5	5	5	4	4	4	4	5	5	5	5	5	5	5	5	3	31	3	3	9	45	2	1	2	2	3	57	1	31	2	12	37	12	2	3	3	3	4	4	4	12	5	5	5	5	5	4	5	4	5	5	5	5	5	5	5	4	5	5	5	5	5	5	5	5	5	5	5	5	5	5	2	4	1	9	19	7	1	50	1	1	18	33	13	39	1	2	3	22	3	3	6	3	6	19	6	38	5	5	4	4	5	16	5	5	5	5	5	5	5	5	5	5	5	5	5	5	3	5	6	5	29	19	1	54	5	5	1	5	1	1
120	5	4	5	5	5	5	5	5	5	5	5	5	5	16	5	16	5	5	5	5	5	5	4	4	4	4	5	5	5	5	5	5	5	5	6	31	6	3	4	45	1	1	17	2	1	57	6	31	1	12	2	12	6	3	9	3	4	4	12	12	5	5	5	5	5	4	5	4	5	5	5	5	5	5	5	4	5	5	5	5	5	5	5	5	5	5	5	5	5	5	11	12	1	34	3	23	7	7	47	32	15	47	45	15	4	17	2	4	18	18	1	32	1	17	3	45	5	5	4	4	5	16	5	5	5	5	5	5	5	5	5	5	5	5	5	5	51	5	3	5	5	59	1	15	5	5	1	5	1	1
130	5	4	5	5	5	5	5	5	5	5	5	5	5	16	5	16	5	5	5	5	5	5	4	4	4	4	5	5	5	5	5	5	5	5	2	31	4	3	3	45	32	1	2	2	6	57	19	31	2	12	2	12	3	3	19	3	4	4	37	12	5	5	5	5	5	4	5	4	5	5	5	5	5	5	5	4	5	5	5	5	5	5	5	5	5	5	5	5	52	5	18	37	2	19	20	18	2	2	3	34	3	37	1	52	50	32	2	50	6	11	12	6	1	25	1	1	5	5	5	4	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	47	5	3	5	13	47	1	13	5	5	1	5	1	1
140	5	4	5	5	5	5	5	5	5	5	5	5	5	16	5	16	5	5	5	5	5	5	4	4	4	4	5	5	5	5	5	5	5	5	19	31	3	3	20	45	1	1	2	2	2	57	11	31	3	12	6	12	2	3	34	3	4	4	4	12	5	5	5	5	5	4	5	4	5	5	5	5	5	5	5	4	5	5	5	5	5	5	5	5	5	5	5	5	5	5	3	4	3	34	6	3	2	19	4	11	21	20	3	21	4	7	3	20	3	3	3	9	1	19	4	8	5	5	5	4	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	15	5	5	5	40	15	1	56	5	5	1	5	1	1
150	4	4	5	5	5	5	5	5	5	5	5	5	5	16	5	16	5	5	5	5	5	5	4	4	4	4	5	5	5	5	5	5	5	5	20	31	2	3	2	45	1	1	34	2	2	57	2	31	2	12	6	12	3	3	3	3	4	4	4	12	5	5	5	5	5	4	5	4	5	5	5	5	5	5	5	4	5	5	5	5	5	5	5	5	5	5	5	5	5	5	6	4	6	3	19	6	3	18	3	9	3	19	4	15	3	47	6	9	2	18	3	2	18	37	6	36	5	5	4	4	5	16	5	5	5	5	5	5	5	5	5	5	5	5	5	5	3	5	3	5	8	3	1	33	5	5	1	16	1	1
160	5	4	5	5	5	5	5	5	5	5	5	5	5	16	5	16	5	5	5	5	5	5	4	4	4	4	5	5	5	5	5	5	5	5	2	31	4	3	20	45	1	1	7	2	6	57	21	31	9	12	2	12	12	3	3	3	4	4	12	12	5	5	5	5	5	4	5	4	5	5	5	5	5	5	5	4	5	5	5	5	5	5	5	5	5	5	5	5	5	5	49	12	4	12	2	49	6	9	39	21	14	39	36	14	4	7	4	20	10	4	1	35	4	7	12	36	5	5	4	4	5	16	5	5	5	5	5	5	5	5	5	5	5	5	5	5	1	5	5	5	6	13	1	37	5	5	1	5	1	1
170	6	4	5	5	5	5	5	5	5	5	5	5	5	16	5	16	5	5	5	5	5	5	4	4	4	4	5	5	5	5	5	5	5	5	20	31	3	3	7	45	7	1	2	2	6	57	4	31	20	12	4	12	3	3	3	3	4	4	4	12	5	5	5	5	5	4	5	4	5	5	5	5	5	5	5	4	5	5	5	5	5	5	5	5	5	5	5	5	5	5	48	4	2	3	4	48	4	20	4	4	4	4	3	16	6	7	3	32	19	3	6	19	3	20	1	3	5	5	4	4	16	16	5	16	5	5	5	5	5	5	5	5	5	5	5	5	5	5	27	5	1	27	1	1	39	5	1	39	1	1
180	5	4	5	5	5	5	5	5	5	5	5	5	5	16	5	16	5	5	5	5	5	5	4	4	4	4	5	5	5	5	5	5	5	5	4	31	2	3	6	45	1	1	3	2	3	57	4	31	4	12	4	12	4	3	4	3	4	4	3	12	5	5	5	5	5	4	5	4	5	5	5	5	5	5	5	4	5	5	5	5	5	5	5	5	5	5	5	5	5	5	6	12	7	4	4	32	4	4	4	4	37	4	33	56	4	8	3	20	3	9	19	3	2	37	5	47	5	5	4	4	5	16	5	5	5	5	5	5	5	5	5	5	5	5	5	5	1	5	40	5	3	52	1	15	5	5	1	5	1	1
190	3	4	5	5	5	5	5	5	5	5	5	5	5	16	5	16	5	5	5	5	5	5	4	4	4	4	5	5	5	5	5	5	5	5	4	31	2	3	6	45	1	1	2	2	56	57	6	31	3	12	9	12	4	3	19	3	4	4	12	12	5	5	5	5	4	4	4	4	5	5	5	5	5	5	5	4	5	5	5	5	5	5	4	4	5	5	16	16	62	16	4	12	36	37	3	36	9	9	9	34	6	9	6	62	34	7	2	34	2	2	41	62	26	41	16	51	5	5	4	4	16	16	5	16	5	5	5	5	5	5	5	5	5	5	5	5	5	5	59	5	5	59	1	16	28	5	1	28	1	1
200	5	4	5	5	5	5	5	5	5	5	5	5	5	16	5	16	5	5	5	5	5	5	4	4	4	4	5	5	5	5	5	5	5	5	6	31	1	3	17	45	1	1	7	2	34	57	2	31	19	12	3	12	3	3	2	3	4	4	3	12	5	5	5	5	5	4	5	4	5	5	5	5	5	5	5	4	5	5	5	5	5	5	5	5	5	5	5	5	5	5	1	12	1	9	1	1	7	19	1	7	1	1	2	13	2	7	1	32	1	1	47	47	51	47	40	51	5	5	4	4	5	16	5	5	5	5	5	5	5	5	5	5	5	5	5	5	15	5	5	5	5	15	1	40	5	5	1	5	1	1
210	5	4	5	5	5	5	5	5	5	5	5	5	5	16	5	16	5	5	5	5	5	5	4	4	4	4	5	5	5	5	5	5	5	5	6	31	1	3	7	45	1	1	1	2	1	57	4	31	4	12	4	12	3	3	3	3	4	4	4	12	5	5	5	5	5	4	5	4	5	5	5	5	5	5	5	4	5	5	5	5	5	5	5	5	5	5	5	5	5	5	4	4	47	3	4	58	4	4	4	4	16	4	1	16	1	1	1	7	7	1	2	7	20	18	13	35	5	5	16	4	5	16	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	8	5	3	27	1	27	5	5	1	5	1	1
220	3	4	5	5	5	5	5	5	5	5	5	5	5	16	5	16	5	5	5	5	5	5	4	4	4	4	5	5	5	5	5	5	5	5	1	31	1	3	1	45	1	1	2	2	34	57	4	31	37	12	2	12	9	3	3	3	4	4	12	12	5	5	5	5	5	4	5	4	5	5	5	5	5	5	5	4	5	5	5	5	5	5	5	5	5	5	5	5	5	5	1	12	1	9	2	1	4	50	4	4	51	11	23	51	2	7	1	7	1	1	7	47	6	7	1	48	5	5	4	4	5	16	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	8	5	21	27	1	38	5	5	1	15	1	1
230	22	4	5	5	16	5	5	5	5	5	5	5	5	16	5	16	5	5	5	5	5	5	4	4	4	4	5	5	5	5	5	5	5	5	1	31	1	3	6	45	32	1	6	2	6	57	4	31	4	12	4	12	12	3	4	3	4	4	12	12	5	5	5	5	5	4	5	4	5	5	5	5	5	5	5	4	5	5	5	5	5	5	5	5	5	5	5	5	5	5	47	12	6	12	47	47	4	4	6	4	39	47	5	39	34	32	33	34	32	33	1	32	5	1	29	5	5	5	16	4	5	16	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	4	5	1	29	2	16	1	22	1	1
240	5	4	5	5	5	5	5	5	5	5	5	5	5	16	5	16	5	5	5	5	5	5	4	4	16	4	5	5	5	5	5	5	5	5	4	31	4	3	3	45	1	1	32	2	4	57	6	31	20	12	6	12	19	3	3	3	4	4	12	12	5	5	5	5	5	4	5	4	5	5	5	5	5	5	5	4	5	5	5	5	5	5	5	5	5	5	5	5	5	5	33	12	3	19	8	33	9	20	1	34	62	8	6	62	47	32	4	47	4	4	4	4	38	4	3	38	5	5	5	16	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	4	5	3	5	27	12	1	27	5	5	1	5	1	1
250	5	4	5	5	5	5	5	5	5	5	5	5	5	16	5	16	5	5	5	5	5	5	4	4	4	4	5	5	5	5	5	5	5	5	4	31	20	3	4	45	7	1	2	2	4	57	2	31	9	12	1	12	3	3	3	3	4	4	12	12	5	5	5	5	5	4	5	4	5	5	5	5	5	5	5	4	5	5	5	5	5	5	5	5	5	5	5	5	5	5	6	12	6	3	3	6	2	22	18	2	2	34	6	14	6	7	6	20	4	20	4	4	34	4	3	34	5	5	4	4	5	16	5	5	5	5	5	5	5	5	5	5	5	5	5	5	7	5	2	5	33	7	1	33	5	5	1	5	1	1
260	5	4	5	5	5	5	5	5	5	5	5	5	5	16	5	16	5	5	5	5	5	5	4	4	4	4	5	5	5	5	5	5	5	5	1	31	1	3	6	45	2	1	37	2	1	57	1	31	1	12	22	12	3	3	3	3	4	4	4	12	5	5	5	5	5	4	5	4	5	5	5	5	5	5	5	4	5	5	5	5	5	5	5	5	5	5	5	5	5	5	1	4	1	3	1	1	1	22	1	1	26	1	6	26	9	50	2	34	1	7	1	1	8	1	15	33	5	5	4	4	5	16	5	5	5	5	5	5	5	5	5	5	5	5	5	5	3	5	4	5	5	12	1	15	5	5	1	5	1	1
270	6	4	5	5	5	5	5	5	5	5	5	5	5	16	5	16	5	5	5	5	5	5	4	4	4	4	5	5	5	5	5	5	5	5	1	31	6	3	6	45	1	1	18	2	9	57	4	31	6	12	12	12	3	3	3	3	4	4	12	12	5	5	5	5	5	4	5	4	5	5	5	5	5	5	5	4	5	5	5	5	5	5	5	5	5	5	5	5	21	5	6	12	19	3	6	19	6	37	6	20	6	6	5	21	6	32	6	6	6	6	3	34	5	8	1	5	5	5	4	4	5	16	5	5	5	5	5	5	5	5	5	5	5	5	5	5	13	5	5	5	1	13	1	1	15	5	1	40	1	1
280	2	4	5	5	5	5	5	5	5	5	5	5	5	16	5	16	5	5	5	5	5	5	4	4	4	4	16	5	5	5	5	5	5	5	32	31	3	3	3	45	1	1	7	2	47	57	4	31	20	12	6	12	3	3	3	3	4	4	4	12	5	5	5	5	5	4	5	4	5	5	5	5	5	5	5	4	5	5	5	5	5	5	5	5	5	5	5	5	5	5	6	4	18	3	2	18	4	20	2	4	40	2	5	40	50	7	3	50	3	3	1	47	15	32	38	15	5	5	4	4	5	16	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	1	38	46	5	1	46	1	1
290	5	4	5	5	5	5	5	5	5	5	5	5	5	16	5	16	5	5	5	5	5	5	4	4	16	4	5	5	5	5	5	5	5	5	50	31	4	3	4	45	1	1	7	2	3	57	49	31	4	12	9	12	12	3	6	3	4	4	3	12	5	5	5	5	5	4	5	4	5	5	5	5	5	5	5	4	5	5	5	5	5	5	5	5	5	5	5	5	5	5	2	12	50	37	2	50	2	25	2	58	16	2	3	16	58	7	36	58	19	36	6	19	51	50	16	59	5	5	5	16	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	18	5	4	39	1	16	5	5	1	5	1	1
