Iteration	Posterior	Likelihood	Prior	clado_type_probs[1]	clado_type_probs[2]	epoch_times[1]	epoch_times[2]	epoch_times[3]	epoch_times[4]	epoch_times[5]	epoch_times[6]	epoch_times[7]	epoch_times[8]	epoch_times[9]	epoch_times[10]	epoch_times[11]	epoch_times[12]	epoch_times[13]	epoch_times[14]	extirpation_rate	p_allopatry	p_sympatry	rate_bg
0	-138.5069	-103.5025	-35.00435	0.162644	0.837356	258.269	236.159	201.846	185.69	142.562	126.39	118.243	85.8261	70.7544	59.1913	33.6407	14.539	1.26656	0	1.172951	0.8373562	0.1626438	0.01
10	-120.0069	-82.02263	-37.98429	0.926417	0.0735835	253.839	239.902	208.214	185.393	140.709	129.807	111	83.7958	76.5771	50.1402	33.7141	19.6911	2.43628	0	1.105534	0.07358349	0.9264165	0.2218674
20	-117.2124	-80.20122	-37.01121	0.447429	0.552571	256.16	223.7	207.354	190.179	144.139	130.372	115.667	83.4104	76.7513	43.4046	36.8453	19.0197	4.33795	0	1.147723	0.552571	0.447429	0.07786563
30	-116.4154	-78.15039	-38.265	0.632883	0.367117	257.869	222.33	200.776	184.075	146.675	133.448	118.223	81.8975	68.7003	54.0839	36.417	18.2728	4.28042	0	1.663515	0.3671168	0.6328832	0.09673584
40	-116.6519	-78.77569	-37.87616	0.858586	0.141414	253.963	229.174	202.29	192.502	143.288	125.683	116.068	81.6671	61.9822	57.5704	33.4122	19.3109	4.44593	0	1.377237	0.1414138	0.8585862	0.1190511
50	-118.7666	-81.17816	-37.58841	0.694863	0.305137	254.049	236.702	204.413	190.131	152.156	132.255	107.964	81.98	68.9607	54.7725	25.666	15.5751	3.9276	0	1.014803	0.3051365	0.6948635	0.1731826
60	-117.849	-78.7188	-39.13019	0.700739	0.299261	243.923	223.783	203.302	197.8	151.834	133.048	104.937	85.015	69.9271	49.9225	35.3246	7.17346	4.87911	0	2.100016	0.2992614	0.7007386	0.09044283
70	-118.6304	-80.31764	-38.31273	0.457818	0.542182	259.806	231.462	216.185	190.944	151.591	133.657	112.453	81.2675	70.7047	54.3989	30.4483	11.1087	2.79065	0	1.335716	0.5421819	0.4578181	0.2002087
80	-117.1637	-78.70655	-38.45718	0.439134	0.560866	256.098	232.17	216.357	199.035	145.043	138.319	110.886	80.3709	70.0561	46.6901	27.8894	14.108	4.71701	0	1.575905	0.5608656	0.4391344	0.141119
90	-118.6887	-80.63704	-38.05168	0.810901	0.189099	258.834	233.134	216.397	198.675	149.373	137.567	117.185	84.3241	65.1242	59.2211	28.7209	10.0947	4.51732	0	1.303581	0.1890992	0.8109008	0.1643249
100	-115.8325	-77.67363	-38.15882	0.841549	0.158451	259.984	239.738	219.423	191.188	156.007	135.333	114.4	81.0621	68.0057	57.9918	29.3918	9.48914	4.61109	0	1.669184	0.1584512	0.8415488	0.08594943
110	-117.6154	-79.55709	-38.05831	0.715286	0.284714	257.686	234.558	219.411	194.828	156.305	130.217	111.487	80.8428	79.6043	58.5115	22.7389	10.9416	4.95629	0	1.337813	0.2847136	0.7152864	0.1545882
120	-117.0817	-79.31851	-37.76318	0.805869	0.194131	258.505	238.36	213.609	194.299	154.74	128.893	115.075	83.32	73.8581	56.4279	31.6949	11.444	3.87728	0	1.519448	0.1941308	0.8058692	0.07936349
130	-116.9387	-78.14101	-38.7977	0.313596	0.686404	257.18	227.967	205.782	196.425	152.96	122.72	111.105	80.2817	70.9164	46.3823	29.4277	13.6014	4.94244	0	1.828332	0.6864042	0.3135958	0.1159092
140	-117.8388	-79.3138	-38.52503	0.369001	0.630999	242.388	231.737	203.06	194.001	146.93	123.362	114.159	81.5365	67.6791	41.8591	20.8587	10.2546	4.27187	0	1.950843	0.6309989	0.3690011	0.06789062
150	-117.3037	-79.2334	-38.07026	0.458703	0.541297	248.806	231.556	202.757	186.568	143.682	123.614	116.408	83.8157	71.1506	48.0045	20.1736	5.06251	3.75185	0	1.420702	0.5412967	0.4587033	0.1323341
160	-116.3812	-78.5759	-37.8053	0.306135	0.693865	253.705	230.695	202.061	180.948	146.045	126.028	115.488	80.76	62.0483	45.7932	31.4649	7.70998	4.46113	0	1.429157	0.6938646	0.3061354	0.09978965
170	-115.6771	-78.22264	-37.45441	0.461727	0.538273	247.722	230.829	210.145	181.088	140.352	128.095	112.913	82.2864	75.1188	40.9995	36.536	9.43314	4.87901	0	1.36837	0.5382735	0.4617265	0.0794939
180	-116.8488	-78.07046	-38.77829	0.72781	0.27219	248.431	237.227	216.026	192.509	143.448	121.976	117.572	83.0216	69.1161	50.6146	26.5093	13.8042	4.93052	0	1.983309	0.27219	0.72781	0.08159293
190	-116.2914	-77.55818	-38.73321	0.873269	0.126731	249.946	237.273	206.57	197.593	140.897	126.244	110.422	80.4514	66.903	55.0555	23.8534	5.84946	4.95574	0	1.843074	0.1267312	0.8732688	0.1052942
200	-119.4004	-82.20865	-37.19176	0.652957	0.347043	256.059	238.124	207.027	193.837	150.089	121.176	109.601	80.6736	76.0262	48.469	22.6263	13.819	4.14468	0	0.8485424	0.3470433	0.6529567	0.1443981
210	-116.1808	-78.30823	-37.8726	0.88081	0.11919	252.038	228.769	200.647	187.876	147.223	121.336	101.668	80.3314	62.2075	58.018	30.1802	9.45053	4.2493	0	1.428276	0.1191898	0.8808102	0.1069298
220	-118.9184	-80.73136	-38.187	0.736736	0.263264	258.175	236.591	200.332	188.804	144.914	125.437	103.047	81.6512	67.5874	56.5126	30.6723	13.5166	3.2644	0	1.25916	0.2632644	0.7367356	0.2051085
230	-120.7812	-81.73879	-39.04245	0.511143	0.488857	256.223	238.93	205.074	194.291	153.757	135.143	113.276	89.9705	71.7071	51.7062	28.9197	18.2508	3.58875	0	1.84346	0.4888565	0.5111435	0.1433345
240	-117.4538	-79.78277	-37.67101	0.896672	0.103328	241.406	235.967	208.467	189.969	158.231	138.797	108.123	84.4403	74.1318	54.6986	28.0201	15.9327	4.24723	0	1.17623	0.1033281	0.8966719	0.1430588
250	-118.4379	-79.02077	-39.41715	0.08647	0.91353	242.131	234.354	205.318	189.849	151.266	129.481	110.833	80.0846	71.159	54.0545	29.0753	15.9649	4.76001	0	2.290875	0.91353	0.08647	0.08047076
260	-124.5676	-85.46943	-39.09814	0.814134	0.185866	244.126	234.111	213.286	195.614	156.445	120.429	101.013	86.23	73.9129	54.5507	34.4579	14.2448	2.3476	0	1.352403	0.1858659	0.8141341	0.424732
270	-117.9202	-79.7715	-38.14873	0.054545	0.945455	251.636	227.224	217.768	187.465	154.881	127.759	106.554	84.9619	78.7717	50.8786	36.1101	17.8721	4.73456	0	1.777692	0.945455	0.05454502	0.06750398
280	-117.894	-81.20723	-36.68674	0.662896	0.337104	242.645	236.633	206.757	185.667	155.21	129.899	106.493	85.1987	65.5722	40.2189	31.2976	11.1138	4.79976	0	1.208042	0.3371036	0.6628964	0.05041101
290	-118.7656	-79.4467	-39.31894	0.953658	0.0463423	256.6	228.986	202.034	199.332	147.649	134.657	119.086	83.4625	67.7525	41.073	29.4587	12.0771	3.66672	0	2.155346	0.04634232	0.9536577	0.09711792
300	-116.9426	-78.36379	-38.57883	0.297153	0.702847	252.805	223.873	213.408	193.31	141.608	130.402	104.712	81.7757	75.7612	43.9313	29.0137	15.9848	4.40654	0	1.839791	0.7028466	0.2971534	0.09086821
310	-118.6269	-82.89442	-35.73248	0.862777	0.137223	255.897	230.747	207.533	194.828	141.136	137.589	116.383	89.422	74.5616	51.5616	23.1946	19.0347	4.83239	0	0.9187769	0.1372233	0.8627767	0.03098823
320	-116.2493	-78.31276	-37.93649	0.249965	0.750035	257.889	237.105	200.54	193.48	144.115	121.97	112.297	80.0553	73.1899	58.0443	33.3107	7.40315	4.69393	0	1.378532	0.7500353	0.2499647	0.1261245
330	-117.4444	-80.05561	-37.38881	0.606669	0.393331	252.135	229.203	207.628	199.652	149.799	137.374	104.94	87.8087	63.6063	56.9064	26.8932	13.9222	4.44794	0	1.240281	0.3933312	0.6066688	0.09572457
340	-118.2548	-79.0719	-39.18292	0.815473	0.184527	255.268	237.677	208.372	189.486	140.274	130.294	103.314	83.6366	61.5587	47.318	37.2655	7.3188	4.64503	0	2.030604	0.1845267	0.8154733	0.1105375
350	-117.5595	-79.31737	-38.24217	0.636894	0.363106	255.486	237.928	203.76	193.081	158.236	123.167	102.157	82.823	72.3017	44.784	37.509	16.3826	3.29772	0	1.537719	0.363106	0.636894	0.1233237
360	-115.7788	-78.05757	-37.72126	0.647076	0.352924	245.134	228.065	208.201	189.13	152.797	124.251	103.753	82.4956	78.5795	40.072	38.3305	14.501	4.85798	0	1.459865	0.3529238	0.6470762	0.08613083
370	-119.8096	-80.25797	-39.55166	0.56071	0.43929	242.107	231.184	217.481	194.893	159.803	125.161	110.009	84.9266	73.1196	55.4522	35.2715	19.2374	4.36623	0	2.102581	0.4392896	0.5607104	0.1371028
380	-116.4004	-78.71146	-37.68898	0.434599	0.565401	243.182	238.562	216.688	187.85	156.104	129.691	110.387	80.1203	63.3201	53.7394	38.6212	12.2228	4.15879	0	1.349088	0.5654009	0.4345991	0.1044738
390	-117.5255	-78.63034	-38.89511	0.777903	0.222097	240.863	237.052	207.834	182.948	151.575	129.832	103.15	82.0465	61.4159	40.2352	25.6715	18.9668	4.49675	0	1.932178	0.2220969	0.7779031	0.1023005
400	-116.9315	-79.91557	-37.0159	0.722237	0.277763	246.351	231.31	206.86	182.881	150.345	133.139	106.417	80.8527	71.6246	53.617	25.1022	19.6226	4.41153	0	1.041975	0.2777631	0.7222369	0.09362073
410	-117.188	-79.98817	-37.19979	0.592472	0.407528	241.179	231.067	204.123	193.234	146.591	133.901	119.328	84.4301	77.555	53.6364	39.2105	11.1202	4.34541	0	1.044268	0.407528	0.592472	0.1121093
420	-118.5703	-79.55829	-39.01197	0.958528	0.0414721	240.656	237.768	205.9	183.788	149.558	127.922	110.861	86.0469	76.4456	41.5152	22.8779	7.55951	4.10655	0	2.095692	0.04147211	0.9585279	0.08110166
430	-117.5909	-79.94206	-37.64888	0.591128	0.408872	240.125	237.661	200.075	187.328	141.684	128.383	118.79	81.7969	78.6225	45.2162	25.8028	14.1539	4.57189	0	1.130156	0.4088716	0.5911284	0.1519906
440	-118.1138	-80.86149	-37.25231	0.922411	0.0775892	241.07	234.241	204.027	196.698	157.826	120.962	108.989	83.0957	74.446	59.5684	32.1574	17.7423	4.52698	0	1.535488	0.07758922	0.9224108	0.04604543
450	-118.1879	-79.49734	-38.69054	0.169853	0.830147	242.399	230.844	202.3	187.237	150.283	126.522	105.742	80.2895	76.9479	56.5421	32.5717	17.6584	4.59654	0	1.635145	0.830147	0.169853	0.1572378
460	-117.5026	-79.14263	-38.35993	0.55001	0.44999	245.649	225.849	212.791	191.15	156.892	129.977	113.305	88.436	73.3933	54.8527	38.6616	13.0026	4.66617	0	1.70281	0.4499897	0.5500103	0.09783499
