Iteration	Posterior	Likelihood	Prior	clado_type_probs[1]	clado_type_probs[2]	epoch_times[1]	epoch_times[2]	epoch_times[3]	epoch_times[4]	epoch_times[5]	epoch_times[6]	epoch_times[7]	epoch_times[8]	epoch_times[9]	epoch_times[10]	epoch_times[11]	epoch_times[12]	epoch_times[13]	epoch_times[14]	extirpation_rate	p_allopatry	p_sympatry	rate_bg
0	-122.6699	-88.20194	-34.46798	0.603261	0.396739	246.177	233.744	215.507	183.35	154.011	128.955	104.023	95.2067	66.5216	45.0168	31.9622	19.0732	2.21547	0	0.7845743	0.396739	0.603261	0.01
10	-118.02	-80.84611	-37.17394	0.452041	0.547959	244.25	228.602	210.85	190.419	154.085	135	118.541	84.5677	64.5364	44.1406	20.1727	5.72811	4.89704	0	1.572077	0.547959	0.452041	0.03942594
20	-118.4665	-82.98263	-35.48391	0.767302	0.232698	244.25	222.783	209.198	184.933	141.998	138.939	117.536	85.8252	65.0847	52.6037	24.2111	12.5535	4.0843	0	0.6692928	0.2326976	0.7673024	0.02856436
30	-116.5212	-81.58133	-34.93991	0.381675	0.618325	252.86	222.309	208.145	190.758	142.133	133.057	110.36	87.45	60.3843	44.6047	26.8001	17.2377	3.91615	0	0.9175376	0.618325	0.381675	0.01404963
40	-116.1516	-80.99361	-35.15804	0.381028	0.618972	242.911	234.49	208.657	187.601	148.423	126.546	114.762	84.7657	71.2311	56.8674	37.17	14.6003	3.92496	0	0.7023669	0.6189723	0.3810277	0.02063021
50	-118.0156	-79.46127	-38.5543	0.0345514	0.965449	243.87	232.541	206.055	196.664	149.288	127.103	108.674	80.648	65.1505	46.0911	39.6331	15.9438	4.05603	0	1.901206	0.9654486	0.03455135	0.07774202
60	-117.7056	-81.22006	-36.48551	0.414612	0.585388	259.609	224.973	207.088	199.181	146.204	121.85	114.909	81.2369	77.5012	40.9444	20.7665	10.4365	4.44897	0	1.11341	0.585388	0.414612	0.04889609
70	-116.5755	-79.00238	-37.57313	0.0165285	0.983472	254.119	229.082	214.633	187.067	147.143	125.228	110.364	84.1039	76.4973	45.4764	20.9308	11.8501	4.40609	0	1.437678	0.9834715	0.01652848	0.07774333
80	-116.3539	-78.95991	-37.39403	0.0182351	0.981765	256.759	225.406	208.644	184.714	152.562	123.015	106.884	83.1519	65.433	49.9532	25.686	5.55136	4.45893	0	1.399928	0.9817649	0.01823505	0.07020743
90	-114.9273	-79.60316	-35.32413	0.385863	0.614137	252.688	234.285	201.979	182.226	150.506	138.382	115.891	80.3326	78.7359	45.1898	26.4178	12.3498	4.84809	0	0.9422059	0.6141373	0.3858627	0.0199804
100	-117.2994	-79.73789	-37.56154	0.00248399	0.997516	256.751	230.108	209.6	193.753	141.84	137.694	115.348	88.7303	75.0923	52.134	35.897	12.5086	4.10772	0	1.474938	0.997516	0.002483987	0.07116394
110	-117.804	-81.60065	-36.20331	0.777172	0.222828	242.228	226.083	208.595	199.214	146.577	130.85	113.265	81.1388	76.8787	57.6154	26.4458	7.71951	4.9329	0	1.13955	0.2228283	0.7771717	0.03522076
120	-117.8884	-80.22791	-37.66045	0.355238	0.644762	242.448	228.181	207.623	199.998	150.178	137.059	118.275	88.1524	72.7543	58.5806	22.8704	10.6792	4.59719	0	1.645394	0.6447624	0.3552376	0.05492272
130	-116.5229	-79.8824	-36.64054	0.186404	0.813596	250.124	228.864	203.033	198.314	153.221	133.693	109.507	82.5388	67.2863	54.9085	23.093	9.3513	4.90309	0	1.30967	0.8135956	0.1864044	0.03959624
140	-117.7885	-80.92728	-36.86124	0.193435	0.806565	240.217	238.15	205.81	188.118	148.545	137.221	101.504	82.1033	71.156	54.5726	24.4954	13.6985	3.68728	0	1.098025	0.8065645	0.1934355	0.07310485
150	-117.2071	-80.33013	-36.877	0.0427946	0.957205	255.172	236.11	211.37	191.039	144.655	126.112	105.264	83.5644	73.644	47.99	21.838	13.2731	4.04198	0	1.017195	0.9572054	0.04279463	0.08471168
160	-116.5443	-80.06199	-36.48233	0.271964	0.728036	253.705	227.168	205.766	186.546	142.033	121.843	104.354	81.4739	67.5282	45.5231	22.0024	18.7678	4.47632	0	1.412209	0.7280357	0.2719643	0.02751551
170	-120.3943	-82.90368	-37.49061	0.017785	0.982215	242.079	228.01	203.447	198.23	140.8	122.756	100.111	83.0191	65.2827	41.9699	22.7042	18.1471	2.80048	0	1.051819	0.982215	0.01778499	0.1481363
180	-116.3853	-80.30313	-36.08215	0.621754	0.378246	243.599	223.994	203.918	194.929	159.896	126.584	118.93	90.0821	74.1002	42.5062	33.9924	11.2645	4.8412	0	1.385586	0.378246	0.621754	0.01946591
190	-116.8781	-80.15049	-36.72761	0.0585071	0.941493	252.661	224.553	210.226	198.012	155.513	122.591	117.362	94.2049	73.5586	51.2153	23.2315	7.67512	4.70022	0	1.168878	0.9414929	0.05850714	0.05644459
200	-119.3825	-81.26661	-38.11589	0.126185	0.873815	255.626	224.915	202.838	191.422	155.983	129.403	100.268	92.5619	71.8858	44.7436	25.5493	15.2423	3.95781	0	1.726058	0.8738146	0.1261854	0.07294193
