Iteration	Posterior	Likelihood	Prior	clado_type_probs[1]	clado_type_probs[2]	epoch_times[1]	epoch_times[2]	epoch_times[3]	epoch_times[4]	epoch_times[5]	epoch_times[6]	epoch_times[7]	epoch_times[8]	epoch_times[9]	epoch_times[10]	epoch_times[11]	epoch_times[12]	epoch_times[13]	epoch_times[14]	extirpation_rate	p_allopatry	p_sympatry	rate_bg
0	-118.6868	-84.24203	-34.4448	0.237155	0.762845	243.665	223.866	201.699	185.72	140.812	123.384	100.928	86.0731	76.9345	50.8869	30.9628	15.9176	3.99285	0	0.7423338	0.7628455	0.2371545	0.01
10	-117.296	-82.17316	-35.12281	0.355072	0.644928	245.978	225.303	211.216	180.201	156.156	123.821	101.294	80.8551	74.2561	40.9276	26.3475	17.667	4.76498	0	1.167502	0.6449284	0.3550716	0.01136969
20	-116.8697	-82.08207	-34.78759	0.420037	0.579963	242.897	224.208	218.913	184.092	148.11	124.784	106.382	81.8883	72.7538	44.2601	20.0619	14.9776	4.85961	0	0.8268034	0.5799634	0.4200366	0.0133156
30	-122.4022	-83.33814	-39.06411	0.512439	0.487561	240.763	236.538	218.157	194.706	152.228	120.068	106.88	83.7577	79.1038	50.3185	29.2301	13.2787	4.90599	0	1.935021	0.4875615	0.5124385	0.1204011
40	-117.9618	-82.32028	-35.64155	0.78221	0.21779	242.354	228.876	218.257	191.82	156.058	122.725	107.459	92.3879	73.7275	54.7073	35.348	19.6581	4.71132	0	0.771883	0.2177903	0.7822097	0.03259856
50	-117.6424	-82.79865	-34.84377	0.59157	0.40843	240.527	237.249	217.313	197.065	156.507	131.021	111.514	96.1924	72.6076	55.8386	27.8506	10.151	4.61311	0	0.9427923	0.4084298	0.5915702	0.01234939
60	-116.5161	-80.74095	-35.77519	0.169853	0.830147	248.129	228.889	209.629	182.521	156.123	120.429	116.23	98.3974	72.0216	41.2596	38.3879	15.5656	4.9345	0	1.13089	0.8301473	0.1698527	0.02330887
70	-117.2292	-82.11106	-35.11814	0.620399	0.379601	249.334	221.873	203.132	189.463	159.745	135.768	116.857	99.7255	69.8827	47.5892	35.6856	12.7962	4.00592	0	0.9050489	0.3796009	0.6203991	0.01705246
80	-116.5701	-81.57024	-34.99991	0.328136	0.671864	255.614	220.992	203.646	199.327	157.909	131.599	110.306	97.628	62.7396	48.6098	36.1841	5.18752	4.65897	0	0.7819088	0.6718636	0.3281364	0.01705246
90	-115.974	-80.34163	-35.63232	0.287972	0.712028	242.882	221.865	203.426	192.63	158.84	129.528	108.458	94.692	62.8956	42.2942	24.8307	19.6529	4.84217	0	0.8332706	0.7120277	0.2879723	0.03080849
