Iteration	start_1	end_1	start_2	end_2	start_3	end_3	start_4	end_4	start_5	end_5	start_6	end_6	start_7	end_7	start_8	end_8	start_9	end_9	start_10	end_10	start_11	end_11	start_12	end_12	start_13	end_13	start_14	end_14	start_15	end_15	start_16	end_16	start_17	end_17	start_18	end_18	start_19	end_19	start_20	end_20	start_21	end_21	start_22	end_22	start_23	end_23	start_24	end_24	start_25	end_25	start_26	end_26	start_27	end_27	start_28	end_28	start_29	end_29	start_30	end_30	start_31	end_31	start_32	end_32	start_33	end_33	start_34	end_34	start_35	end_35	start_36	end_36	start_37	end_37	start_38	end_38	start_39	end_39	start_40	end_40	start_41	end_41	start_42	end_42	start_43	end_43	start_44	end_44	start_45	end_45	start_46	end_46	start_47	end_47	start_48	end_48	start_49	end_49	start_50	end_50	start_51	end_51	start_52	end_52	start_53	end_53	start_54	end_54	start_55	end_55	start_56	end_56	start_57	end_57	start_58	end_58	start_59	end_59	start_60	end_60	start_61	end_61	start_62	end_62	start_63	end_63	start_64	end_64	start_65	end_65	start_66	end_66	start_67	end_67	start_68	end_68	start_69	end_69	start_70	end_70	start_71	end_71	start_72	end_72	start_73	end_73	start_74	end_74	start_75	end_75
0	4	4	5	5	5	5	54	31	8	45	1	1	2	2	3	3	3	57	4	4	5	5	5	5	5	5	4	4	4	4	5	5	5	5	3	31	3	12	3	12	3	3	3	3	4	4	12	12	5	5	5	5	5	5	5	16	5	16	5	5	5	5	5	5	5	5	5	4	5	5	4	4	5	5	5	5	5	16	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	3	12	3	3	3	3	3	3	3	3	3	3	5	5	4	4	5	5	5	5	16	16	16	16	16	16	31	31	3	3	2	7	3	22	3	3	6	61	19	56	1	40	5	5	1	16	1	1
10	18	4	5	5	5	5	4	31	4	45	1	1	2	2	1	3	36	57	5	4	5	5	5	5	5	5	5	4	5	4	5	5	5	5	6	31	8	12	1	12	3	3	9	3	4	4	4	12	5	5	5	5	5	5	5	16	5	16	5	5	5	5	5	5	5	5	4	4	5	5	4	4	5	5	5	5	16	16	5	16	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	2	5	2	5	6	2	6	4	6	9	19	6	19	8	6	19	6	19	5	5	5	5	5	5	5	5	5	5	5	5	21	5	4	21	4	48	6	7	20	20	4	20	21	4	6	41	1	6	5	5	1	39	1	1
20	3	4	5	5	5	5	33	31	4	45	1	1	12	2	3	3	3	57	5	4	5	5	5	5	5	5	4	4	16	4	5	5	5	5	24	31	3	12	3	12	4	3	3	3	4	4	4	12	5	5	5	5	5	5	5	16	5	16	5	5	5	5	5	5	5	5	4	4	16	5	4	4	5	5	5	5	16	16	5	16	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	59	5	5	5	6	59	2	4	2	12	3	2	6	3	7	49	3	22	5	5	5	16	5	5	5	5	5	5	5	5	5	5	38	15	6	3	7	24	19	23	3	19	2	33	4	51	1	20	5	5	1	15	1	1
30	15	4	5	5	5	5	1	31	3	45	7	1	2	2	1	3	1	57	5	4	5	5	5	5	5	5	5	4	5	4	5	5	5	5	2	31	4	12	3	12	3	3	3	3	4	4	4	12	5	5	5	5	5	5	5	16	5	16	5	5	5	5	5	5	5	5	4	4	5	5	4	4	5	5	5	5	16	16	5	16	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	3	5	3	5	52	3	3	4	42	3	6	42	18	12	19	18	39	19	5	5	5	5	5	5	5	5	5	5	5	5	5	5	14	39	1	1	8	7	59	8	1	59	1	1	3	26	1	52	5	5	1	15	1	1
40	5	4	5	5	5	5	15	31	2	45	1	1	2	2	6	3	32	57	5	4	5	5	5	5	5	5	4	4	4	4	5	5	5	5	4	31	4	12	4	12	3	3	3	3	4	4	4	12	5	5	5	5	5	5	5	16	5	16	5	5	5	5	5	5	5	5	4	4	5	5	4	4	5	5	5	5	16	16	5	16	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	1	5	4	4	4	3	4	4	4	4	4	4	4	4	5	5	4	4	5	5	5	5	5	5	41	16	31	41	1	31	1	32	32	7	1	32	1	1	1	27	13	1	1	13	5	5	1	5	1	1
50	37	4	5	5	5	5	35	31	2	45	1	1	2	2	6	3	6	57	4	4	5	5	5	5	5	5	4	4	4	4	5	5	5	5	4	31	4	12	4	12	12	3	3	3	4	4	12	12	5	5	5	5	5	5	5	16	5	16	5	5	5	5	5	5	5	5	4	4	5	5	4	4	5	5	5	5	16	16	5	16	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	1	5	4	12	6	12	4	20	4	4	4	4	6	4	5	5	4	4	5	5	5	5	16	16	16	16	56	16	43	56	6	6	2	7	6	2	6	6	1	35	13	43	1	13	5	5	1	56	1	1
60	5	4	5	5	5	5	20	31	47	45	17	1	2	2	32	3	3	57	5	4	5	5	5	5	5	5	5	4	5	4	5	5	5	5	4	31	4	12	11	12	49	3	2	3	4	4	12	12	5	5	5	5	5	5	5	16	5	16	5	5	5	5	5	5	5	5	4	4	5	5	4	4	5	5	5	5	16	16	5	16	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	3	12	24	58	4	24	4	11	4	4	4	4	5	5	5	5	5	5	5	5	5	5	5	5	21	5	52	41	6	47	1	32	36	47	6	36	6	20	5	52	1	5	5	5	1	5	1	1
70	3	4	5	5	5	5	2	31	2	45	1	1	2	2	2	3	2	57	4	4	5	5	5	5	5	5	4	4	4	4	5	5	5	5	4	31	4	12	4	12	3	3	3	3	4	4	4	12	5	5	5	5	5	5	5	16	5	16	5	5	5	5	5	5	5	5	4	4	5	5	4	4	5	5	5	5	16	16	5	16	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	13	5	4	4	4	3	4	4	4	4	4	4	4	4	5	5	4	4	5	5	5	5	16	16	16	16	45	16	6	45	2	2	2	7	2	2	2	2	6	2	5	6	1	13	5	5	1	15	1	1
80	2	4	5	5	5	5	40	31	3	45	22	1	3	2	4	3	4	57	5	4	5	5	5	5	5	5	5	4	5	4	5	5	5	5	3	31	2	12	47	12	3	3	3	3	4	4	12	12	5	5	5	5	5	5	5	16	5	16	5	5	5	5	5	5	5	5	4	4	5	5	16	4	5	5	5	5	16	16	5	16	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	32	5	2	5	4	32	6	12	2	3	37	18	3	47	3	3	6	37	5	5	5	5	5	5	5	5	5	5	5	5	5	5	1	21	6	4	20	22	4	37	6	20	1	40	4	1	1	4	15	5	1	28	1	1
90	59	4	5	5	5	5	48	31	50	45	1	1	2	2	4	3	19	57	4	4	5	5	5	5	5	5	4	4	4	4	5	5	5	5	4	31	4	12	4	12	12	3	3	3	4	4	4	12	5	5	5	5	5	5	5	16	5	16	5	5	5	5	5	5	5	5	4	4	5	5	4	4	5	5	5	5	16	16	5	16	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	15	5	5	5	3	15	4	4	4	12	4	4	4	4	4	4	4	4	5	5	4	4	5	5	5	5	16	16	16	16	61	16	61	61	6	37	4	7	3	50	6	19	4	48	40	61	1	40	5	5	1	59	1	1
