Iteration	start_1	end_1	start_2	end_2	start_3	end_3	start_4	end_4	start_5	end_5	start_6	end_6	start_7	end_7	start_8	end_8	start_9	end_9	start_10	end_10	start_11	end_11	start_12	end_12	start_13	end_13	start_14	end_14	start_15	end_15	start_16	end_16	start_17	end_17	start_18	end_18	start_19	end_19	start_20	end_20	start_21	end_21	start_22	end_22	start_23	end_23	start_24	end_24	start_25	end_25	start_26	end_26	start_27	end_27	start_28	end_28	start_29	end_29	start_30	end_30	start_31	end_31	start_32	end_32	start_33	end_33	start_34	end_34	start_35	end_35	start_36	end_36	start_37	end_37	start_38	end_38	start_39	end_39	start_40	end_40	start_41	end_41	start_42	end_42	start_43	end_43	start_44	end_44	start_45	end_45	start_46	end_46	start_47	end_47	start_48	end_48	start_49	end_49	start_50	end_50	start_51	end_51	start_52	end_52	start_53	end_53	start_54	end_54	start_55	end_55	start_56	end_56	start_57	end_57	start_58	end_58	start_59	end_59	start_60	end_60	start_61	end_61	start_62	end_62	start_63	end_63	start_64	end_64	start_65	end_65	start_66	end_66	start_67	end_67	start_68	end_68	start_69	end_69	start_70	end_70	start_71	end_71	start_72	end_72	start_73	end_73	start_74	end_74	start_75	end_75
0	49	4	5	5	5	5	5	5	5	5	5	5	5	16	5	5	5	4	5	4	5	5	5	5	5	5	5	5	5	5	5	5	5	16	59	57	8	45	1	1	2	2	21	31	3	3	3	31	3	12	3	12	3	3	3	3	4	4	12	12	5	5	5	5	5	5	4	4	4	4	4	4	5	5	5	5	5	5	4	4	4	4	5	5	5	5	16	16	39	16	3	12	3	3	3	3	3	3	3	3	3	3	3	53	3	40	2	7	1	22	38	59	5	52	5	15	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	1	5	5	5	1	61	1	1
10	11	4	5	5	5	5	5	5	5	5	5	5	5	16	5	5	4	4	4	4	5	5	5	5	5	5	5	5	5	5	5	5	5	16	2	57	6	45	17	1	2	2	6	31	22	3	19	31	6	12	3	12	7	3	2	3	4	4	3	12	5	5	5	5	5	5	5	4	5	4	5	4	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	20	12	6	7	7	20	3	19	3	19	3	22	52	15	3	47	2	32	7	18	20	7	4	37	3	61	5	5	5	5	4	4	5	16	5	5	5	5	5	5	5	5	5	5	5	5	4	5	4	5	12	4	1	12	6	5	1	36	1	1
20	1	4	5	5	5	5	5	5	5	5	5	5	5	16	5	5	4	4	4	4	5	5	5	5	5	5	5	5	5	5	5	5	5	16	2	57	2	45	1	1	7	2	9	31	2	3	4	31	4	12	4	12	3	3	3	3	4	4	4	12	5	5	5	5	5	5	4	4	4	4	4	4	5	5	5	5	5	5	4	4	4	4	5	5	15	5	16	31	39	16	4	4	4	3	4	4	4	4	4	4	4	4	6	55	48	9	9	7	2	9	1	2	6	48	1	6	5	5	5	5	4	4	5	16	5	5	5	5	5	5	5	5	5	5	5	5	17	5	6	5	1	17	1	1	13	5	1	13	1	1
30	6	4	5	5	5	5	5	5	5	5	5	5	5	16	5	5	4	4	4	4	5	5	5	5	5	5	5	5	5	5	5	5	5	16	52	57	1	45	1	1	7	2	19	31	6	3	4	31	4	12	4	12	3	3	3	3	4	4	12	12	5	5	5	5	5	5	4	4	4	4	4	4	5	5	5	5	5	5	10	4	10	10	5	5	5	5	29	29	54	29	4	12	4	3	4	4	4	4	4	4	4	4	27	54	19	19	1	7	1	1	6	52	3	19	8	27	5	5	5	5	4	4	5	16	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	1	27	51	5	1	51	1	1
40	17	4	5	5	5	5	5	5	5	5	5	5	5	16	5	5	4	4	4	4	5	5	5	5	5	5	5	5	5	5	5	5	5	16	1	57	7	45	17	1	2	2	20	31	4	3	3	31	3	12	3	12	3	3	3	3	4	4	12	12	5	5	5	5	5	5	4	4	4	4	4	4	5	5	5	5	5	5	4	4	4	4	5	5	5	5	16	16	56	16	3	12	3	3	3	3	3	3	3	3	3	3	5	56	20	20	1	32	1	7	2	1	1	36	1	13	5	5	5	5	4	4	5	16	5	5	5	5	5	5	5	5	5	5	5	5	3	5	5	5	21	15	1	38	5	5	1	38	1	1
50	49	4	5	5	5	5	5	5	5	5	5	5	5	16	5	5	4	4	4	4	5	5	5	5	5	5	5	5	5	5	5	5	5	16	6	57	57	45	1	1	2	2	4	31	6	3	4	31	4	12	4	12	3	3	3	3	4	4	4	12	5	5	5	5	5	5	4	4	4	4	4	4	5	5	5	5	5	5	4	4	4	4	5	5	5	5	16	16	21	16	4	4	4	3	4	4	4	4	4	4	4	4	6	41	6	20	2	7	30	57	30	55	6	55	1	6	5	5	5	5	4	4	5	16	5	5	5	5	5	5	5	5	5	5	5	5	1	5	5	5	1	13	1	1	5	5	1	61	1	1
60	9	4	5	5	5	5	5	5	5	5	5	5	5	16	5	5	4	4	4	4	16	5	5	5	5	5	5	5	5	5	5	5	5	16	51	57	2	45	1	1	7	2	3	31	3	3	3	31	3	12	6	12	3	3	3	3	4	4	12	12	5	5	5	5	5	5	4	4	4	4	4	4	5	5	5	5	5	5	4	4	4	4	5	5	5	5	16	16	55	16	3	12	3	3	3	3	3	19	3	3	3	3	33	62	3	3	8	7	3	22	22	59	1	22	8	33	5	5	5	5	4	4	5	16	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	1	27	5	5	1	28	1	1
70	6	4	5	5	5	5	5	5	5	5	5	5	5	16	5	5	16	4	4	4	5	5	5	5	5	5	5	5	5	5	5	5	5	16	1	57	3	45	1	1	2	2	3	31	3	3	4	31	4	12	4	12	3	3	3	3	4	4	12	12	5	5	5	5	5	5	4	4	4	4	4	4	5	5	5	5	5	5	4	4	4	4	5	5	5	5	16	16	41	16	4	12	4	3	4	4	4	4	4	4	4	4	1	41	3	3	34	7	7	34	7	7	13	22	1	13	5	5	5	5	5	16	5	5	5	5	5	5	5	5	5	5	5	5	5	5	1	5	1	5	1	1	1	1	45	5	1	61	1	1
80	6	4	5	5	5	5	5	5	5	5	5	5	5	16	5	5	4	4	4	4	5	5	5	5	5	5	5	5	5	5	5	5	5	16	2	57	3	45	1	1	2	2	11	31	2	3	4	31	4	12	4	12	3	3	3	3	4	4	12	12	5	5	5	5	5	5	4	4	4	4	4	4	5	5	5	5	5	5	4	4	4	4	5	5	5	5	16	16	31	16	36	12	4	3	4	36	4	4	4	4	4	4	21	31	11	11	34	7	6	34	6	18	6	36	1	21	5	5	5	5	5	4	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	1	13	52	5	1	52	1	1
90	47	4	5	5	5	5	5	5	5	5	5	5	5	16	5	5	4	4	4	4	5	5	5	5	5	5	5	5	5	5	5	5	5	16	54	57	7	45	1	1	7	2	28	31	2	3	4	31	4	12	4	12	19	3	3	3	4	4	3	12	5	5	5	5	5	5	4	4	4	4	4	4	5	5	5	5	5	5	4	4	4	4	5	5	5	5	16	16	53	16	4	12	4	19	4	4	4	4	20	4	6	20	6	53	5	28	2	7	1	7	52	54	26	52	17	51	5	5	5	5	16	4	5	16	5	5	5	5	5	5	5	5	5	5	5	5	1	5	40	5	1	52	1	17	5	5	1	59	1	1
