Iteration	start_1	end_1	start_2	end_2	start_3	end_3	start_4	end_4	start_5	end_5	start_6	end_6	start_7	end_7	start_8	end_8	start_9	end_9	start_10	end_10	start_11	end_11	start_12	end_12	start_13	end_13	start_14	end_14	start_15	end_15	start_16	end_16	start_17	end_17	start_18	end_18	start_19	end_19	start_20	end_20	start_21	end_21	start_22	end_22	start_23	end_23	start_24	end_24	start_25	end_25	start_26	end_26	start_27	end_27	start_28	end_28	start_29	end_29	start_30	end_30	start_31	end_31	start_32	end_32	start_33	end_33	start_34	end_34	start_35	end_35	start_36	end_36	start_37	end_37	start_38	end_38	start_39	end_39	start_40	end_40	start_41	end_41	start_42	end_42	start_43	end_43	start_44	end_44	start_45	end_45	start_46	end_46	start_47	end_47	start_48	end_48	start_49	end_49	start_50	end_50	start_51	end_51	start_52	end_52	start_53	end_53	start_54	end_54	start_55	end_55	start_56	end_56	start_57	end_57	start_58	end_58	start_59	end_59	start_60	end_60	start_61	end_61	start_62	end_62	start_63	end_63	start_64	end_64	start_65	end_65	start_66	end_66	start_67	end_67	start_68	end_68	start_69	end_69	start_70	end_70	start_71	end_71	start_72	end_72	start_73	end_73	start_74	end_74	start_75	end_75
0	21	31	3	3	15	57	8	45	17	1	2	2	3	31	3	12	3	12	3	3	3	3	4	4	12	12	5	5	4	4	4	4	4	4	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	16	5	16	5	5	4	4	4	4	5	5	5	5	5	5	5	5	5	5	5	5	4	4	5	5	5	5	5	5	1	16	5	5	5	5	4	4	16	16	16	16	16	16	16	16	16	16	16	16	5	5	5	16	5	5	5	5	5	5	5	5	4	4	4	4	16	16	16	16	21	16	3	12	3	3	3	3	3	3	3	3	3	3	5	40	2	32	3	22	15	15	3	15	5	40	5	5	1	5	1	1
10	13	31	4	3	4	57	34	45	8	1	2	2	3	31	6	12	47	12	37	3	3	3	4	4	4	12	5	5	5	4	5	4	5	4	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	16	5	16	5	5	4	4	5	4	5	5	5	5	5	5	5	5	5	5	5	5	5	4	5	5	5	5	5	5	1	5	5	5	5	5	5	16	5	5	5	5	5	5	5	5	5	5	5	5	5	5	2	5	6	5	20	18	5	5	5	5	5	5	5	5	5	5	5	5	28	5	6	4	6	37	2	6	18	47	6	34	6	18	3	53	2	22	4	34	4	4	3	4	13	27	4	27	1	20	1	1
20	3	31	4	3	4	57	36	45	1	1	2	2	3	31	3	12	3	12	3	3	3	3	4	4	12	12	5	5	4	4	4	4	4	4	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	16	5	16	5	5	4	4	4	4	5	5	5	5	5	5	5	5	5	5	5	5	17	4	5	5	5	5	5	5	1	38	5	5	5	5	4	4	5	16	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	4	4	4	4	16	16	16	16	30	16	3	12	3	3	3	3	3	3	3	3	3	3	52	46	1	7	36	48	4	4	6	36	3	19	35	52	1	54	1	1
30	2	31	2	3	2	57	2	45	1	1	2	2	2	31	3	12	3	12	3	3	3	3	4	4	12	12	5	5	4	4	4	4	4	4	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	16	5	16	5	5	4	4	4	4	5	5	5	5	5	5	5	5	5	5	5	5	4	4	5	5	5	5	29	5	1	29	5	5	5	5	4	4	5	16	5	5	5	5	5	5	5	5	5	5	5	5	5	5	13	5	1	13	5	5	5	5	4	4	4	4	16	16	16	16	56	16	3	12	3	3	2	3	3	3	2	9	2	2	1	62	2	7	2	2	2	2	2	2	1	2	1	1	1	1	1	1
40	4	31	22	3	6	57	49	45	1	1	2	2	6	31	3	12	19	12	3	3	3	3	4	4	12	12	5	5	4	4	4	4	4	4	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	16	5	16	5	5	4	4	4	4	5	5	5	5	5	5	5	5	5	5	5	5	4	4	5	5	5	5	5	5	1	16	5	5	5	5	5	4	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	38	5	5	5	16	5	4	4	4	4	16	16	21	16	28	21	6	12	6	3	6	6	6	19	6	6	6	6	6	53	1	7	1	49	47	47	58	47	6	58	4	6	1	54	1	1
50	6	31	4	3	4	57	2	45	1	1	7	2	3	31	6	12	6	12	3	3	25	3	4	4	12	12	5	5	5	4	5	4	5	4	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	16	5	16	5	5	4	4	4	4	5	5	5	5	5	5	5	5	5	5	5	5	5	4	5	5	5	5	5	5	1	5	5	5	5	5	5	4	5	5	5	5	5	5	5	5	5	5	5	5	5	5	40	5	5	5	1	40	5	5	5	5	5	5	5	5	5	5	5	5	15	5	20	12	4	25	3	20	3	6	3	3	2	3	5	28	2	7	58	2	4	4	35	58	5	35	13	5	1	13	1	1
60	3	31	1	3	1	57	2	45	1	1	9	2	2	31	4	12	7	12	6	3	12	3	4	4	3	12	5	5	5	4	5	4	5	4	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	16	5	16	5	5	4	4	4	4	5	5	5	5	5	5	5	5	5	5	5	5	5	4	5	5	5	5	5	5	1	5	5	5	5	5	4	4	5	16	5	5	5	5	5	5	5	5	5	5	5	5	53	5	1	5	3	59	5	5	5	5	5	5	5	5	5	5	5	5	5	5	4	12	19	37	3	37	19	23	3	34	9	3	52	28	3	22	1	9	1	1	1	1	4	8	6	61	1	19	1	1
70	4	31	4	3	4	57	2	45	1	1	2	2	3	31	2	12	2	12	3	3	3	3	4	4	4	12	5	5	5	4	5	4	5	4	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	16	5	16	5	5	4	4	5	4	5	5	5	5	5	5	5	5	5	5	5	5	5	4	5	5	5	5	5	5	1	5	5	5	5	5	5	16	5	5	5	5	5	5	5	5	5	5	5	5	5	5	3	5	5	5	1	15	5	5	5	5	5	5	5	5	5	5	5	5	5	5	3	4	3	3	3	3	3	2	3	3	4	3	3	16	19	7	4	34	4	4	4	4	3	4	1	3	1	1	1	1
80	1	31	2	3	2	57	34	45	1	1	9	2	1	31	4	12	20	12	3	3	50	3	4	4	12	12	5	5	5	4	5	4	5	4	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	16	5	16	5	5	4	4	4	4	4	5	5	5	5	5	5	5	5	5	5	5	5	4	5	5	5	5	5	5	1	5	5	5	5	5	4	4	5	4	5	5	5	5	5	5	5	5	5	5	5	5	4	5	29	5	6	29	5	5	5	5	5	5	5	5	5	5	5	5	43	5	2	12	3	50	1	9	2	20	1	7	1	1	3	43	6	22	37	34	2	2	50	50	3	58	12	3	1	37	1	1
90	3	31	3	3	28	57	6	45	1	1	2	2	4	31	4	12	3	12	8	3	3	3	4	4	4	12	5	5	4	4	4	4	4	4	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	16	5	16	5	5	4	4	4	4	5	5	5	5	5	5	5	5	5	5	5	5	5	4	5	5	5	5	5	5	1	5	5	5	5	5	4	4	5	16	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	27	5	5	5	5	5	4	4	4	4	16	16	16	16	16	16	11	4	3	8	20	25	4	12	4	4	4	20	1	16	34	7	3	34	28	28	15	28	13	15	1	13	1	27	1	1
