Iteration	start_1	end_1	start_2	end_2	start_3	end_3	start_4	end_4	start_5	end_5	start_6	end_6	start_7	end_7	start_8	end_8	start_9	end_9	start_10	end_10	start_11	end_11	start_12	end_12	start_13	end_13	start_14	end_14	start_15	end_15	start_16	end_16	start_17	end_17	start_18	end_18	start_19	end_19	start_20	end_20	start_21	end_21	start_22	end_22	start_23	end_23	start_24	end_24	start_25	end_25	start_26	end_26	start_27	end_27	start_28	end_28	start_29	end_29	start_30	end_30	start_31	end_31	start_32	end_32	start_33	end_33	start_34	end_34	start_35	end_35	start_36	end_36	start_37	end_37	start_38	end_38	start_39	end_39	start_40	end_40	start_41	end_41	start_42	end_42	start_43	end_43	start_44	end_44	start_45	end_45	start_46	end_46	start_47	end_47	start_48	end_48	start_49	end_49	start_50	end_50	start_51	end_51	start_52	end_52	start_53	end_53	start_54	end_54	start_55	end_55	start_56	end_56	start_57	end_57	start_58	end_58	start_59	end_59	start_60	end_60	start_61	end_61	start_62	end_62	start_63	end_63	start_64	end_64	start_65	end_65	start_66	end_66	start_67	end_67	start_68	end_68	start_69	end_69	start_70	end_70	start_71	end_71	start_72	end_72	start_73	end_73	start_74	end_74	start_75	end_75
0	6	57	2	45	1	1	2	2	6	3	6	31	3	31	3	12	3	12	3	3	3	3	4	4	4	12	5	5	5	5	5	5	5	5	5	5	4	4	4	4	4	4	5	5	5	5	5	5	5	16	5	16	5	5	5	5	4	4	4	4	5	5	5	5	5	5	5	5	5	5	4	4	5	5	5	5	5	5	1	16	5	5	5	5	5	4	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	4	4	4	4	5	5	5	5	16	16	5	5	41	16	6	4	3	3	3	19	3	3	3	3	3	3	6	56	6	6	19	7	6	34	6	6	6	6	17	6	1	38	1	1
10	1	57	1	45	1	1	2	2	6	3	46	31	4	31	4	12	4	12	3	3	3	3	4	4	12	12	5	5	5	5	5	5	5	5	5	5	12	4	4	4	4	4	5	5	5	5	5	5	5	16	5	16	5	5	5	5	4	4	16	4	5	5	5	5	5	5	5	5	5	5	39	4	5	5	5	5	5	5	1	39	5	5	5	5	5	16	5	5	5	5	5	5	5	5	5	5	5	5	5	5	1	5	1	5	5	1	4	4	3	12	5	5	5	5	15	15	5	5	61	15	4	12	4	3	4	4	4	4	4	4	4	4	1	61	13	62	1	7	1	1	1	1	1	13	5	1	1	5	1	1
20	3	57	35	45	1	1	2	2	28	3	6	31	6	31	20	12	3	12	3	3	3	3	4	4	4	12	5	5	5	5	5	5	5	5	5	5	5	4	5	4	5	4	5	5	5	5	5	5	5	16	5	16	5	5	5	5	4	4	5	4	5	5	5	5	5	5	5	5	5	5	9	4	5	5	5	5	5	5	1	28	5	5	5	5	5	16	5	5	5	5	5	5	5	5	5	5	5	5	5	5	6	5	37	5	1	37	5	5	5	5	5	5	5	5	5	5	5	5	5	5	2	4	2	3	20	2	6	37	6	6	6	20	6	21	6	53	2	7	3	48	1	3	3	17	37	19	1	49	1	1
30	1	57	1	45	1	1	2	2	3	3	3	31	3	31	3	12	3	12	3	3	3	3	4	4	12	12	5	5	5	5	5	5	5	5	5	5	4	4	4	4	4	4	5	5	5	5	5	5	5	16	5	16	5	5	5	5	4	4	4	4	5	5	5	5	5	5	5	5	5	5	5	4	5	5	5	5	5	5	1	5	5	5	5	5	5	4	5	5	5	5	5	5	5	5	5	5	5	5	5	5	21	5	6	5	6	21	4	4	4	4	5	5	56	5	56	56	5	5	14	56	3	12	3	3	3	3	3	3	3	3	3	3	3	28	3	3	1	7	1	1	8	1	15	8	5	15	1	21	1	1
40	4	57	20	45	1	1	18	2	12	3	6	31	34	31	4	12	4	12	4	3	3	3	4	4	12	12	5	5	5	5	5	5	5	5	5	5	5	4	5	4	5	4	5	5	5	5	5	5	5	16	5	16	5	5	5	5	4	4	4	4	5	5	5	5	5	5	5	5	5	5	6	4	5	5	5	5	3	5	1	19	5	5	5	5	5	4	5	5	5	5	5	5	5	5	5	5	5	5	5	5	56	5	1	5	1	61	5	5	5	5	5	5	5	5	5	5	5	5	5	5	6	12	4	12	6	20	4	4	42	50	22	58	4	43	5	37	2	32	22	36	2	42	4	14	5	4	1	13	1	1
50	59	57	1	45	1	1	2	2	6	3	20	31	4	31	4	12	4	12	3	3	3	3	4	4	12	12	5	5	5	5	5	5	5	5	5	5	4	4	4	4	4	4	5	5	5	5	5	5	5	16	5	16	5	5	5	5	4	4	4	4	5	5	5	5	5	5	5	5	5	5	39	4	5	5	5	5	5	5	1	39	5	5	5	5	5	4	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	4	4	4	4	5	5	5	5	16	16	5	5	62	16	4	12	4	3	4	4	4	4	4	4	4	4	1	62	6	20	1	7	1	1	52	59	40	52	13	52	1	13	1	1
60	13	57	3	45	1	1	7	2	3	3	3	31	3	31	3	12	3	12	3	3	3	3	4	4	12	12	5	5	5	5	5	5	5	5	5	5	4	4	4	4	4	4	5	5	5	5	5	5	5	16	5	16	5	5	5	5	4	4	4	4	5	5	5	5	5	5	5	5	5	5	5	4	5	5	5	5	5	5	1	5	5	5	5	5	5	4	5	5	5	5	5	5	5	5	5	5	26	5	5	5	5	26	5	5	13	5	4	4	4	4	5	5	5	5	16	16	5	5	16	16	3	12	3	3	3	3	3	3	3	3	3	3	1	31	3	3	3	7	3	3	8	27	1	8	1	1	1	13	1	1
70	4	57	1	45	1	1	2	2	13	3	3	31	18	31	2	12	17	12	3	3	8	3	4	4	4	12	5	5	5	5	5	5	5	5	5	5	5	4	5	4	5	4	5	5	5	5	5	5	5	16	5	16	5	5	5	5	4	4	4	4	5	5	5	5	5	5	5	5	5	5	5	4	5	5	5	5	5	5	1	5	5	5	5	5	5	4	5	5	5	5	5	5	5	5	5	5	5	5	5	5	3	5	3	5	3	3	5	5	5	5	5	5	5	5	5	5	5	5	13	5	3	4	3	8	1	3	2	32	1	18	2	1	1	26	6	27	1	7	25	1	22	25	1	47	3	1	1	3	1	1
80	11	57	4	45	1	1	2	2	8	3	2	31	4	31	34	12	4	12	3	3	3	3	4	4	12	12	5	5	5	5	5	5	5	5	5	5	5	4	5	4	5	4	5	5	5	5	5	5	5	16	5	16	5	5	5	5	4	4	4	4	5	5	5	5	5	5	5	5	5	5	5	4	5	5	5	5	5	5	1	5	5	5	5	5	5	4	5	5	5	5	5	5	5	5	5	5	5	5	5	5	6	5	6	5	6	6	5	5	5	5	5	5	5	5	5	5	5	5	5	5	3	12	2	3	2	9	4	50	20	4	6	36	10	21	6	22	18	7	4	36	11	11	4	36	1	10	1	17	1	1
90	1	57	6	45	2	1	2	2	1	3	3	31	4	31	3	12	11	12	9	3	4	3	4	4	12	12	5	5	5	5	5	5	5	5	5	5	5	4	5	4	5	4	5	5	5	5	5	5	5	16	5	16	5	5	5	5	4	4	4	4	5	5	5	5	5	5	5	5	5	5	41	4	5	5	5	5	5	5	1	41	5	5	5	5	5	4	5	5	5	5	5	5	5	5	5	5	5	5	5	5	6	5	3	5	6	19	5	5	5	5	5	5	5	5	5	5	5	5	5	5	4	12	4	25	3	4	18	25	19	36	3	19	1	15	1	8	6	2	1	6	1	1	49	1	6	49	1	6	1	1
