Iteration	Posterior	Likelihood	Prior	clado_type_probs[1]	clado_type_probs[2]	epoch_times[1]	epoch_times[2]	epoch_times[3]	epoch_times[4]	epoch_times[5]	epoch_times[6]	epoch_times[7]	epoch_times[8]	epoch_times[9]	epoch_times[10]	epoch_times[11]	epoch_times[12]	epoch_times[13]	epoch_times[14]	extirpation_rate	p_allopatry	p_sympatry	rate_bg
0	-117.8803	-83.44672	-34.43356	0.330355	0.669645	255.266	236.849	214.401	183.58	149.923	124.153	106.236	81.8692	74.1926	55.9215	26.7387	14.8169	4.49914	0	0.6997011	0.669645	0.330355	0.01
10	-117.0697	-82.6809	-34.38878	0.320187	0.679813	255.136	221.906	212.513	191.652	159.098	120.443	100.849	80.7846	70.7044	59.0867	31.5032	19.3265	4.77437	0	0.7855231	0.6798133	0.3201867	0.009232675
20	-118.7211	-81.25179	-37.46934	0.702948	0.297052	248.769	227.415	215.219	181.881	151.452	134.582	100.156	83.995	61.3371	49.8389	25.559	13.3318	4.37094	0	1.362056	0.2970521	0.7029479	0.08172058
30	-118.4051	-79.85401	-38.55109	0.210365	0.789635	245.163	231.677	217.253	182.977	144.582	120.071	106.489	80.2385	66.6436	48.7918	36.1593	12.4617	4.8803	0	1.936975	0.7896352	0.2103648	0.07178186
40	-117.3716	-81.44596	-35.92565	0.738352	0.261648	251.045	223.971	215.091	184.263	152.078	126.587	116.312	89.0222	61.3909	45.0903	32.9056	18.8432	4.86106	0	1.004698	0.2616476	0.7383524	0.03334751
50	-118.3745	-84.0969	-34.27758	0.36243	0.63757	253.549	237.894	213.301	191.336	150.243	129.127	119.762	85.1917	62.7	48.3721	32.5641	18.1392	4.37268	0	0.763564	0.6375703	0.3624297	0.008373657
60	-117.9641	-83.56026	-34.40385	0.342061	0.657939	255.623	221.255	203.931	185.377	142.596	138.374	108.897	83.866	67.968	48.0318	30.7145	19.1593	4.93068	0	0.9237532	0.6579393	0.3420607	0.008155087
70	-119.3532	-81.02824	-38.32498	0.250739	0.749261	246.399	234.536	210.59	188.593	153.762	127.948	117.235	81.1709	63.8119	48.4223	25.9075	19.5457	4.64124	0	1.935892	0.7492608	0.2507392	0.05738833
80	-119.608	-83.88	-35.72797	0.970368	0.0296322	247.683	229.109	200.02	191.571	154.637	125.155	104.691	98.9022	67.5579	56.8306	31.5685	13.4515	4.10097	0	1.05335	0.02963224	0.9703678	0.02535612
90	-120.2774	-83.87307	-36.40433	0.623064	0.376936	241.06	227.533	204.471	194.218	154.451	124.211	109.168	99.5907	66.4502	41.3155	32.9498	16.2892	3.33066	0	1.414032	0.3769363	0.6230637	0.02535612
100	-123.491	-85.75352	-37.73747	0.479868	0.520132	241.082	227.104	210.625	180.453	156.603	121.457	105.356	97.1204	67.1861	53.3181	38.2951	16.2835	4.05043	0	1.131746	0.5201318	0.4798682	0.1656051
110	-117.7534	-82.28141	-35.47198	0.418889	0.581111	246.957	224.981	203.348	184.379	157.641	120.105	104.556	99.9335	69.7598	51.9998	37.5989	12.5214	4.47929	0	0.8054677	0.5811111	0.4188889	0.02687754
120	-119.1786	-82.15829	-37.02035	0.590439	0.409561	256.739	233.808	205.799	189.007	155.083	122.705	100.664	92.8369	78.8316	48.0643	34.613	10.6019	4.76623	0	1.668899	0.4095612	0.5904388	0.02754695
130	-119.8773	-82.02903	-37.8483	0.620285	0.379715	257.822	228.902	214.746	184.703	148.848	130.679	105.904	86.7196	68.9618	52.9991	31.0581	9.39206	3.98543	0	1.652932	0.3797153	0.6202847	0.06522048
140	-120.2205	-82.90589	-37.31465	0.70364	0.29636	259.814	236.327	213.307	184.746	149.486	126.761	116.302	80.3519	70.4517	50.2113	34.3869	8.49113	4.82394	0	2.077374	0.2963599	0.7036401	0.01544635
150	-121.9436	-83.59895	-38.34464	0.563644	0.436356	249.376	236.921	201.944	182.473	149.443	127.221	114.405	81.8773	63.2648	51.192	29.5903	9.94471	4.74532	0	1.403942	0.4363564	0.5636436	0.1801694
160	-119.0122	-80.90154	-38.11063	0.34238	0.65762	243.181	236.568	210.224	194.671	155.429	122.161	114.549	82.0444	69.2862	45.8125	20.8912	7.94473	4.34888	0	1.441731	0.6576203	0.3423797	0.1319723
170	-120.3442	-82.30165	-38.04254	0.752252	0.247748	242.312	235.414	206.839	194.954	159.854	130.866	112.799	81.4952	78.4435	57.1513	30.2543	16.9224	4.12312	0	1.277584	0.2477476	0.7522524	0.1713104
180	-120.4717	-82.87705	-37.59461	0.761206	0.238794	246.083	229.761	219.044	192.597	153.545	128.675	111.499	92.2852	73.793	53.1273	34.203	18.4486	3.8505	0	1.452032	0.2387941	0.7612059	0.07712059
190	-118.0588	-82.1269	-35.93186	0.896458	0.103542	253.682	221.336	217.681	199.133	149.07	124.026	112.889	97.7274	73.2817	57.6298	34.7523	18.3952	4.61958	0	1.09555	0.1035418	0.8964582	0.02898364
200	-118.968	-81.58184	-37.38612	0.287142	0.712858	247.699	239.936	215.683	188.93	147.375	137.932	107.094	92.5622	67.1635	51.3811	36.9964	16.5079	4.99927	0	1.274481	0.7128582	0.2871418	0.08939552
210	-119.544	-81.47179	-38.0722	0.281621	0.718379	251.198	229.599	210.268	199.261	150.355	136.993	108.069	83.4147	65.5149	49.7969	26.1654	9.75306	3.50754	0	1.522248	0.7183789	0.2816211	0.1074698
220	-118.0073	-83.00878	-34.99856	0.172217	0.827783	259.718	220.12	217.23	188.086	143.827	131.717	119.324	86.206	70.4648	41.688	29.4162	8.40291	4.70897	0	1.018251	0.8277834	0.1722166	0.01292535
230	-117.8132	-82.98549	-34.82767	0.745754	0.254246	254.297	233.346	219.549	182.932	141.805	121.64	112.347	89.6935	70.169	41.8472	36.9711	6.46436	4.70533	0	0.8938729	0.2542456	0.7457544	0.01292535
240	-118.0236	-82.59636	-35.42727	0.662553	0.337447	251.066	221.394	205.681	195.246	153.894	127.537	105.259	89.9377	64.7635	58.892	27.9827	12.5511	4.72801	0	1.262882	0.3374465	0.6625535	0.01289246
250	-118.5229	-82.23179	-36.29107	0.682307	0.317693	250.592	222.807	206.02	189.162	156.926	126.084	111.235	96.8515	61.9945	51.0279	27.1555	6.26712	4.98445	0	1.334234	0.3176927	0.6823073	0.02659308
260	-120.0125	-84.7001	-35.31236	0.745373	0.254627	252.493	230.901	213.964	183.257	145.593	137.749	106.204	96.2725	70.2657	44.3773	29.5301	7.82885	4.37998	0	0.6367137	0.2546274	0.7453726	0.0238154
270	-121.664	-82.94412	-38.71986	0.587672	0.412328	242.768	223.302	215.081	194.837	153.504	137.546	101.76	92.2527	66.2466	47.4968	24.1035	5.31801	4.95651	0	2.186491	0.4123285	0.5876715	0.04994098
