Iteration	start_1	end_1	start_2	end_2	start_3	end_3	start_4	end_4	start_5	end_5	start_6	end_6	start_7	end_7	start_8	end_8	start_9	end_9	start_10	end_10	start_11	end_11	start_12	end_12	start_13	end_13	start_14	end_14	start_15	end_15	start_16	end_16	start_17	end_17	start_18	end_18	start_19	end_19	start_20	end_20	start_21	end_21	start_22	end_22	start_23	end_23	start_24	end_24	start_25	end_25	start_26	end_26	start_27	end_27	start_28	end_28	start_29	end_29	start_30	end_30	start_31	end_31	start_32	end_32	start_33	end_33	start_34	end_34	start_35	end_35	start_36	end_36	start_37	end_37	start_38	end_38	start_39	end_39	start_40	end_40	start_41	end_41	start_42	end_42	start_43	end_43	start_44	end_44	start_45	end_45	start_46	end_46	start_47	end_47	start_48	end_48	start_49	end_49	start_50	end_50	start_51	end_51	start_52	end_52	start_53	end_53	start_54	end_54	start_55	end_55	start_56	end_56	start_57	end_57	start_58	end_58	start_59	end_59	start_60	end_60	start_61	end_61	start_62	end_62	start_63	end_63	start_64	end_64	start_65	end_65	start_66	end_66	start_67	end_67	start_68	end_68	start_69	end_69	start_70	end_70	start_71	end_71	start_72	end_72	start_73	end_73	start_74	end_74	start_75	end_75
0	8	4	5	5	5	5	5	5	5	5	5	5	5	16	5	16	5	5	5	5	5	5	5	5	5	5	4	4	4	4	5	5	5	5	33	45	1	1	2	2	3	57	3	3	21	31	3	31	3	12	3	12	3	3	3	3	4	4	12	12	5	5	5	5	5	5	5	5	4	4	4	4	4	4	5	5	4	4	4	4	5	5	5	5	16	16	16	16	21	16	3	12	3	3	3	3	3	3	3	3	3	3	5	40	3	3	2	7	3	47	3	3	5	40	5	5	5	5	5	4	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	3	5	3	15	1	15	5	5	1	27	1	1
10	5	4	5	5	5	5	5	5	5	5	5	5	5	16	5	16	5	5	5	5	5	5	5	5	5	5	4	4	4	4	5	5	5	5	1	45	1	1	2	2	4	57	4	3	6	31	4	31	6	12	6	12	58	3	1	3	4	4	12	12	5	5	5	5	5	5	5	5	5	4	5	4	5	4	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	4	12	4	58	4	4	4	6	4	4	4	4	40	16	4	4	1	7	4	1	6	4	1	6	5	52	5	5	5	4	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	13	5	45	13	1	45	5	5	1	5	1	1
20	5	4	5	5	5	5	5	5	5	5	5	5	5	16	5	16	5	5	5	5	5	5	5	5	5	5	4	4	4	4	5	5	5	5	2	45	1	1	34	2	6	57	6	3	2	31	4	31	4	12	4	12	3	3	3	3	4	4	12	12	5	5	5	5	5	5	5	5	5	4	5	4	5	4	5	5	5	5	5	5	5	5	5	5	5	5	5	5	29	5	20	12	4	3	4	20	4	4	4	4	4	4	5	29	6	6	1	47	56	7	40	56	27	53	52	27	5	5	4	4	5	16	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	1	52	5	5	1	5	1	1
30	5	4	5	5	5	5	5	5	5	5	5	5	5	16	5	16	5	5	5	5	5	5	5	5	5	5	16	4	4	4	5	5	5	5	37	45	33	1	6	2	2	57	11	3	7	31	5	31	5	12	5	12	5	3	5	3	4	4	4	12	5	5	5	5	5	5	5	5	5	4	5	4	5	4	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	4	5	5	5	5	5	5	5	5	5	5	6	5	36	11	6	33	4	37	1	36	17	7	1	17	5	5	5	16	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	21	5	6	5	1	21	1	1	5	5	1	5	1	1
40	3	4	5	5	5	5	5	5	5	5	5	5	5	16	5	16	5	5	5	5	5	5	5	5	5	5	4	4	4	4	5	5	5	5	2	45	1	1	9	2	19	57	6	3	1	31	1	31	3	12	3	12	6	3	6	3	4	4	12	12	5	5	5	5	5	5	5	5	5	4	5	4	5	4	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	1	12	34	6	4	47	1	3	4	1	8	4	4	27	3	19	33	22	40	47	53	40	34	59	5	50	5	5	5	4	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	6	5	55	5	33	55	1	52	13	5	1	27	1	1
50	5	4	5	5	5	5	5	5	5	5	5	5	5	16	5	16	5	5	5	5	5	5	5	5	5	5	4	4	4	4	5	5	5	5	8	45	1	1	2	2	3	57	3	3	3	31	47	31	34	12	3	12	19	3	3	3	4	4	12	12	5	5	5	5	5	5	5	5	5	4	5	4	5	4	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	19	12	1	19	3	33	4	34	48	58	62	58	1	62	3	3	2	7	3	22	19	3	33	19	1	33	5	5	5	4	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	6	5	6	5	40	6	1	52	5	5	1	5	1	1
60	4	4	5	5	5	5	5	5	5	5	5	5	5	16	5	16	5	5	5	5	5	5	5	5	5	5	4	4	4	4	5	5	5	5	4	45	7	1	2	2	2	57	2	3	6	31	2	31	2	12	7	12	3	3	11	3	4	4	37	12	5	5	5	5	5	5	5	5	5	4	5	4	5	4	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	2	37	1	25	1	7	8	7	1	22	1	1	5	13	2	2	12	7	2	12	6	2	5	6	1	5	5	5	5	4	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	2	5	37	5	13	50	1	13	56	5	1	56	1	1
70	5	4	5	5	5	5	5	5	5	5	5	5	5	16	5	16	5	5	5	5	5	5	5	5	5	5	4	4	4	4	5	5	5	5	35	45	2	1	25	2	6	57	6	3	1	31	5	31	5	12	5	12	5	3	5	3	4	4	12	12	5	5	5	5	5	5	5	5	5	4	5	4	5	4	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	12	5	5	5	5	5	5	5	5	5	5	1	5	37	6	2	25	4	48	9	37	2	22	4	7	5	5	5	4	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	3	5	5	5	4	15	1	4	3	5	1	15	1	1
80	3	4	5	5	5	5	5	5	5	5	5	5	5	16	5	16	5	5	5	5	5	5	5	5	5	5	4	4	4	4	5	5	5	5	9	45	1	1	2	2	3	57	3	3	61	31	4	31	37	12	4	12	3	3	3	3	4	4	12	12	5	5	5	5	5	5	5	5	4	4	4	4	4	4	5	5	4	4	4	4	5	5	5	5	16	16	16	16	40	16	4	12	4	3	4	4	4	37	4	4	4	4	6	56	3	3	2	7	3	9	3	3	1	61	8	17	5	5	5	4	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	13	5	5	13	1	27	5	5	1	15	1	1
90	21	4	5	5	5	5	5	5	5	5	5	5	5	16	5	16	5	5	5	5	5	5	5	5	5	5	4	4	4	4	5	5	5	5	1	45	1	1	2	2	4	57	20	3	34	31	6	31	6	12	19	12	9	3	2	3	4	4	12	12	5	5	5	5	5	5	5	5	5	4	5	4	5	4	5	5	5	5	5	5	5	5	5	5	5	5	5	5	14	5	4	12	4	9	4	4	6	19	6	6	6	20	4	39	4	20	18	7	4	32	4	4	4	50	1	4	5	5	5	4	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	12	5	6	5	54	37	1	54	5	5	1	21	1	1
