Iteration	start_1	end_1	start_2	end_2	start_3	end_3	start_4	end_4	start_5	end_5	start_6	end_6	start_7	end_7	start_8	end_8	start_9	end_9	start_10	end_10	start_11	end_11	start_12	end_12	start_13	end_13	start_14	end_14	start_15	end_15	start_16	end_16	start_17	end_17	start_18	end_18	start_19	end_19	start_20	end_20	start_21	end_21	start_22	end_22	start_23	end_23	start_24	end_24	start_25	end_25	start_26	end_26	start_27	end_27	start_28	end_28	start_29	end_29	start_30	end_30	start_31	end_31	start_32	end_32	start_33	end_33	start_34	end_34	start_35	end_35	start_36	end_36	start_37	end_37	start_38	end_38	start_39	end_39	start_40	end_40	start_41	end_41	start_42	end_42	start_43	end_43	start_44	end_44	start_45	end_45	start_46	end_46	start_47	end_47	start_48	end_48	start_49	end_49	start_50	end_50	start_51	end_51	start_52	end_52	start_53	end_53	start_54	end_54	start_55	end_55	start_56	end_56	start_57	end_57	start_58	end_58	start_59	end_59	start_60	end_60	start_61	end_61	start_62	end_62	start_63	end_63	start_64	end_64	start_65	end_65	start_66	end_66	start_67	end_67	start_68	end_68	start_69	end_69	start_70	end_70	start_71	end_71	start_72	end_72	start_73	end_73	start_74	end_74	start_75	end_75
0	2	45	1	1	2	2	15	57	3	3	15	31	3	31	3	12	3	12	3	3	3	3	4	4	12	12	5	5	5	5	5	5	5	5	4	4	4	4	4	4	5	5	5	5	5	5	5	5	5	16	5	16	5	5	5	5	5	5	5	5	4	4	4	4	5	5	5	5	5	5	18	4	5	5	5	5	5	5	1	39	5	5	4	4	16	16	16	16	15	16	5	5	15	15	15	15	40	15	5	5	5	40	5	5	5	5	4	4	4	4	5	5	5	5	16	16	16	16	21	16	3	12	3	3	19	3	3	3	3	3	3	19	5	40	15	15	2	7	3	2	3	15	15	15	5	15	1	5	1	1
10	12	45	2	1	2	2	19	57	6	3	50	31	17	31	6	12	2	12	4	3	4	3	4	4	25	12	5	5	5	5	5	5	5	5	5	4	5	4	5	4	5	5	5	5	5	5	5	5	5	16	5	16	5	5	5	5	5	5	5	5	5	4	5	4	5	5	5	5	5	5	5	4	5	5	5	5	5	5	1	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	2	5	6	5	15	18	5	5	5	5	5	5	5	5	5	5	5	5	5	5	34	25	4	4	4	50	4	18	9	35	14	25	5	14	6	50	2	2	6	25	6	19	46	6	4	46	1	31	1	1
20	47	45	1	1	42	2	1	57	2	3	2	31	3	31	6	12	19	12	36	3	4	3	4	4	12	12	5	5	5	5	5	5	5	5	5	4	4	4	16	4	5	5	5	5	5	5	5	5	5	16	5	16	5	5	5	5	5	5	5	5	16	4	4	4	5	5	5	5	5	5	46	4	5	5	5	5	5	5	1	46	5	5	5	16	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	4	5	5	16	5	5	5	5	5	5	5	5	5	5	5	5	37	12	3	36	25	37	37	19	4	37	16	25	59	16	2	2	3	42	8	47	14	8	2	14	16	59	1	16	1	1
30	3	45	1	1	2	2	1	57	3	3	39	31	4	31	4	12	20	12	12	3	3	3	4	4	12	12	5	5	5	5	5	5	5	5	4	4	4	4	4	4	5	5	5	5	5	5	5	5	5	16	5	16	5	5	5	5	5	5	5	5	4	4	4	4	5	5	5	5	5	5	3	4	5	5	5	5	51	5	1	59	5	5	4	4	5	16	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	4	4	4	4	5	5	5	5	16	16	16	16	44	16	34	12	4	12	36	50	4	20	4	4	6	36	15	60	28	53	1	7	1	8	1	1	5	43	5	15	1	5	1	1
40	19	45	22	1	2	2	32	57	36	3	6	31	50	31	1	12	2	12	4	3	50	3	4	4	12	12	5	5	5	5	5	5	5	5	5	4	5	4	5	4	5	5	5	5	5	5	5	5	5	16	5	16	5	5	5	5	5	5	5	5	16	4	4	4	5	5	5	5	5	5	5	4	5	5	5	5	5	5	1	5	5	5	5	16	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	17	5	1	5	4	17	5	5	5	5	5	5	5	5	5	5	5	5	5	5	6	12	4	50	4	20	3	7	50	50	40	50	49	40	6	36	2	22	6	34	17	32	4	17	4	49	1	4	1	1
50	4	45	1	1	2	2	37	57	7	3	2	31	3	31	23	12	6	12	3	3	3	3	4	4	4	12	5	5	5	5	5	5	5	5	5	4	4	4	16	4	5	5	5	5	5	5	5	5	5	16	5	16	5	5	5	5	5	5	5	5	4	4	4	4	5	5	5	5	5	5	53	4	5	5	5	5	5	5	1	53	5	5	5	4	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	6	5	3	5	6	19	5	16	5	5	5	5	5	5	5	5	5	5	5	5	2	4	19	3	4	34	3	48	6	3	20	20	6	41	3	7	4	7	6	4	3	37	6	3	6	6	1	6	1	1
60	2	45	7	1	2	2	6	57	7	3	1	31	1	31	1	12	1	12	6	3	32	3	4	4	12	12	5	5	5	5	5	5	5	5	5	4	4	4	4	4	5	5	5	5	5	5	5	5	5	16	5	16	5	5	5	5	5	5	5	5	5	4	5	4	5	5	5	5	5	5	15	4	5	5	5	5	5	5	1	15	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	4	5	56	5	52	56	5	4	5	5	5	5	5	5	5	5	5	5	5	5	18	12	6	32	1	18	1	1	7	1	43	7	20	43	59	7	32	7	18	32	6	18	6	59	5	20	1	52	1	1
70	6	45	1	1	2	2	7	57	2	3	2	31	4	31	4	12	4	12	12	3	3	3	4	4	4	12	5	5	5	5	5	5	5	5	4	4	4	4	4	4	5	5	5	5	5	5	5	5	5	16	5	16	5	5	5	5	5	5	5	5	4	4	4	4	5	5	5	5	5	5	16	4	5	5	5	5	5	5	1	16	5	5	5	4	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	6	5	4	4	4	4	5	5	5	5	31	16	16	31	43	16	3	4	4	12	4	12	4	4	4	4	4	4	18	57	2	2	20	7	2	20	2	7	2	2	6	18	1	6	1	1
80	34	45	1	1	2	2	21	57	11	3	6	31	4	31	6	12	2	12	3	3	37	3	4	4	4	12	5	5	5	5	5	5	5	5	5	4	16	4	5	4	5	5	5	5	5	5	5	5	5	16	5	16	5	5	5	5	5	5	5	5	4	4	4	4	5	5	5	5	5	5	3	4	5	5	5	5	5	5	1	15	5	5	5	4	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	10	5	2	5	6	23	5	16	5	5	5	5	5	5	5	5	5	5	5	5	2	4	20	37	4	36	6	18	6	20	41	20	3	41	7	36	1	7	3	47	6	40	26	32	6	43	1	6	1	1
90	1	45	10	1	2	2	1	57	20	3	4	31	1	31	4	12	4	12	34	3	4	3	4	4	12	12	5	5	5	5	5	5	5	5	5	4	4	4	5	4	5	5	5	5	5	5	5	5	5	16	5	16	5	5	5	5	5	5	5	5	16	4	4	4	5	5	5	5	5	5	5	4	5	5	5	5	5	5	1	5	5	5	5	16	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	49	5	13	61	5	16	5	5	5	5	5	5	5	5	5	5	5	5	22	12	3	50	22	22	2	4	3	7	21	22	5	21	6	20	1	23	26	1	15	26	40	40	1	40	1	13	1	1
100	37	45	1	1	2	2	8	57	5	3	5	31	3	31	34	12	3	12	3	3	25	3	4	4	12	12	5	5	5	5	5	5	5	5	5	4	5	4	5	4	5	5	5	5	5	5	5	5	5	16	5	16	5	5	5	5	5	5	5	5	4	4	5	4	5	5	5	5	5	5	5	4	5	5	5	5	5	5	1	5	5	5	5	16	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	1	5	17	5	3	17	5	5	5	5	5	5	5	5	5	5	5	5	5	5	6	12	6	25	3	6	3	34	3	3	6	3	25	21	50	5	6	7	1	37	1	8	6	58	3	50	1	3	1	1
