Iteration	Posterior	Likelihood	Prior	clado_type_probs[1]	clado_type_probs[2]	epoch_times[1]	epoch_times[2]	epoch_times[3]	epoch_times[4]	epoch_times[5]	epoch_times[6]	epoch_times[7]	epoch_times[8]	epoch_times[9]	epoch_times[10]	epoch_times[11]	epoch_times[12]	epoch_times[13]	epoch_times[14]	extirpation_rate	p_allopatry	p_sympatry	rate_bg
0	-137.2831	-102.8482	-34.43493	0.896717	0.103283	254.689	220.43	219.353	186.268	158.85	131.03	111.032	81.4952	79.7235	40.8146	29.6334	14.3582	0.310867	0	0.6658824	0.1032832	0.8967168	0.01
10	-125.0619	-84.95236	-40.10952	0.885695	0.114305	249.298	222.991	217.106	195.647	150.33	131.377	113.053	80.8409	66.1074	44.2921	24.4426	19.148	1.9126	0	2.088095	0.1143053	0.8856947	0.2470071
20	-122.2667	-83.87411	-38.39256	0.629787	0.370213	241.332	220.242	210.508	188.033	146.808	135.785	113.539	82.2418	67.3252	52.9689	31.7926	15.5905	2.31864	0	1.423323	0.370213	0.629787	0.1816843
30	-119.9543	-81.9338	-38.02055	0.574785	0.425215	252.083	229.725	213.602	180.504	141.809	126.579	108.566	84.524	72.6343	59.6819	29.456	14.7288	4.89151	0	1.708451	0.4252152	0.5747848	0.0688463
40	-117.4664	-81.76477	-35.70165	0.188842	0.811158	240.747	236.344	217.56	195.921	156.257	126.788	102.643	80.7424	79.3602	43.2061	27.2092	17.6961	4.95265	0	1.112703	0.8111577	0.1888423	0.02235533
50	-118.8361	-82.84232	-35.99382	0.292817	0.707183	240.085	239.881	216.387	190.291	148.087	122.267	106.064	81.0865	64.0421	47.9731	39.6539	17.1038	4.73901	0	1.017671	0.7071832	0.2928168	0.03499986
60	-117.5181	-82.00977	-35.50834	0.429147	0.570853	244.694	234.519	213.124	185.788	156.399	122.629	104.389	86.7404	79.9253	54.502	28.4538	19.1688	4.62204	0	1.140968	0.5708528	0.4291472	0.01753416
70	-118.0214	-82.15001	-35.87141	0.5505	0.4495	240.942	229.838	205.67	193.434	153.093	124.533	102.564	84.8342	76.6004	51.2052	31.77	18.7324	4.62575	0	1.313856	0.4495004	0.5504996	0.01819878
80	-117.8314	-82.11601	-35.71537	0.712431	0.287569	244.496	229.967	210.38	188.68	149.837	120.645	108.133	83.0066	66.2396	41.1156	34.6946	17.7303	4.84485	0	1.113318	0.2875687	0.7124313	0.02264003
90	-117.0124	-81.36501	-35.64735	0.389107	0.610893	242.287	238.238	211.279	198.386	146.014	124.117	103.882	81.7237	65.722	52.9346	34.4649	15.7969	4.78833	0	1.121219	0.6108932	0.3891068	0.02086246
100	-118.7435	-83.50683	-35.23669	0.20372	0.79628	242.657	238.888	215.917	194.906	158.933	122.198	117.91	83.3594	65.2777	43.3025	32.1079	13.0364	4.46508	0	0.742608	0.7962799	0.2037201	0.02207334
110	-119.9857	-85.52819	-34.4575	0.779877	0.220123	246.209	233.198	219.374	198.509	144.189	132.955	114.702	89.0221	62.845	44.9514	35.972	13.0884	4.70978	0	0.9450384	0.2201227	0.7798773	0.008367124
120	-118.0683	-82.63363	-35.43468	0.293579	0.706421	246.261	239.874	217.219	199.164	157.57	131.604	101.817	83.324	60.3018	49.6386	36.5044	14.6695	4.76124	0	0.7928347	0.706421	0.293579	0.02614161
130	-119.5435	-82.62498	-36.91854	0.440987	0.559013	244.312	238.876	212.832	198.516	153.382	139.024	115.693	84.1797	62.7823	42.4786	37.9498	19.0059	4.81887	0	1.144549	0.5590128	0.4409872	0.0713773
140	-118.3229	-83.17023	-35.1527	0.692157	0.307843	246.857	237.897	214.513	198.247	156.247	133.889	119.639	94.0738	63.0866	58.9983	37.064	16.2675	4.79019	0	0.6919366	0.3078433	0.6921567	0.02053777
150	-117.4221	-82.45569	-34.96645	0.329222	0.670778	248.897	235.801	211.707	187.166	156.996	123.116	114.331	99.3117	69.3564	50.1772	32.8454	16.243	4.64551	0	0.7483975	0.6707784	0.3292216	0.01680378
160	-123.2756	-84.7076	-38.56798	0.164444	0.835556	250.064	222.183	216.012	199.322	158.233	126.449	117.307	90.6001	61.3055	42.7662	28.5348	17.7134	2.95494	0	1.735377	0.8355561	0.1644439	0.1123768
170	-117.661	-82.36684	-35.2942	0.437598	0.562402	252.545	221.69	214.131	197.225	154.89	120.569	116.303	84.0539	70.0113	51.3095	36.8821	18.6642	4.44075	0	0.8051705	0.5624016	0.4375984	0.02250505
180	-117.0058	-81.44761	-35.55823	0.572515	0.427485	259.236	233.811	201.502	197.821	140.029	122.893	113.393	80.7592	77.8909	54.6859	38.6618	15.08	4.90799	0	1.021555	0.427485	0.572515	0.02250505
190	-119.7361	-82.58783	-37.14832	0.00618762	0.993812	249.662	228.808	204.536	191.688	143.627	122.334	114.807	82.825	68.9756	57.0828	33.4908	17.9871	3.74595	0	1.027944	0.9938124	0.006187619	0.109275
200	-122.1581	-83.00131	-39.15677	0.673795	0.326205	258.185	236.526	210.524	199.91	141.417	122.248	100.139	82.3449	75.621	59.5422	27.8702	18.5828	2.68292	0	1.784108	0.3262053	0.6737947	0.1824562
210	-119.5071	-82.80401	-36.70306	0.132323	0.867677	243.822	228.268	203.694	188.265	141.822	127.487	106.393	88.6587	77.3286	59.6177	38.5892	17.5717	4.99609	0	1.23826	0.8676765	0.1323235	0.04840356
