Iteration	Posterior	Likelihood	Prior	clado_type_probs[1]	clado_type_probs[2]	epoch_times[1]	epoch_times[2]	epoch_times[3]	epoch_times[4]	epoch_times[5]	epoch_times[6]	epoch_times[7]	epoch_times[8]	epoch_times[9]	epoch_times[10]	epoch_times[11]	epoch_times[12]	epoch_times[13]	epoch_times[14]	extirpation_rate	p_allopatry	p_sympatry	rate_bg
260	-116.1734	-78.28505	-37.88836	0.23118	0.76882	247.762	228.138	205.978	198.617	155.366	129.239	101.251	85.2611	68.6097	54.392	21.5142	7.84889	4.38659	0	1.442524	0.7688199	0.2311801	0.1054981
270	-116.6764	-79.28142	-37.39498	0.285454	0.714546	245.31	231.39	211.419	181.466	150.499	137.636	119.724	90.9563	70.7228	46.5212	22.4978	16.0981	4.26399	0	1.338799	0.7145458	0.2854542	0.07947721
280	-117.4061	-80.87097	-36.53514	0.706612	0.293388	256.565	236.815	207.103	187.096	156.033	134.563	117.205	94.4247	68.4077	51.0059	20.4317	18.564	4.90902	0	1.288084	0.293388	0.706612	0.03717525
290	-116.4521	-78.90248	-37.54967	0.579111	0.420889	251.588	236.077	204.041	185.929	155.462	136.796	118.072	86.7336	65.3527	47.9197	31.9513	16.3055	4.35434	0	1.42828	0.4208887	0.5791113	0.07741895
300	-115.9691	-78.92075	-37.0483	0.00756102	0.992439	240.875	229.891	201.292	183.464	155.176	121.753	118.885	86.1465	69.085	55.6834	35.4166	16.5503	4.94342	0	0.9654699	0.992439	0.007561016	0.1085223
310	-115.753	-78.89434	-36.85863	0.835807	0.164193	258.039	225.261	201.503	182.716	149.17	123.058	114.459	80.2817	70.3401	54.2673	36.945	14.4519	4.92975	0	1.110928	0.1641925	0.8358075	0.0713159
320	-117.5643	-79.19594	-38.36834	0.375023	0.624977	256.424	222.023	203.759	190.251	144.108	132.498	107.764	82.5038	69.8205	54.3595	33.5852	10.0753	3.11995	0	1.66898	0.6249765	0.3750235	0.1060285
330	-116.6242	-79.57188	-37.05234	0.988503	0.0114972	257.465	223.533	201.809	184.292	151.746	136.234	116.001	84.1982	79.9859	54.8635	26.4343	12.11	4.67589	0	1.11109	0.01149719	0.9885028	0.0865344
340	-116.2452	-78.93811	-37.30711	0.585983	0.414017	245.81	226.503	203.807	196.671	153.331	130.397	105.439	88.0013	77.6475	45.0426	37.7369	17.8674	4.98152	0	1.154575	0.4140168	0.5859832	0.1034003
350	-117.0411	-80.84544	-36.19565	0.124995	0.875005	258.142	228.382	206.117	195.177	145.643	122.506	108.516	89.4538	75.9108	46.0923	24.6245	14.349	4.69785	0	0.9999158	0.8750047	0.1249953	0.04399998
360	-115.9401	-78.34755	-37.59253	0.0145127	0.985487	244.275	229.788	201.262	194.697	150.628	126.72	100.2	87.3086	78.4461	49.9893	26.7737	16.9047	4.72534	0	1.273329	0.9854873	0.01451269	0.1101355
370	-119.2545	-80.70797	-38.54648	0.628524	0.371476	244.434	222.267	203.416	193.098	157.65	136.694	100.729	84.7672	76.0569	44.2323	24.6618	9.38709	4.85234	0	1.565657	0.3714757	0.6285243	0.1576662
380	-116.9518	-80.07298	-36.87881	0.923098	0.0769018	248.774	226.671	204.267	185.368	156.17	134.552	102.626	81.2226	73.6148	56.6645	25.3762	10.933	4.39453	0	1.00401	0.0769018	0.9230982	0.08659046
390	-117.0517	-79.26039	-37.79129	0.605515	0.394485	251.092	223.142	201.571	192.026	148.883	120.89	105.27	80.6426	74.5125	53.0034	23.7678	6.08204	3.36231	0	1.218638	0.3944845	0.6055155	0.1491421
400	-118.9899	-80.65311	-38.33684	0.649149	0.350851	244.91	225.357	201.766	192.321	153.447	126.788	106.405	81.8439	68.3032	53.3336	27.1565	14.7757	3.80663	0	1.42212	0.3508507	0.6491493	0.1722605
410	-117.5017	-79.88876	-37.61294	0.386312	0.613688	243.754	230.109	205.259	186.38	150.665	120.513	107.772	82.9424	69.8073	42.3993	29.9671	9.73568	3.01371	0	1.232855	0.6136882	0.3863118	0.1214752
420	-114.7623	-77.34487	-37.41744	0.158476	0.841524	240.689	230.347	213.495	182.569	144.962	123.144	103.655	80.9513	72.0358	45.7327	25.4091	16.6597	4.77203	0	1.263086	0.8415243	0.1584757	0.09429367
430	-118.2981	-80.31328	-37.98486	0.780169	0.219831	249.095	238.913	201.078	181.659	152.089	123.744	113.755	92.244	65.2997	59.5556	34.4457	10.2084	3.97963	0	1.552171	0.2198314	0.7801686	0.09249928
440	-119.3403	-84.62332	-34.71698	0.199075	0.800925	245.1	236.36	219.282	185.968	146.876	127.125	118.376	86.9213	75.5152	40.7122	33.4403	14.3599	4.40869	0	0.537463	0.8009249	0.1990751	0.01177188
450	-116.7445	-79.53199	-37.21255	0.438936	0.561064	258.151	239.458	218.39	192.54	148.145	131.733	117.537	93.466	73.5931	51.5778	22.1037	7.01537	4.67736	0	1.184983	0.5610635	0.4389365	0.08901063
460	-118.8022	-80.2865	-38.51572	0.253624	0.746376	259.241	228.855	201.557	192.23	159.274	139.298	115.826	95.5881	74.4167	56.5906	35.0623	8.31745	4.42117	0	1.850248	0.7463762	0.2536238	0.08342221
470	-116.7718	-79.12808	-37.64375	0.23921	0.76079	258.766	232.135	216.522	195.963	147.223	122.706	108.485	93.132	73.509	57.4344	31.6854	16.7811	4.8378	0	1.343581	0.76079	0.23921	0.1009583
480	-115.0893	-77.8087	-37.28058	0.156764	0.843236	253.412	222.695	212.901	197.044	146.017	120.048	104.062	82.7211	75.889	48.9645	28.8637	18.7408	4.51511	0	1.342871	0.8432363	0.1567637	0.07031268
490	-116.9619	-79.60667	-37.35526	0.311047	0.688953	249.028	231.175	212.567	198.114	143.367	122.327	105.038	96.2464	70.3495	58.8183	23.6981	8.99501	4.50504	0	1.324463	0.688953	0.311047	0.07858857
500	-117.6698	-80.28298	-37.38681	0.58753	0.41247	258.998	234.916	214.086	188.726	145.842	128.51	105.643	92.064	76.1249	55.4005	24.3093	16.2183	4.57239	0	1.122981	0.4124701	0.5875299	0.118431
510	-116.732	-80.95627	-35.77568	0.428277	0.571723	252.695	230.756	214.881	199.046	142.938	131.103	103.052	94.2574	75.9215	45.3648	33.48	18.456	4.38834	0	0.9009287	0.5717233	0.4282767	0.03307637
520	-117.0756	-80.35941	-36.7162	0.144101	0.855899	259.008	234.671	218.497	188.067	142.267	133.462	105.743	97.9776	74.2568	41.8925	23.2305	19.2465	4.82136	0	0.9737466	0.8558987	0.1441013	0.07694548
530	-117.1814	-81.83721	-35.34414	0.491426	0.508574	257.566	232.526	212.925	186.325	150.67	134.224	100.296	98.6669	73.0586	41.0486	34.8486	16.0877	3.88667	0	0.8291851	0.5085739	0.4914261	0.02318139
540	-117.1914	-81.98553	-35.20589	0.463945	0.536055	254.99	225.891	217.174	180.108	154.125	127.012	101	95.9058	63.6491	44.628	37.6588	17.2479	3.92132	0	0.7731506	0.536055	0.463945	0.02106966
550	-117.4056	-79.95515	-37.45046	0.342896	0.657104	255.619	225.896	219.076	182.639	147.731	127.402	106.318	94.6317	72.5663	40.9922	33.8344	17.2909	4.27545	0	1.288612	0.6571044	0.3428956	0.09275264
560	-120.0299	-81.41963	-38.61026	0.116724	0.883276	250.498	231.572	219.571	186.882	151.691	120.026	102.503	91.6764	64.7559	41.0336	34.0094	6.69984	4.55869	0	2.259154	0.8832755	0.1167245	0.03838872
570	-115.6888	-78.25625	-37.43255	0.587201	0.412799	252.132	236.301	218.985	186.536	150.478	125.179	102.142	80.5785	63.888	59.4824	35.3817	19.4515	4.4999	0	1.232199	0.4127986	0.5872014	0.1015515
580	-116.1329	-79.39236	-36.74058	0.446781	0.553219	256.917	236.08	214.12	192.941	157.093	126.71	108.072	82.473	61.0037	53.0204	30.8753	9.97474	4.58447	0	1.045896	0.5532192	0.4467808	0.07064365
590	-116.3748	-79.32832	-37.0465	0.515071	0.484929	249.966	239.793	200.634	198.823	156.532	125.068	106.429	85.2774	67.6636	47.777	35.1786	5.29689	4.81996	0	1.345301	0.4849289	0.5150711	0.05536926
